
Dump of file C:\Windows\System32\AppxAllUserStore.dll

File Type: DLL

  Section contains the following exports for AppXAllUserStore.dll

    00000000 characteristics
     BA2F101 time date stamp
        0.00 version
           1 ordinal base
          82 number of functions
          82 number of names

    ordinal hint RVA      name

          1    0 0001EFD0 AddDeprovisionedPackageMarking
          2    1 0001F420 AddDownlevelInstalledPackageToRegistryStore
          3    2 0001F540 AddEndOfLifePackageMarking
          4    3 0001F580 AddEndOfLifePackageMarkingForAllUsers
          5    4 0001F5C0 AddPackageToPreinstalledAppsVolume
          6    5 0001F650 AddPackageToRegistryStore
          7    6 0001F750 AddStagedPackageToPreinstalledAppsVolume
          8    7 0001F850 AddStagedPackageToRegistryStore
          9    8 0001F950 AddUpgradePackageToPreinstalledVolume
         10    9 0001FA80 AddUpgradePackageToRegistryStore
         11    A 0001FB90 ApplyDependencyTargetPackageRootFolderACLs
         12    B 0001FBA0 ApplyFrameworkPackageRootFolderACLs
         13    C 0001FBB0 ApplyPackageRootFolderACLs
         14    D 0001FCE0 ApplySharedFileACLs
         15    E 0001FCF0 CheckPackagePreinstallPolicy
         16    F 0001FE20 CommitTakeOwnershipSession
         17   10 00007C10 DeleteAllPackagesFromMainPackageArray
         18   11 000080F0 DeleteAllPackagesFromPackageArray
         19   12 0001FE40 DeletePackageInfo
         20   13 0001FEC0 DeleteUpdatedPackageKey
         21   14 0001FED0 DeleteUserRegistryKeyFromAllUserStore
         22   15 00002F20 DidAppSurviveOSUpgradeForUser
         23   16 0001FFD0 DoesPerUserStoreExist
         24   17 000200F0 FamilyMonikerStringToSid
         25   18 000201E0 FindExistingVersionInRegistryStore
         26   19 00020240 FindFullNameForFamilyNameInAppxAllUserStore
         27   1A 00020290 GetAllInboxPackages
         28   1B 000202A0 GetAllNonInboxPackagesFromRegistryStore
         29   1C 000203C0 GetAllPackagesToBeInstalledForSetupPhase
         30   1D 00001FE0 GetAllPackagesToBeInstalledForUser
         31   1E 000203F0 GetAllStagedPackagesForMainPackageFromRegistryStore
         32   1F 00001F10 GetAllUpdatedPackages
         33   20 00020520 GetAppxProvisionFactory
         34   21 00020530 GetFoldersToKeepForPBR
         35   22 00020630 GetOptionalPackageInfoForPackage
         36   23 00003120 GetPackageOverrideSetupPhase
         37   24 00020660 GetPackageSetupPhase
         38   25 000206E0 GetPackagesThatMayNeedPreinstallPackageStatusMarked
         39   26 00020710 GetStatusOfPackageFamilyForUser
         40   27 00020890 GetUpgradePackageVolumeKey
         41   28 000208B0 HasCentennial
         42   29 000208C0 HasStagedPackages
         43   2A 00020AF0 IsCleanupTaskComplete
         44   2B 00020C10 IsEnterprisePolicyEnabled
         45   2C 00006D20 IsInboxPackage
         46   2D 00001850 IsNonInboxAllUserPackage
         47   2E 00001620 IsNonInboxAllUserPackageSpecificPackage
         48   2F 00020C50 IsPackageEndOfLife
         49   30 00020D00 IsPackageFamilyInUninstallBlocklist
         50   31 00020D40 IsPackageFamilyInUninstallBlocklistByPackageFullName
         51   32 00020E20 IsPackageInDownlevelInstalledKey
         52   33 00020E70 IsPackageInEndOfLifeKey
         53   34 00020F30 IsPackageInStagedKey
         54   35 00020F70 IsPackageInUpgradeKey
         55   36 00021010 IsPackageInUsersUpgradeKey
         56   37 000210D0 IsPackageOnPreinstalledVolume
         57   38 000211E0 IsSystemInAuditBoot
         58   39 000211F0 MarkStatusOfMainPackageForUser
         59   3A 000356E0 PackageFamilyNameFromId
         60   3B 000213C0 PackageIdBasicFromFullName
         61   3C 000213D0 PackageSidToPackageCapabilitySid
         62   3D 000214A0 RemoveDeprovisionedPackageMarking
         63   3E 000218D0 RemoveDownlevelInstalledPackagesFromRegistryStore
         64   3F 000219F0 RemoveEndOfLifePackageMarkingForAllUsers
         65   40 00021A30 RemoveInboxInstalledStatusOfPackageForUser
         66   41 00021AF0 RemovePackageFromRegistryStore
         67   42 00021C00 RemovePackageFromRegistryStoreConfigIfExists
         68   43 00021DA0 RemoveStagedPackageFromRegistryStore
         69   44 00021EB0 RemoveStatusOfMainPackageForAllUsers
         70   45 00021EF0 RemoveUpgradePackagesFromRegistryStore
         71   46 00022000 RestoreDownlevelAllUserStore
         72   47 00022020 RollbackTakeOwnershipSession
         73   48 000220E0 SetAllUserStorePathForTest
         74   49 00022100 SetPackageOverrideSetupPhase
         75   4A 00022110 SetTargetOsVersionOnPreinstalledVolume
         76   4B 000221E0 TakeOwnershipOnFolder
         77   4C 00022330 TryGetDownlevelInstalledPackageFullName
         78   4D 00001730 TryGetEndOfLifePackageFullName
         79   4E 00022380 UpdateFrameworkPackageInRegistryStore
         80   4F 00022450 UpdatePackageInRegistryStore
         81   50 000226F0 UpdatePackageSetupPhase
         82   51 00022910 UpdateUpgradePackageInRegistryStore

  Summary

        1000 .data
        1000 .didat
        3000 .pdata
       15000 .rdata
        1000 .reloc
        1000 .rsrc
       43000 .text
