
Dump of file C:\Windows\System32\DXCore.dll

File Type: DLL

  Section contains the following exports for dxcore.dll

    00000000 characteristics
    B2F5FD5A time date stamp
        0.00 version
           1 ordinal base
         222 number of functions
           1 number of names

    ordinal hint RVA      name

        211    0 0000E810 DXCoreCreateAdapterFactory
          1      000206C0 [NONAME]
          2               [NONAME] (forwarded to WIN32U.NtGdiDdDDICreateAllocation)
          3               [NONAME] (forwarded to WIN32U.NtGdiDdDDIQueryResourceInfo)
          4               [NONAME] (forwarded to WIN32U.NtGdiDdDDIQueryResourceInfoFromNtHandle)
          5               [NONAME] (forwarded to WIN32U.NtGdiDdDDIShareObjects)
          6               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOpenNtHandleFromName)
          7               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOpenResourceFromNtHandle)
          8               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOpenSyncObjectFromNtHandle)
          9      00020890 [NONAME]
         10               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOpenResource)
         11               [NONAME] (forwarded to WIN32U.NtGdiDdDDIDestroyAllocation)
         12               [NONAME] (forwarded to WIN32U.NtGdiDdDDISetAllocationPriority)
         13               [NONAME] (forwarded to WIN32U.NtGdiDdDDIQueryAllocationResidency)
         14               [NONAME] (forwarded to WIN32U.NtGdiDdDDICreateDevice)
         15               [NONAME] (forwarded to WIN32U.NtGdiDdDDIDestroyDevice)
         16               [NONAME] (forwarded to WIN32U.NtGdiDdDDICreateContext)
         17               [NONAME] (forwarded to WIN32U.NtGdiDdDDIDestroyContext)
         18      00020A00 [NONAME]
         19               [NONAME] (forwarded to WIN32U.NtGdiDdDDICreateSynchronizationObject)
         20               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOpenSynchronizationObject)
         21               [NONAME] (forwarded to WIN32U.NtGdiDdDDIDestroySynchronizationObject)
         22      00020A90 [NONAME]
         23               [NONAME] (forwarded to WIN32U.NtGdiDdDDIWaitForSynchronizationObject)
         24      00020B30 [NONAME]
         25               [NONAME] (forwarded to WIN32U.NtGdiDdDDISignalSynchronizationObject)
         26               [NONAME] (forwarded to WIN32U.NtGdiDdDDILock)
         27               [NONAME] (forwarded to WIN32U.NtGdiDdDDIUnlock)
         28               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetDisplayModeList)
         29               [NONAME] (forwarded to WIN32U.NtGdiDdDDISetDisplayMode)
         30               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetMultisampleMethodList)
         31               [NONAME] (forwarded to WIN32U.NtGdiDdDDIPresent)
         32               [NONAME] (forwarded to WIN32U.NtGdiDdDDIRender)
         33               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetRuntimeData)
         34               [NONAME] (forwarded to WIN32U.NtGdiDdDDIQueryAdapterInfo)
         35               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOpenAdapterFromDeviceName)
         36               [NONAME] (forwarded to WIN32U.NtGdiDdDDICloseAdapter)
         37               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetSharedPrimaryHandle)
         38               [NONAME] (forwarded to WIN32U.NtGdiDdDDIEscape)
         39               [NONAME] (forwarded to WIN32U.NtGdiDdDDIQueryStatistics)
         40      00021090 [NONAME]
         41               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetPresentHistory)
         42               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetPresentQueueEvent)
         43               [NONAME] (forwarded to WIN32U.NtGdiDdDDICreateOverlay)
         44               [NONAME] (forwarded to WIN32U.NtGdiDdDDIUpdateOverlay)
         45               [NONAME] (forwarded to WIN32U.NtGdiDdDDIFlipOverlay)
         46               [NONAME] (forwarded to WIN32U.NtGdiDdDDIDestroyOverlay)
         47               [NONAME] (forwarded to WIN32U.NtGdiDdDDIWaitForVerticalBlankEvent)
         48               [NONAME] (forwarded to WIN32U.NtGdiDdDDISetGammaRamp)
         49               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetDeviceState)
         50               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetContextInProcessSchedulingPriority)
         51               [NONAME] (forwarded to WIN32U.NtGdiDdDDISetContextSchedulingPriority)
         52               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetContextSchedulingPriority)
         53               [NONAME] (forwarded to WIN32U.NtGdiDdDDISetProcessSchedulingPriorityClass)
         54               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetProcessSchedulingPriorityClass)
         55               [NONAME] (forwarded to WIN32U.NtGdiDdDDIReleaseProcessVidPnSourceOwners)
         56               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetScanLine)
         57               [NONAME] (forwarded to WIN32U.NtGdiDdDDISetQueuedLimit)
         58               [NONAME] (forwarded to WIN32U.NtGdiDdDDIPollDisplayChildren)
         59               [NONAME] (forwarded to WIN32U.NtGdiDdDDIInvalidateActiveVidPn)
         60               [NONAME] (forwarded to WIN32U.NtGdiDdDDICheckOcclusion)
         61               [NONAME] (forwarded to WIN32U.NtGdiDdDDIWaitForIdle)
         62               [NONAME] (forwarded to WIN32U.NtGdiDdDDICheckMonitorPowerState)
         63               [NONAME] (forwarded to WIN32U.NtGdiDdDDICheckExclusiveOwnership)
         64               [NONAME] (forwarded to WIN32U.NtGdiDdDDICheckVidPnExclusiveOwnership)
         65      00021140 [NONAME]
         66               [NONAME] (forwarded to WIN32U.NtGdiDdDDISharedPrimaryLockNotification)
         67               [NONAME] (forwarded to WIN32U.NtGdiDdDDISharedPrimaryUnLockNotification)
         68               [NONAME] (forwarded to WIN32U.NtGdiDdDDICreateKeyedMutex)
         69               [NONAME] (forwarded to WIN32U.NtGdiDdDDICreateKeyedMutex2)
         70               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOpenKeyedMutex)
         71               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOpenKeyedMutex2)
         72               [NONAME] (forwarded to WIN32U.NtGdiDdDDIDestroyKeyedMutex)
         73               [NONAME] (forwarded to WIN32U.NtGdiDdDDIAcquireKeyedMutex)
         74               [NONAME] (forwarded to WIN32U.NtGdiDdDDIAcquireKeyedMutex2)
         75               [NONAME] (forwarded to WIN32U.NtGdiDdDDIReleaseKeyedMutex)
         76               [NONAME] (forwarded to WIN32U.NtGdiDdDDIReleaseKeyedMutex2)
         77               [NONAME] (forwarded to WIN32U.NtGdiDdDDIConfigureSharedResource)
         78               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetOverlayState)
         79               [NONAME] (forwarded to WIN32U.NtGdiDdDDICheckSharedResourceAccess)
         80               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOfferAllocations)
         81               [NONAME] (forwarded to WIN32U.NtGdiDdDDIReclaimAllocations)
         82               [NONAME] (forwarded to WIN32U.NtGdiDdDDICreateOutputDupl)
         83               [NONAME] (forwarded to WIN32U.NtGdiDdDDIDestroyOutputDupl)
         84               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOutputDuplGetFrameInfo)
         85               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOutputDuplGetMetaData)
         86               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOutputDuplGetPointerShapeData)
         87               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOutputDuplReleaseFrame)
         88               [NONAME] (forwarded to WIN32U.NtGdiDdDDIOutputDuplPresent)
         89               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetSharedResourceAdapterLuid)
         90               [NONAME] (forwarded to WIN32U.NtGdiDdDDISetStereoEnabled)
         91               [NONAME] (forwarded to WIN32U.NtGdiDdDDIGetCachedHybridQueryValue)
         92               [NONAME] (forwarded to WIN32U.NtGdiDdDDICacheHybridQueryValue)
         93               [NONAME] (forwarded to WIN32U.NtGdiDdDDINetDispGetNextChunkInfo)
         94               [NONAME] (forwarded to WIN32U.NtGdiDdDDINetDispQueryMiracastDisplayDeviceSupport)
         95      00021070 [NONAME]
