
Dump of file C:\Windows\System32\spool\drivers\x64\3\Old\1\FXSAPI.DLL

File Type: DLL

  Section contains the following exports for FXSAPI.dll

    00000000 characteristics
    259CAF98 time date stamp
        0.00 version
           1 ordinal base
         175 number of functions
         175 number of names

    ordinal hint RVA      name

          1    0 00020B40 FXSAPIFree
          2    1 00020AA0 FXSAPIInitialize
          3    2 000111C0 FaxAbort
          4    3 00005300 FaxAccessCheck
          5    4 00005770 FaxAccessCheckEx
          6    5 000057F0 FaxAccessCheckEx2
          7    6 00007F40 FaxAddOutboundGroupA
          8    7 00008180 FaxAddOutboundGroupW
          9    8 000094F0 FaxAddOutboundRuleA
         10    9 00009660 FaxAddOutboundRuleW
         11    A 0000B970 FaxAnswerCall
         12    B 00019400 FaxCheckValidFaxFolder
         13    C 0000D320 FaxClose
         14    D 0001FA60 FaxCompleteJobParamsA
         15    E 0001FC80 FaxCompleteJobParamsW
         16    F 0000CAF0 FaxConnectFaxServerA
         17   10 0000C630 FaxConnectFaxServerW
         18   11 00022DE0 FaxCreateAccount
         19   12 00023110 FaxDeleteAccount
         20   13 0001ADC0 FaxEnableRoutingMethodA
         21   14 0001AC20 FaxEnableRoutingMethodW
         22   15 000177A0 FaxEndMessagesEnum
         23   16 00023250 FaxEnumAccounts
         24   17 00004C40 FaxEnumGlobalRoutingInfoA
         25   18 000047E0 FaxEnumGlobalRoutingInfoW
         26   19 00011990 FaxEnumJobsA
         27   1A 00016AD0 FaxEnumJobsEx2
         28   1B 00016840 FaxEnumJobsExA
         29   1C 00016A30 FaxEnumJobsExW
         30   1D 00011350 FaxEnumJobsW
         31   1E 00017900 FaxEnumMessagesA
         32   1F 00017C50 FaxEnumMessagesEx
         33   20 00017B20 FaxEnumMessagesW
         34   21 000089A0 FaxEnumOutboundGroupsA
         35   22 00008AF0 FaxEnumOutboundGroupsW
         36   23 00009A70 FaxEnumOutboundRulesA
         37   24 00009C10 FaxEnumOutboundRulesW
         38   25 00019960 FaxEnumPortsA
         39   26 0001C270 FaxEnumPortsExA
         40   27 0001C480 FaxEnumPortsExW
         41   28 000195B0 FaxEnumPortsW
         42   29 0000AD80 FaxEnumRoutingExtensionsA
         43   2A 0000AFE0 FaxEnumRoutingExtensionsW
         44   2B 0001AAC0 FaxEnumRoutingMethodsA
         45   2C 0001A660 FaxEnumRoutingMethodsW
         46   2D 0001B2C0 FaxEnumerateProvidersA
         47   2E 0001B460 FaxEnumerateProvidersW
         48   2F 000010E0 FaxFreeBuffer
         49   30 00022D20 FaxFreeSenderInformation
         50   31 00023880 FaxGetAccountInfo
         51   32 00007730 FaxGetActivityLoggingConfigurationA
         52   33 00007850 FaxGetActivityLoggingConfigurationW
         53   34 00006E20 FaxGetArchiveConfigurationA
         54   35 00006F50 FaxGetArchiveConfigurationW
         55   36 00005BB0 FaxGetConfigOption
         56   37 0000AA20 FaxGetConfigWizardUsed
         57   38 00003160 FaxGetConfigurationA
         58   39 00002ED0 FaxGetConfigurationW
         59   3A 00004680 FaxGetCountryListA
         60   3B 000043D0 FaxGetCountryListW
         61   3C 0000D180 FaxGetDeviceStatusA
         62   3D 0000CB80 FaxGetDeviceStatusW
         63   3E 0001C940 FaxGetExtensionDataA
         64   3F 0001CA10 FaxGetExtensionDataW
         65   40 0000BD80 FaxGetGeneralConfiguration
         66   41 000123B0 FaxGetJobA
         67   42 00016340 FaxGetJobEx2
         68   43 000160E0 FaxGetJobExA
