
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\Intel_OpenCL_ICD64.dll

File Type: DLL

  Section contains the following exports for OpenCL.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         120 number of functions
         120 number of names

    ordinal hint RVA      name

          1    0 00001350 clBuildProgram
          2    1 00001370 clCloneKernel
          3    2 00001390 clCompileProgram
          4    3 000013B0 clCreateBuffer
          5    4 000013E0 clCreateCommandQueue
          6    5 00001400 clCreateCommandQueueWithProperties
          7    6 00001420 clCreateContext
          8    7 000014C0 clCreateContextFromType
          9    8 000016F0 clCreateFromGLBuffer
         10    9 00001710 clCreateFromGLRenderbuffer
         11    A 00001730 clCreateFromGLTexture
         12    B 00001760 clCreateFromGLTexture2D
         13    C 00001790 clCreateFromGLTexture3D
         14    D 000017C0 clCreateImage
         15    E 000017F0 clCreateImage2D
         16    F 00001820 clCreateImage3D
         17   10 00001850 clCreateKernel
         18   11 00001870 clCreateKernelsInProgram
         19   12 00001890 clCreatePipe
         20   13 000018C0 clCreateProgramWithBinary
         21   14 000018F0 clCreateProgramWithBuiltInKernels
         22   15 00001920 clCreateProgramWithIL
         23   16 00001940 clCreateProgramWithSource
         24   17 00001970 clCreateSampler
         25   18 000019A0 clCreateSamplerWithProperties
         26   19 000019C0 clCreateSubBuffer
         27   1A 000019F0 clCreateSubDevices
         28   1B 00001A30 clCreateUserEvent
         29   1C 00001AD0 clEnqueueAcquireGLObjects
         30   1D 00001AF0 clEnqueueBarrier
         31   1E 00001B10 clEnqueueBarrierWithWaitList
         32   1F 00001B30 clEnqueueCopyBuffer
         33   20 00001B50 clEnqueueCopyBufferRect
         34   21 00001B70 clEnqueueCopyBufferToImage
         35   22 00001B90 clEnqueueCopyImage
         36   23 00001BB0 clEnqueueCopyImageToBuffer
         37   24 00001BD0 clEnqueueFillBuffer
         38   25 00001BF0 clEnqueueFillImage
         39   26 00001C10 clEnqueueMapBuffer
         40   27 00001C40 clEnqueueMapImage
         41   28 00001C70 clEnqueueMarker
         42   29 00001C90 clEnqueueMarkerWithWaitList
         43   2A 00001CB0 clEnqueueMigrateMemObjects
         44   2B 00001CD0 clEnqueueNDRangeKernel
         45   2C 00001CF0 clEnqueueNativeKernel
         46   2D 00001D10 clEnqueueReadBuffer
         47   2E 00001D30 clEnqueueReadBufferRect
         48   2F 00001D50 clEnqueueReadImage
         49   30 00001DF0 clEnqueueReleaseGLObjects
         50   31 00001E10 clEnqueueSVMFree
         51   32 00001E30 clEnqueueSVMMap
         52   33 00001E50 clEnqueueSVMMemFill
         53   34 00001E70 clEnqueueSVMMemcpy
         54   35 00001E90 clEnqueueSVMMigrateMem
         55   36 00001EB0 clEnqueueSVMUnmap
         56   37 00001ED0 clEnqueueTask
         57   38 00001EF0 clEnqueueUnmapMemObject
         58   39 00001F10 clEnqueueWaitForEvents
         59   3A 00001F30 clEnqueueWriteBuffer
         60   3B 00001F50 clEnqueueWriteBufferRect
         61   3C 00001F70 clEnqueueWriteImage
         62   3D 00001F90 clFinish
         63   3E 00001FB0 clFlush
         64   3F 00001FD0 clGetCommandQueueInfo
         65   40 00001FE0 clGetContextInfo
         66   41 00001FF0 clGetDeviceAndHostTimer
         67   42 00002010 clGetDeviceIDs
         68   43 000020E0 clGetDeviceInfo
         69   44 000020F0 clGetEventInfo
         70   45 00002110 clGetEventProfilingInfo
