
Dump of file C:\Windows\System32\Wldap32.dll

File Type: DLL

  Section contains the following exports for WLDAP32.dll

    00000000 characteristics
     5A1CCFB time date stamp
        0.00 version
          10 ordinal base
         324 number of functions
         245 number of names

    ordinal hint RVA      name

         16    0 0003A120 LdapGetLastError
         18    1 0003A370 LdapMapErrorToWin32
         29    2 00039280 LdapUTF8ToUnicode
         53    3 000392C0 LdapUnicodeToUTF8
        304    4 00019350 ber_alloc_t
        303    5 000193E0 ber_bvdup
        302    6 000194C0 ber_bvecfree
         54    7 00019510 ber_bvfree
        307    8 00019560 ber_first_element
        309    9 000195E0 ber_flatten
        301    A 000196D0 ber_free
        300    B 000196F0 ber_init
        308    C 000197E0 ber_next_element
        306    D 00019820 ber_peek_tag
        310    E 00019860 ber_printf
        311    F 00019AD0 ber_scanf
        305   10 0001A070 ber_skip_tag
         17   11 0001F1D0 cldap_open
         55   12 0001F1D0 cldap_openA
         28   13 0001F240 cldap_openW
         10   14 00004FA0 ldap_abandon
         11   15 00005FB0 ldap_add
         56   16 00005FB0 ldap_addA
         42   17 00005FF0 ldap_addW
         57   18 000060F0 ldap_add_ext
         58   19 000060F0 ldap_add_extA
         62   1A 00006270 ldap_add_extW
         63   1B 00006380 ldap_add_ext_s
         64   1C 00006380 ldap_add_ext_sA
         65   1D 00006590 ldap_add_ext_sW
         44   1E 00006750 ldap_add_s
         66   1F 00006750 ldap_add_sA
         69   20 00006770 ldap_add_sW
         61   21 0000A140 ldap_bind
         70   22 0000A140 ldap_bindA
         71   23 0000A160 ldap_bindW
         45   24 0000A260 ldap_bind_s
         72   25 0000A260 ldap_bind_sA
         73   26 0000A280 ldap_bind_sW
        230   27 000370F0 ldap_check_filterA
        231   28 00037160 ldap_check_filterW
        202   29 00014500 ldap_cleanup
         74   2A 00011710 ldap_close_extended_op
         19   2B 0000C240 ldap_compare
         75   2C 0000C240 ldap_compareA
         76   2D 0000C280 ldap_compareW
         78   2E 0000C3A0 ldap_compare_ext
         80   2F 0000C3A0 ldap_compare_extA
         81   30 0000C5F0 ldap_compare_extW
         83   31 0000C720 ldap_compare_ext_s
         84   32 0000C720 ldap_compare_ext_sA
         85   33 0000C9B0 ldap_compare_ext_sW
         52   34 0000CB50 ldap_compare_s
         86   35 0000CB50 ldap_compare_sA
         87   36 0000CB80 ldap_compare_sW
        312   37 0003AF50 ldap_conn_from_msg
         88   38 0001F250 ldap_connect
         89   39 0000D820 ldap_control_free
         90   3A 0000D820 ldap_control_freeA
         91   3B 0000D830 ldap_control_freeW
         92   3C 0000D880 ldap_controls_free
         93   3D 0000D880 ldap_controls_freeA
         94   3E 0000D890 ldap_controls_freeW
         36   3F 00030320 ldap_count_entries
         95   40 00038240 ldap_count_references
         37   41 0002F550 ldap_count_values
         96   42 0002F550 ldap_count_valuesA
         97   43 0002F570 ldap_count_valuesW
         77   44 0002F570 ldap_count_values_len
         98   45 00020BB0 ldap_create_page_control
         99   46 00020BB0 ldap_create_page_controlA
        100   47 00020CB0 ldap_create_page_controlW
        101   48 000358F0 ldap_create_sort_control
        102   49 000358F0 ldap_create_sort_controlA
        103   4A 00035910 ldap_create_sort_controlW
        320   4B 00020DB0 ldap_create_vlv_controlA
        319   4C 00020DE0 ldap_create_vlv_controlW
         20   4D 000109E0 ldap_delete
        104   4E 000109E0 ldap_deleteA
        105   4F 00010A10 ldap_deleteW
        106   50 00010A40 ldap_delete_ext
        107   51 00010A40 ldap_delete_extA
