
Dump of file C:\Windows\System32\combase.dll

File Type: DLL

  Section contains the following exports for combase.dll

    00000000 characteristics
    BAF10630 time date stamp
        0.00 version
           1 ordinal base
         591 number of functions
         457 number of names

    ordinal hint RVA      name

         89    0 001DAB90 CLIPFORMAT_UserFree
         91    1 000E76C0 CLIPFORMAT_UserFree64
         94    2 001DAE40 CLIPFORMAT_UserMarshal
        105    3 000BCD60 CLIPFORMAT_UserMarshal64
        106    4 001DAFA0 CLIPFORMAT_UserSize
        107    5 000BCC30 CLIPFORMAT_UserSize64
        108    6 001DB0C0 CLIPFORMAT_UserUnmarshal
        109    7 000BD3A0 CLIPFORMAT_UserUnmarshal64
        113    8 000B80C0 CLSIDFromOle1Class
        114    9 00098380 CLSIDFromProgID
        115    A 00097EC0 CLSIDFromProgIDEx
        116    B 000B84E0 CLSIDFromString
        117    C 00201F50 CStdAsyncStubBuffer2_Connect
        118    D 000C66B0 CStdAsyncStubBuffer2_Disconnect
        119    E 00201FA0 CStdAsyncStubBuffer2_Release
        131    F 000C3570 CStdAsyncStubBuffer_AddRef
        132   10 00202020 CStdAsyncStubBuffer_Connect
        144   11 000C58E0 CStdAsyncStubBuffer_Disconnect
        225   12 00202070 CStdAsyncStubBuffer_Invoke
        226   13 00202180 CStdAsyncStubBuffer_QueryInterface
        227   14 002022B0 CStdAsyncStubBuffer_Release
        228   15 0000D140 CStdStubBuffer2_Connect
        229   16 00202420 CStdStubBuffer2_CountRefs
        230   17 000C66B0 CStdStubBuffer2_Disconnect
        231   18 000C3C10 CStdStubBuffer2_QueryInterface
        232   19 000C3570 CStdStubBuffer_AddRef
        233   1A 0000D180 CStdStubBuffer_Connect
        234   1B 00202500 CStdStubBuffer_CountRefs
        235   1C 00202520 CStdStubBuffer_DebugServerQueryInterface
        236   1D 000137F0 CStdStubBuffer_DebugServerRelease
        237   1E 000C58E0 CStdStubBuffer_Disconnect
        238   1F 000B9820 CStdStubBuffer_Invoke
        239   20 00202540 CStdStubBuffer_IsIIDSupported
        240   21 000C3C80 CStdStubBuffer_QueryInterface
        241   22 000DD350 CleanupComl2StateInAllTls
        242   23 000D3160 CleanupOleStateInAllTls
        243   24 000DD3C0 CleanupTlsComl2State
        244   25 000D31D0 CleanupTlsOleState
        245   26 00198A00 ClearCleanupFlag
        246   27 000C2CD0 CoAddRefServerProcess
        247   28 0008E9E0 CoAllowUnmarshalerCLSID
        248   29 001A4680 CoCancelCall
        249   2A 000B0280 CoCopyProxy
        250   2B 000E3770 CoCreateErrorInfo
        251   2C 00036400 CoCreateFreeThreadedMarshaler
        252   2D 000816E0 CoCreateGuid
        253   2E 0002C030 CoCreateInstance
        254   2F 000C7B80 CoCreateInstanceEx
        255   30 000E3F40 CoCreateInstanceFromApp
        256   31 001A8800 CoCreateObjectInContext
        257   32 001A8B80 CoDeactivateObject
        258   33 001A8C50 CoDecodeProxy
        259   34 000974B0 CoDecrementMTAUsage
        260   35 000D29B0 CoDisableCallCancellation
        261   36 000A3120 CoDisconnectContext
        262   37 000A1550 CoDisconnectObject
        263   38 000D3260 CoEnableCallCancellation
        264   39 00012A70 CoFileTimeNow
        265   3A 00098E90 CoFreeUnusedLibraries
        266   3B 000995F0 CoFreeUnusedLibrariesEx
        267   3C 001A8C80 CoGetActivationState
        268   3D 001AC7C0 CoGetApartmentID
        269   3E 000B5CD0 CoGetApartmentType
        270   3F 000890F0 CoGetCallContext
        271   40 001A8CC0 CoGetCallState
