
Dump of file C:\Windows\System32\crypt32.dll

File Type: DLL

  Section contains the following exports for CRYPT32.dll

    00000000 characteristics
    6D85013F time date stamp
        0.00 version
        1001 ordinal base
        1000 number of functions
         295 number of names

    ordinal hint RVA      name

       1020    0 0007D720 CertAddCRLContextToStore
       1021    1 0007D7A0 CertAddCRLLinkToStore
       1022    2 0007D720 CertAddCTLContextToStore
       1023    3 0007D7A0 CertAddCTLLinkToStore
       1024    4 00016930 CertAddCertificateContextToStore
       1025    5 0007D7A0 CertAddCertificateLinkToStore
       1026    6 0001AB70 CertAddEncodedCRLToStore
       1027    7 00007770 CertAddEncodedCTLToStore
       1028    8 0002A5F0 CertAddEncodedCertificateToStore
       1029    9 0007E810 CertAddEncodedCertificateToSystemStoreA
       1030    A 0007E890 CertAddEncodedCertificateToSystemStoreW
       1031    B 0007EFB0 CertAddEnhancedKeyUsageIdentifier
       1032    C 00080990 CertAddRefServerOcspResponse
       1033    D 000809B0 CertAddRefServerOcspResponseContext
       1034    E 000499A0 CertAddSerializedElementToStore
       1035    F 00043190 CertAddStoreToCollection
       1036   10 000811C0 CertAlgIdToOID
       1037   11 000809D0 CertCloseServerOcspResponse
       1038   12 0002C1C0 CertCloseStore
       1039   13 00018280 CertCompareCertificate
       1040   14 00016480 CertCompareCertificateName
       1041   15 00081200 CertCompareIntegerBlob
       1042   16 00030EF0 CertComparePublicKeyInfo
       1043   17 00047610 CertControlStore
       1044   18 0001AB30 CertCreateCRLContext
       1045   19 00007730 CertCreateCTLContext
       1046   1A 0007D800 CertCreateCTLEntryFromCertificateContextProperties
       1047   1B 000C8080 CertCreateCertificateChainEngine
       1048   1C 000170C0 CertCreateCertificateContext
       1049   1D 00048240 CertCreateContext
       1050   1E 000817D0 CertCreateSelfSignCertificate
       1051   1F 0007DD40 CertDeleteCRLFromStore
       1052   20 0007DD40 CertDeleteCTLFromStore
       1053   21 0007DD40 CertDeleteCertificateFromStore
       1054   22 0001A560 CertDuplicateCRLContext
       1055   23 0001A560 CertDuplicateCTLContext
       1056   24 0001B630 CertDuplicateCertificateChain
       1057   25 00023B30 CertDuplicateCertificateContext
       1058   26 0001B610 CertDuplicateStore
       1059   27 0007DD60 CertEnumCRLContextProperties
       1060   28 00006B90 CertEnumCRLsInStore
       1061   29 0007DD60 CertEnumCTLContextProperties
       1062   2A 000454C0 CertEnumCTLsInStore
       1063   2B 0007DD60 CertEnumCertificateContextProperties
       1064   2C 00028730 CertEnumCertificatesInStore
       1065   2D 00086500 CertEnumPhysicalStore
       1066   2E 0007DD80 CertEnumSubjectInSortedCTL
       1067   2F 00086520 CertEnumSystemStore
       1068   30 000868B0 CertEnumSystemStoreLocation
       1069   31 00021610 CertFindAttribute
       1070   32 00028600 CertFindCRLInStore
       1071   33 0007DEF0 CertFindCTLInStore
       1072   34 0001BFD0 CertFindCertificateInCRL
       1073   35 00028790 CertFindCertificateInStore
       1074   36 00087630 CertFindChainInStore
       1075   37 00035520 CertFindExtension
       1076   38 00081220 CertFindRDNAttr
       1077   39 0001EDD0 CertFindSubjectInCTL
       1078   3A 0003FD00 CertFindSubjectInSortedCTL
       1079   3B 0001BB50 CertFreeCRLContext
       1080   3C 0001BB50 CertFreeCTLContext
       1081   3D 00020310 CertFreeCertificateChain
       1082   3E 000C8090 CertFreeCertificateChainEngine
       1083   3F 00087A00 CertFreeCertificateChainList
       1084   40 00029360 CertFreeCertificateContext
