
Dump of file C:\Windows\System32\migwiz\csiagent.dll

File Type: DLL

  Section contains the following exports for csiagent.dll

    00000000 characteristics
    9BEEE246 time date stamp
        0.00 version
           1 ordinal base
         197 number of functions
         197 number of names

    ordinal hint RVA      name

          1    0 00014FD0 ??0?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z
          2    1 00015010 ??0?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@QEAA@PEAV?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@1@@Z
          3    2 00015040 ??0?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@QEAA@XZ
          4    3 00015240 ??0?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z
          5    4 00015280 ??0?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@QEAA@PEAVXmlDocument@1@@Z
          6    5 000152B0 ??0?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@QEAA@XZ
          7    6 00003450 ??0CCSIAgent@Mig@@QEAA@$$QEAV01@@Z
          8    7 00003390 ??0CCSIAgent@Mig@@QEAA@AEBV01@@Z
          9    8 0000BE50 ??0CCSIAgent@Mig@@QEAA@PEAVString@UnBCL@@@Z
         10    9 00002450 ??0CComponentBuilder@Mig@@QEAA@AEBV01@@Z
         11    A 00008A00 ??0CComponentBuilder@Mig@@QEAA@PEAUIResourceLocator@1@PEAVString@UnBCL@@PEAUIManifestParser@1@11H@Z
         12    B 00002210 ??0CComponentState@Mig@@QEAA@AEBV01@@Z
         13    C 00008510 ??0CComponentState@Mig@@QEAA@PEAVString@UnBCL@@@Z
         14    D 00001D80 ??0CDirManifestEnumerator@Mig@@QEAA@AEBV01@@Z
         15    E 00006A30 ??0CDirManifestEnumerator@Mig@@QEAA@PEAVString@UnBCL@@@Z
         16    F 00001960 ??0CDllManifestParser@Mig@@QEAA@AEBV01@@Z
         17   10 000043B0 ??0CDllManifestParser@Mig@@QEAA@PEAVString@UnBCL@@@Z
         18   11 00001BB0 ??0CInstalledManifestEnumerator@Mig@@QEAA@AEBV01@@Z
         19   12 00004BF0 ??0CInstalledManifestEnumerator@Mig@@QEAA@PEAVCPlatform@1@@Z
         20   13 00001F10 ??0CListManifestEnumerator@Mig@@QEAA@AEBV01@@Z
         21   14 000071E0 ??0CListManifestEnumerator@Mig@@QEAA@PEAVString@UnBCL@@@Z
         22   15 00001840 ??0CManifestSource@Mig@@QEAA@AEBV01@@Z
         23   16 000042A0 ??0CManifestSource@Mig@@QEAA@PEAUIManifestEnumerator@1@@Z
         24   17 000020A0 ??0CManifestSourceFactory@Mig@@QEAA@$$QEAV01@@Z
         25   18 000020A0 ??0CManifestSourceFactory@Mig@@QEAA@AEBV01@@Z
         26   19 00002070 ??0CManifestSourceFactory@Mig@@QEAA@XZ
         27   1A 000025E0 ??0CMigUnitListGenerator@Mig@@QEAA@AEBV01@@Z
         28   1B 0000A980 ??0CMigUnitListGenerator@Mig@@QEAA@PEAV?$ArrayList@PEAVCComponentState@Mig@@@UnBCL@@PEAVCPlatform@1@PEAVString@3@@Z
