
Dump of file C:\Windows\System32\oobe\diagnostic.dll

File Type: DLL

  Section contains the following exports for diagnostic.dll

    00000000 characteristics
    C5FDCECC time date stamp
        0.00 version
           1 ordinal base
         166 number of functions
         166 number of names

    ordinal hint RVA      name

          1    0 00001240 ??0CAccessWMI@@IEAA@PEBG@Z
          2    1 00001120 ??0CAccessWMI@@QEAA@AEBV0@@Z
          3    2 00014A10 ??0CCountArray@@QEAA@XZ
          4    3 00003620 ??0CExistingOS@@QEAA@XZ
          5    4 00002690 ??0CHardwareID@@QEAA@XZ
          6    5 00004ED0 ??0CInstallSource@@QEAA@PEAU_BLACKBOARD@@@Z
          7    6 00002220 ??0CMoboAndProcInfo@@QEAA@AEBV0@@Z
          8    7 000023A0 ??0CMoboAndProcInfo@@QEAA@XZ
          9    8 00004480 ??0CNewOS@@QEAA@PEAU_BLACKBOARD@@@Z
         10    9 00003100 ??0CSqmDiagConsumer@@QEAA@AEBV0@@Z
         11    A 00006780 ??0CSqmDiagConsumer@@QEAA@XZ
         12    B 00003050 ??0IDiagConsumer@@QEAA@AEBV0@@Z
         13    C 00003050 ??0IDiagConsumer@@QEAA@XZ
         14    D 000032E0 ??0InstallData@@QEAA@AEBV0@@Z
         15    E 000096D0 ??0InstallData@@QEAA@PEAU_BLACKBOARD@@@Z
         16    F 00003230 ??0MachineHardWare@@QEAA@AEBV0@@Z
         17   10 000089B0 ??0MachineHardWare@@QEAA@XZ
         18   11 00003280 ??0NewSystem@@QEAA@AEBV0@@Z
         19   12 00008E60 ??0NewSystem@@QEAA@PEAU_BLACKBOARD@@@Z
         20   13 000032C0 ??0OldSystem@@QEAA@AEBV0@@Z
         21   14 00009200 ??0OldSystem@@QEAA@XZ
         22   15 00001270 ??1CAccessWMI@@MEAA@XZ
         23   16 00014A50 ??1CCountArray@@QEAA@XZ
         24   17 00003790 ??1CExistingOS@@QEAA@XZ
         25   18 00002830 ??1CHardwareID@@QEAA@XZ
         26   19 00004580 ??1CInstallSource@@QEAA@XZ
         27   1A 000024B0 ??1CMoboAndProcInfo@@UEAA@XZ
         28   1B 00004580 ??1CNewOS@@QEAA@XZ
         29   1C 000067B0 ??1CSqmDiagConsumer@@UEAA@XZ
         30   1D 00003030 ??1IDiagConsumer@@UEAA@XZ
         31   1E 00009730 ??1InstallData@@QEAA@XZ
         32   1F 00008A00 ??1MachineHardWare@@QEAA@XZ
         33   20 00008EC0 ??1NewSystem@@QEAA@XZ
         34   21 00009250 ??1OldSystem@@QEAA@XZ
         35   22 00001170 ??4CAccessWMI@@QEAAAEAV0@AEBV0@@Z
         36   23 00003210 ??4CCountArray@@QEAAAEAV0@AEBV0@@Z
         37   24 00003070 ??4CDiagConsumerAdaptorFactory@@QEAAAEAV0@$$QEAV0@@Z
         38   25 00003070 ??4CDiagConsumerAdaptorFactory@@QEAAAEAV0@AEBV0@@Z
         39   26 00002E80 ??4CExistingOS@@QEAAAEAV0@AEBV0@@Z
         40   27 00002660 ??4CHardwareID@@QEAAAEAV0@AEBV0@@Z
         41   28 00003010 ??4CInstallSource@@QEAAAEAV0@AEBV0@@Z
         42   29 000022B0 ??4CMoboAndProcInfo@@QEAAAEAV0@AEBV0@@Z
         43   2A 00002F90 ??4CNewOS@@QEAAAEAV0@AEBV0@@Z
         44   2B 00003140 ??4CSqmDiagConsumer@@QEAAAEAV0@AEBV0@@Z
         45   2C 00003070 ??4IDiagConsumer@@QEAAAEAV0@AEBV0@@Z
