
Dump of file C:\Windows\System32\edgeIso.dll

File Type: DLL

  Section contains the following exports for edgeIso.dll

    00000000 characteristics
     7E7421C time date stamp
        0.00 version
           1 ordinal base
         236 number of functions
           0 number of names

    ordinal hint RVA      name

          1      00038D30 [NONAME]
          2      00038FA0 [NONAME]
          3      00010910 [NONAME]
          4      0000A440 [NONAME]
          5      00049BC0 [NONAME]
          6      00049AC0 [NONAME]
          7      000499E0 [NONAME]
          8      0001BA40 [NONAME]
          9      000498F0 [NONAME]
         10               [NONAME] (forwarded to edgeiso.#217)
         11      0000A070 [NONAME]
         12      00028560 [NONAME]
         13      00004AF0 [NONAME]
         14      00048FB0 [NONAME]
         15      00005340 [NONAME]
         16      00005540 [NONAME]
         17      0004A630 [NONAME]
         18      0004A6D0 [NONAME]
         19               [NONAME] (forwarded to edgeiso.#217)
         20      00004EC0 [NONAME]
         21      000056C0 [NONAME]
         22      0001AFA0 [NONAME]
         23      00049E00 [NONAME]
         24      00049DA0 [NONAME]
         25      00049E60 [NONAME]
         26      00012610 [NONAME]
         27      0000FE80 [NONAME]
         28      00049FD0 [NONAME]
         29      00049F60 [NONAME]
         30      0004A000 [NONAME]
         31      000109B0 [NONAME]
         32      00007170 [NONAME]
         33      00022B50 [NONAME]
         34      000239F0 [NONAME]
         35      00004540 [NONAME]
         36      000045D0 [NONAME]
         37      00004340 [NONAME]
         38      00003FB0 [NONAME]
         39      00004100 [NONAME]
         40      0004A7D0 [NONAME]
         41      000046D0 [NONAME]
         42      000049C0 [NONAME]
         43      0004A770 [NONAME]
         44      0001F100 [NONAME]
         45      000498D0 [NONAME]
         46      00023E30 [NONAME]
         47      00009E50 [NONAME]
         48      00049650 [NONAME]
         49      00014070 [NONAME]
         50      0000A1A0 [NONAME]
         51      0000A700 [NONAME]
         52      00004D00 [NONAME]
         53      00049670 [NONAME]
         54      000496B0 [NONAME]
         55      000050E0 [NONAME]
         56      00004DF0 [NONAME]
         57      000053B0 [NONAME]
         58      0001BAF0 [NONAME]
         59      000057E0 [NONAME]
         60      00049840 [NONAME]
         61      00049EB0 [NONAME]
         62      00004B70 [NONAME]
         63      00004BE0 [NONAME]
