
Dump of file C:\Windows\System32\fveapi.dll

File Type: DLL

  Section contains the following exports for FVEAPI.dll

    00000000 characteristics
    77F32B4E time date stamp
        0.00 version
           1 ordinal base
         149 number of functions
         149 number of names

    ordinal hint RVA      name

         11    0 00020F40 FveAddAuthMethodInformation
         12    1 00044700 FveAddAuthMethodSid
         13    2 0002D5F0 FveAddPredictiveTpmProtector
         14    3 000063A0 FveApplyGroupPolicy
         15    4 000022C0 FveApplyNkpCertChanges
         16    5 00044860 FveAttemptAutoUnlock
         17    6 00042CB0 FveAuthElementFromPassPhraseW
         18    7 00042D70 FveAuthElementFromPinW
         19    8 0000C7F0 FveAuthElementFromRecoveryPasswordW
         20    9 00042E50 FveAuthElementGetKeyFileNameW
         21    A 00042F30 FveAuthElementReadExternalKeyW
         22    B 0000C750 FveAuthElementToRecoveryPasswordW
         23    C 00043020 FveAuthElementWriteExternalKeyW
         24    D 00044950 FveBackupRecoveryInformationToAD
         25    E 00044A50 FveBackupRecoveryInformationToADEx
         26    F 00044B80 FveBindDataVolume
         27   10 000430E0 FveCanPinExceptionPolicyBeApplied
         28   11 00026550 FveCanStandardUsersChangePassphraseByProxy
         29   12 000264F0 FveCanStandardUsersChangePin
         30   13 00044C90 FveCheckADRecoveryInfoBackupPolicy
         31   14 00044D80 FveCheckADRecoveryInfoBackupPolicyEx
         32   15 00044E60 FveCheckPassphrasePolicy
         33   16 00044F40 FveCheckTpmCapability
         34   17 000430F0 FveClearUserFlags
         35   18 000285F0 FveCloseHandle
         36   19 00028570 FveCloseVolume
         37   1A 00020E80 FveCommitChanges
         38   1B 00020E90 FveCommitChangesEx
         39   1C 00043100 FveConversionDecrypt
         40   1D 00043110 FveConversionDecryptEx
         41   1E 00045020 FveConversionEncrypt
         42   1F 00001D50 FveConversionEncryptEx
         43   20 000450B0 FveConversionEncryptPendingReboot
         44   21 000450C0 FveConversionEncryptPendingRebootEx
         45   22 00043210 FveConversionPause
         46   23 00043300 FveConversionResume
         47   24 000433F0 FveConversionStop
         48   25 00043400 FveConversionStopEx
         49   26 000451A0 FveDecrementClearKeyCounter
         50   27 00045270 FveDeleteAuthMethod
         51   28 00045380 FveDeleteDeviceEncryptionOptOutForVolumeW
         52   29 000454D0 FveDisableDeviceLockoutState
         53   2A 00043500 FveDiscardChanges
         54   2B 000455B0 FveDraCertPresentInRegistry
         55   2C 000435E0 FveEnableRawAccess
         56   2D 000435F0 FveEnableRawAccessEx
         57   2E 000436E0 FveEnableRawAccessW
         58   2F 0000B340 FveEraseDrive
         59   30 00045660 FveEscrowEncryptedRecoveryKeyForRetailUnlock
         60   31 0001D1E0 FveFindFirstVolume
         61   32 0001D800 FveFindNextVolume
         62   33 0000AC70 FveFlagsToProtectorType
         63   34 00045710 FveGenerateNbp
         64   35 00002580 FveGenerateNkpSessionKeys
         65   36 0001F4B0 FveGetAllowKeyExport
         66   37 0001F760 FveGetAuthMethodGuids
         67   38 0001F690 FveGetAuthMethodInformation
         68   39 00045800 FveGetAuthMethodSid
         69   3A 00045900 FveGetAuthMethodSidInformation
         70   3B 00020B50 FveGetClearKeyCounter
         71   3C 000437E0 FveGetDataSet
         72   3D 00045AB0 FveGetDescriptionW
         73   3E 00045BC0 FveGetDeviceLockoutData
         74   3F 00045CB0 FveGetExternalKeyBlob
         75   40 000438F0 FveGetFipsAllowDisabled
         76   41 0000F720 FveGetFveMethod
         77   42 000439A0 FveGetFveMethodEDrv
