
Dump of file C:\Windows\System32\gpprefcl.dll

File Type: DLL

  Section contains the following exports for polprocl.dll

    00000000 characteristics
    1CD89EB6 time date stamp
        0.00 version
           1 ordinal base
          69 number of functions
          69 number of names

    ordinal hint RVA      name

          3    0 00030F00 DllCanUnloadNow
          4    1 00030F20 DllGetClassObject
          5    2 00031080 DllRegisterServer
          6    3 00031130 DllUnregisterServer
          7    4 0002EA10 GenerateGroupPolicyApplications
          8    5 0002F3D0 GenerateGroupPolicyDataSources
          9    6 0002F640 GenerateGroupPolicyDevices
         10    7 0002DDE0 GenerateGroupPolicyDrives
         11    8 0002DB70 GenerateGroupPolicyEnviron
         12    9 0002E2C0 GenerateGroupPolicyFiles
         13    A 0002F8B0 GenerateGroupPolicyFolderOptions
         14    B 0002E050 GenerateGroupPolicyFolders
         15    C 0002E530 GenerateGroupPolicyIniFile
         16    D 0002EEF0 GenerateGroupPolicyInternet
         17    E 0002FB20 GenerateGroupPolicyLocUsAndGroups
         18    F 00030C30 GenerateGroupPolicyNetShares
         19   10 0002FD90 GenerateGroupPolicyNetworkOptions
         20   11 00030000 GenerateGroupPolicyPowerOptions
         21   12 0002EC80 GenerateGroupPolicyPrinters
         22   13 00030270 GenerateGroupPolicyRegionOptions
         23   14 0002E7A0 GenerateGroupPolicyRegistry
         24   15 000304E0 GenerateGroupPolicySchedTasks
         25   16 00030750 GenerateGroupPolicyServices
         26   17 0002F160 GenerateGroupPolicyShortcuts
         27   18 000309C0 GenerateGroupPolicyStartMenu
         28   19 0002EAD0 ProcessGroupPolicyApplications
         29   1A 0002F490 ProcessGroupPolicyDataSources
         30   1B 0002F700 ProcessGroupPolicyDevices
         31   1C 0002DEA0 ProcessGroupPolicyDrives
         32   1D 0002DC30 ProcessGroupPolicyEnviron
         33   1E 0002EBA0 ProcessGroupPolicyExApplications
         34   1F 0002F560 ProcessGroupPolicyExDataSources
         35   20 0002F7D0 ProcessGroupPolicyExDevices
         36   21 0002DF70 ProcessGroupPolicyExDrives
         37   22 0002DD00 ProcessGroupPolicyExEnviron
         38   23 0002E450 ProcessGroupPolicyExFiles
         39   24 0002FA40 ProcessGroupPolicyExFolderOptions
         40   25 0002E1E0 ProcessGroupPolicyExFolders
         41   26 0002E6C0 ProcessGroupPolicyExIniFile
         42   27 0002F080 ProcessGroupPolicyExInternet
         43   28 0002FCB0 ProcessGroupPolicyExLocUsAndGroups
         44   29 00030DC0 ProcessGroupPolicyExNetShares
         45   2A 0002FF20 ProcessGroupPolicyExNetworkOptions
         46   2B 00030190 ProcessGroupPolicyExPowerOptions
         47   2C 0002EE10 ProcessGroupPolicyExPrinters
         48   2D 00030400 ProcessGroupPolicyExRegionOptions
         49   2E 0002E930 ProcessGroupPolicyExRegistry
         50   2F 00030670 ProcessGroupPolicyExSchedTasks
         51   30 000308E0 ProcessGroupPolicyExServices
         52   31 0002F2F0 ProcessGroupPolicyExShortcuts
         53   32 00030B50 ProcessGroupPolicyExStartMenu
         54   33 0002E380 ProcessGroupPolicyFiles
         55   34 0002F970 ProcessGroupPolicyFolderOptions
         56   35 0002E110 ProcessGroupPolicyFolders
         57   36 0002E5F0 ProcessGroupPolicyIniFile
         58   37 0002EFB0 ProcessGroupPolicyInternet
         59   38 0002FBE0 ProcessGroupPolicyLocUsAndGroups
          1   39 000415F0 ProcessGroupPolicyMitigationOptions
         60   3A 00030CF0 ProcessGroupPolicyNetShares
         61   3B 0002FE50 ProcessGroupPolicyNetworkOptions
         62   3C 000300C0 ProcessGroupPolicyPowerOptions
         63   3D 0002ED40 ProcessGroupPolicyPrinters
          2   3E 000418F0 ProcessGroupPolicyProcessMitigationOptions
         64   3F 00030330 ProcessGroupPolicyRegionOptions
         65   40 0002E860 ProcessGroupPolicyRegistry
         66   41 000305A0 ProcessGroupPolicySchedTasks
         67   42 00030810 ProcessGroupPolicyServices
         68   43 0002F220 ProcessGroupPolicyShortcuts
         69   44 00030A80 ProcessGroupPolicyStartMenu

  Summary

        1000 .data
        4000 .pdata
       37000 .rdata
        1000 .reloc
        8000 .rsrc
       6A000 .text
