
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igdgmm64.dll

File Type: DLL

  Section contains the following exports for igdgmm64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         287 number of functions
         287 number of names

    ordinal hint RVA      name

          1    0 000011F0 ??0GmmClientContext@GmmLib@@QEAA@AEBV01@@Z
          2    1 0016C790 ??0GmmClientContext@GmmLib@@QEAA@W4GMM_CLIENT_ENUM@@@Z
          3    2 0016C800 ??0GmmClientContext@GmmLib@@QEAA@W4GMM_CLIENT_ENUM@@PEAVContext@1@@Z
          4    3 000012A0 ??0GmmPageTableMgr@GmmLib@@QEAA@AEBV01@@Z
          5    4 00166530 ??0GmmPageTableMgr@GmmLib@@QEAA@PEAU_GMM_DEVICE_CALLBACKS_INT@@IPEAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@PEAVGmmClientContext@1@@Z
          6    5 00165FD0 ??0GmmPageTableMgr@GmmLib@@QEAA@PEAU_GMM_DEVICE_CALLBACKS_INT@@IPEAVGmmClientContext@1@@Z
          7    6 00165F00 ??0GmmPageTableMgr@GmmLib@@QEAA@XZ
          8    7 00001440 ??0GmmResourceInfoCommon@GmmLib@@QEAA@AEBV01@@Z
          9    8 00001650 ??0GmmResourceInfoCommon@GmmLib@@QEAA@PEAVGmmClientContext@1@@Z
         10    9 000016F0 ??0GmmResourceInfoCommon@GmmLib@@QEAA@XZ
         11    A 00001780 ??0GmmResourceInfoWin@GmmLib@@QEAA@AEBV01@@Z
         12    B 00001820 ??0GmmResourceInfoWin@GmmLib@@QEAA@PEAVGmmClientContext@1@@Z
         13    C 000018F0 ??0GmmResourceInfoWin@GmmLib@@QEAA@XZ
         14    D 0016C870 ??1GmmClientContext@GmmLib@@UEAA@XZ
         15    E 00167A10 ??1GmmPageTableMgr@GmmLib@@UEAA@XZ
         16    F 000019A0 ??1GmmResourceInfoCommon@GmmLib@@UEAA@XZ
         17   10 000019D0 ??1GmmResourceInfoWin@GmmLib@@UEAA@XZ
         18   11 00001A30 ??4GmmClientContext@GmmLib@@QEAAAEAV01@AEBV01@@Z
         19   12 00001AD0 ??4GmmPageTableMgr@GmmLib@@QEAAAEAV01@AEBV01@@Z
         20   13 00001C70 ??4GmmResourceInfoCommon@GmmLib@@QEAAAEAV01@AEBV01@@Z
         21   14 00001E20 ??4GmmResourceInfoWin@GmmLib@@QEAAAEAV01@AEBV01@@Z
         22   15 0017EB88 ??_7GmmClientContext@GmmLib@@6B@
         23   16 0017F708 ??_7GmmPageTableMgr@GmmLib@@6B@
         24   17 0017EDE8 ??_7GmmResourceInfoCommon@GmmLib@@6B@
         25   18 0017F220 ??_7GmmResourceInfoWin@GmmLib@@6B@
         26   19 0014A590 ?Alias32bit@GmmResourceInfoWin@GmmLib@@UEAAETGMM_ESCAPE_HANDLE_REC@@0IIPEAITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
         27   1A 0016F570 ?AllocateHeapVA@GmmClientContext@GmmLib@@UEAA_KPEAUGMM_HEAP_REC@@_K@Z
         28   1B 0014A2C0 ?ApplyExistingSysMem@GmmResourceInfoWin@GmmLib@@UEAAEPEAX_K@Z
         29   1C 00149CF0 ?ApplyExistingSysMemRestrictions@GmmResourceInfoCommon@GmmLib@@AEAA?AW4GMM_STATUS_ENUM@@XZ
