
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igvk64.dll

File Type: DLL

  Section contains the following exports for igvk64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         271 number of functions
         271 number of names

    ordinal hint RVA      name

          1    0 004559E0 DumpRegistryKeyDefinitions
          2    1 004559E0 DumpRegistryKeyDefinitions2
          3    2 004559E0 SetDriverStoreDir
          4    3 00453B40 vkAcquireFullScreenExclusiveModeEXT
          5    4 00453B60 vkAcquireNextImage2KHR
          6    5 00453B80 vkAcquireNextImageKHR
          7    6 00453BB0 vkAcquirePerformanceConfigurationINTEL
          8    7 00453BD0 vkAcquireProfilingLockKHR
          9    8 00453BF0 vkAllocateCommandBuffers
         10    9 00453C10 vkAllocateDescriptorSets
         11    A 00453C30 vkAllocateMemory
         12    B 00453C50 vkBeginCommandBuffer
         13    C 00453C70 vkBindBufferMemory
         14    D 00453C90 vkBindBufferMemory2
         15    E 00453CB0 vkBindBufferMemory2KHR
         16    F 00453CD0 vkBindImageMemory
         17   10 00453CF0 vkBindImageMemory2
         18   11 00453D10 vkBindImageMemory2KHR
         19   12 00453D30 vkCmdBeginConditionalRenderingEXT
         20   13 00453D50 vkCmdBeginQuery
         21   14 00453D70 vkCmdBeginRenderPass
         22   15 00453D90 vkCmdBeginRenderPass2
         23   16 00453DB0 vkCmdBeginRenderPass2KHR
         24   17 00453DD0 vkCmdBindDescriptorSets
         25   18 00453E20 vkCmdBindIndexBuffer
         26   19 00453E40 vkCmdBindPipeline
         27   1A 00453E60 vkCmdBindVertexBuffers
         28   1B 00453E90 vkCmdBlitImage
         29   1C 00453EE0 vkCmdClearAttachments
         30   1D 00453F10 vkCmdClearColorImage
         31   1E 00453F40 vkCmdClearDepthStencilImage
         32   1F 00453F70 vkCmdCopyBuffer
         33   20 00453FA0 vkCmdCopyBufferToImage
         34   21 00453FD0 vkCmdCopyImage
         35   22 00454010 vkCmdCopyImageToBuffer
         36   23 00454040 vkCmdCopyQueryPoolResults
         37   24 00454090 vkCmdDispatch
         38   25 004540B0 vkCmdDispatchBase
         39   26 004540F0 vkCmdDispatchBaseKHR
         40   27 00454130 vkCmdDispatchIndirect
         41   28 00454150 vkCmdDraw
         42   29 00454180 vkCmdDrawIndexed
         43   2A 004541B0 vkCmdDrawIndexedIndirect
         44   2B 004541E0 vkCmdDrawIndexedIndirectCount
         45   2C 00454220 vkCmdDrawIndexedIndirectCountKHR
         46   2D 00454260 vkCmdDrawIndirect
         47   2E 00454290 vkCmdDrawIndirectCount
         48   2F 004542D0 vkCmdDrawIndirectCountKHR
         49   30 00454310 vkCmdEndConditionalRenderingEXT
         50   31 00454330 vkCmdEndQuery
         51   32 00454350 vkCmdEndRenderPass
         52   33 00454370 vkCmdEndRenderPass2
         53   34 00454390 vkCmdEndRenderPass2KHR
         54   35 004543B0 vkCmdExecuteCommands
         55   36 004543D0 vkCmdFillBuffer
         56   37 00454400 vkCmdNextSubpass
         57   38 00454420 vkCmdNextSubpass2
         58   39 00454440 vkCmdNextSubpass2KHR
         59   3A 00454460 vkCmdPipelineBarrier
         60   3B 004544F0 vkCmdPushConstants
         61   3C 00454520 vkCmdPushDescriptorSetKHR
         62   3D 00454550 vkCmdPushDescriptorSetWithTemplateKHR
         63   3E 00454580 vkCmdResetEvent
         64   3F 004545A0 vkCmdResetQueryPool
         65   40 004545C0 vkCmdResolveImage
