
Dump of file C:\Windows\System32\kernel.appcore.dll

File Type: DLL

  Section contains the following exports for AppCore.dll

    00000000 characteristics
    F0713FCD time date stamp
        0.00 version
           1 ordinal base
         237 number of functions
         237 number of names

    ordinal hint RVA      name

          2    0 00003000 AcquireStateLock
          3    1 00003010 AddDependencyToProcessPackageGraph
          4    2 00003020 AddExtensionProgId
          5    3 00003030 AddPackageToFamilyXref
          6    4 00003040 AppContainerDeriveSidFromMoniker
          7    5 00003050 AppContainerFreeMemory
          8    6 00003060 AppContainerLookupDisplayNameMrtReference
          9    7 00003070 AppContainerLookupMoniker
         10    8 00003080 AppContainerRegisterSid
         11    9 00003090 AppContainerUnregisterSid
         12    A 000030A0 AppPolicyGetClrCompat
         13    B 000030B0 AppPolicyGetCreateFileAccess
         14    C 000030C0 AppPolicyGetLifecycleManagement
         15    D 000030D0 AppPolicyGetMediaFoundationCodecLoading
         16    E 000030E0 AppPolicyGetProcessTerminationMethod
         17    F 000030F0 AppPolicyGetShowDeveloperDiagnostic
         18   10 00003100 AppPolicyGetThreadInitializationType
         19   11 00003110 AppPolicyGetWindowingModel
         20   12 00003120 AppXFreeMemory
         21   13 00003130 AppXGetApplicationData
         22   14 00003140 AppXGetDevelopmentMode
         23   15 00003150 AppXGetOSMaxVersionTested
         24   16 00003160 AppXGetOSMinVersion
         25   17 00003170 AppXGetPackageCapabilities
         26   18 00003180 AppXGetPackageSid
         27   19 00003190 AppXLookupDisplayName
         28   1A 000031A0 AppXLookupMoniker
         29   1B 000031B0 AppXUpdatePackageCapabilities
         30   1C 000031C0 ApplicationUserModelIdFromProductId
         31   1D 00002070 BuildProcThreadAttributeListFromBlob
         32   1E 000031D0 CheckIfStateChangeNotificationExists
         33   1F 000031E0 ClosePackageInfo
         34   20 000031F0 CloseState
         35   21 00003200 CloseStateAtom
         36   22 00003210 CloseStateChangeNotification
         37   23 00003220 CloseStateContainer
         38   24 00003230 CloseStateLock
         39   25 00003240 CommitStateAtom
         40   26 00003250 CouldMultiUserAppsBehaviorBePossibleForPackage
         41   27 00003260 CreateStateAtom
         42   28 00003270 CreateStateChangeNotification
         43   29 00003280 CreateStateContainer
         44   2A 00003290 CreateStateLock
         45   2B 000032A0 CreateStateSubcontainer
         46   2C 000032B0 DeleteStateAtomValue
         47   2D 000032C0 DeleteStateContainer
         48   2E 000032D0 DeleteStateContainerValue
         49   2F 000032E0 DuplicateStateContainerHandle
         50   30 000032F0 EnumerateExtensionNames
         51   31 00003300 EnumerateStateAtomValues
         52   32 00003310 EnumerateStateContainerItems
         53   33 00003320 ExtensionProgIdExists
         54   34 00003330 FindPackagesByPackageFamily
         55   35 00003340 FormatApplicationUserModelId
         56   36 00003350 FormatApplicationUserModelIdA
         57   37 00002270 GenerateProcThreadAttributeBlob
         58   38 00003360 GetAlternatePackageRoots
         59   39 00003370 GetAppDataFolder
         60   3A 00003380 GetAppModelVersion
         61   3B 00003390 GetApplicationUserModelId
         62   3C 000033A0 GetApplicationUserModelIdFromToken
         63   3D 000033B0 GetCurrentApplicationUserModelId
         64   3E 000033C0 GetCurrentPackageApplicationContext
         65   3F 000033D0 GetCurrentPackageApplicationResourcesContext
         66   40 000033E0 GetCurrentPackageContext
         67   41 000033F0 GetCurrentPackageFamilyName
         68   42 00003400 GetCurrentPackageFullName
         69   43 00003410 GetCurrentPackageGlobalizationContext
         70   44 00003420 GetCurrentPackageId
         71   45 00003430 GetCurrentPackageInfo
