
Dump of file C:\Windows\System32\lsasrv.dll

File Type: DLL

  Section contains the following exports for LSASRV.dll

    00000000 characteristics
    87EEBD31 time date stamp
        0.00 version
           1 ordinal base
         286 number of functions
         286 number of names

    ordinal hint RVA      name

          1    0 00059D60 InitializeLsaExtension
          3    1 000F76B0 IsTraceLevelEnabled
          4    2 000F80B0 LsaDbLookupSidChainRequest
          5    3 00023150 LsaIAddNamesToLogonSession
          6    4 00021920 LsaIAdjustTokenObjectIntegrity
          7    5 0005CB70 LsaIAdtAuditingEnabledByCategory
          8    6 000DAF70 LsaIAdtAuditingEnabledBySubCategory
          9    7 00045C00 LsaIAllocateHeap
         10    8 0003B730 LsaIAllocateHeapZero
         11    9 000C5E40 LsaIAllowProtectedCredLogon
         12    A 000DB060 LsaIAuditAccountLogon
         13    B 0001CB90 LsaIAuditAccountLogonEx
         14    C 000DB440 LsaIAuditInitializeParametersAndWriteEvent
         15    D 000DB510 LsaIAuditKdcEvent
         16    E 000DB8F0 LsaIAuditKerberosLogon
         17    F 00045F50 LsaIAuditLogonEx
         18   10 0001DF40 LsaIAuditLogonUsingExplicitCreds
         19   11 00061270 LsaIAuditNotifyPackageLoad
         20   12 000DB980 LsaIAuditPasswordAccessEvent
         21   13 000DBB70 LsaIAuditReplay
         22   14 00014520 LsaIAuditSamEvent
         23   15 000CA4F0 LsaICallPackage
         24   16 00040250 LsaICallPackageEx
         25   17 000CA530 LsaICallPackagePassthrough
         26   18 000439D0 LsaICancelNotification
         27   19 000F99D0 LsaIChangeSecretCipherKey
         28   1A 000233C0 LsaICheckProtectedUserByTokenInfo
         29   1B 000DD9A0 LsaICheckRestrictedMode
         30   1C 000F9A90 LsaIClearOldSyskey
         31   1D 00044470 LsaICryptProtectData
         32   1E 000C24C0 LsaICryptProtectDataEx
         33   1F 00044080 LsaICryptUnprotectData
         34   20 000C2570 LsaICryptUnprotectDataEx
         35   21 000C9500 LsaIDereferenceCredHandle
         36   22 000C2620 LsaIDeriveCredentialKey
         37   23 000FA1E0 LsaIDsNotifiedObjectChange
         38   24 000BA6E0 LsaIEfsAcceptSmartcardCredentials
         39   25 000CA660 LsaIEqualLogonProcessName
         40   26 00004150 LsaIEqualSupplementalTokenInfo
         41   27 000BE860 LsaIEventWritePackageNoCredential
         42   28 00017550 LsaIEventWritePackageNotCacheLogonUser
         43   29 00066E90 LsaIExtractTargetInfo
         44   2A 00067400 LsaIFilterInboundNamespace
         45   2B 000FA280 LsaIFilterNamespace
         46   2C 000FB190 LsaIFilterSids
         47   2D 000DD9C0 LsaIFlushIdentityCacheForSid
         48   2E 000FA310 LsaIForestTrustFindMatch
         49   2F 00067490 LsaIFreeFilterInboundNamespaceResult
         50   30 000FA370 LsaIFreeForestTrustInfo
         51   31 00016AE0 LsaIFreeHeap
         52   32 000401E0 LsaIFreeReturnBuffer
         53   33 00043B60 LsaIFreeSupplementalTokenInfo
         54   34 000DE6D0 LsaIFree_LSAI_PRIVATE_DATA
         55   35 000DE700 LsaIFree_LSAI_SECRET_ENUM_BUFFER
         56   36 000DE770 LsaIFree_LSAPR_ACCOUNT_ENUM_BUFFER
         57   37 0003C340 LsaIFree_LSAPR_CR_CIPHER_VALUE
         58   38 000DE790 LsaIFree_LSAPR_POLICY_DOMAIN_INFORMATION
         59   39 0002A9E0 LsaIFree_LSAPR_POLICY_INFORMATION
         60   3A 000DE7C0 LsaIFree_LSAPR_PRIVILEGE_ENUM_BUFFER
