
Dump of file C:\Windows\System32\mfc100.dll

File Type: DLL

  Section contains the following exports for mfc100.dll

    00000000 characteristics
    580F7EF2 time date stamp Tue Oct 25 17:49:06 2016
        0.00 version
         256 ordinal base
       13946 number of functions
           0 number of names

    ordinal hint RVA      name

        256      00250A84 [NONAME]
        257      00250B78 [NONAME]
        258      00254C3C [NONAME]
        259      00254CB0 [NONAME]
        260      00254B10 [NONAME]
        261      00254D98 [NONAME]
        262      00254D24 [NONAME]
        263      00254B88 [NONAME]
        264      00250AF0 [NONAME]
        265      000825B8 [NONAME]
        266      00274828 [NONAME]
        267      00007A4C [NONAME]
        268      00007A4C [NONAME]
        269      00001644 [NONAME]
        270      00007A78 [NONAME]
        271      00295008 [NONAME]
        272      00293BC4 [NONAME]
        273      00293BC4 [NONAME]
        274      00001644 [NONAME]
        275      0000F2D8 [NONAME]
        276      00293BF0 [NONAME]
        277      00295814 [NONAME]
        278      00297790 [NONAME]
        279      002976CC [NONAME]
        280      00007A4C [NONAME]
        281      00295760 [NONAME]
        282      00007E00 [NONAME]
        283      001C6B58 [NONAME]
        284      001C6B58 [NONAME]
        285      00001644 [NONAME]
        286      00007E00 [NONAME]
        287      002550FC [NONAME]
        288      00007B30 [NONAME]
        289      00007928 [NONAME]
        290      001C6B58 [NONAME]
        291      00255120 [NONAME]
        292      002959F8 [NONAME]
        293      001D8C64 [NONAME]
        294      002956A0 [NONAME]
        295      002956F8 [NONAME]
        296      0000167C [NONAME]
        297      00293E98 [NONAME]
        298      002972CC [NONAME]
        299      00297228 [NONAME]
        300      00293BC4 [NONAME]
        301      00074804 [NONAME]
        302      000358DC [NONAME]
        303      0000C464 [NONAME]
        304      0000C464 [NONAME]
        305      00001644 [NONAME]
        306      000358DC [NONAME]
        307      00017B84 [NONAME]
        308      00294080 [NONAME]
        309      00252738 [NONAME]
        310      0000C464 [NONAME]
        311      00017CA0 [NONAME]
        312      0000F380 [NONAME]
        313      00035144 [NONAME]
        314      00293DA8 [NONAME]
        315      00293E14 [NONAME]
        316      0000167C [NONAME]
        317      001212B8 [NONAME]
        318      001CCBD8 [NONAME]
        319      0020A5EC [NONAME]
        320      00063AB8 [NONAME]
        321      00121200 [NONAME]
        322      0012139C [NONAME]
        323      001219A0 [NONAME]
        324      001B5590 [NONAME]
        325      001D37CC [NONAME]
        326      001B756C [NONAME]
        327      0022651C [NONAME]
        328      001D45B4 [NONAME]
        329      002531AC [NONAME]
        330      000092D0 [NONAME]
        331      00009874 [NONAME]
        332      0000F850 [NONAME]
        333      001CB69C [NONAME]
        334      001F432C [NONAME]
        335      00285738 [NONAME]
        336      002856E4 [NONAME]
        337      00285790 [NONAME]
        338      001B771C [NONAME]
        339      00289978 [NONAME]
        340      002851B4 [NONAME]
        341      001C277C [NONAME]
        342      001C2C58 [NONAME]
        343      001EB62C [NONAME]
        344      001B0A78 [NONAME]
        345      00029710 [NONAME]
        346      0022E338 [NONAME]
        347      00029FD4 [NONAME]
        348      001BA128 [NONAME]
        349      00202BEC [NONAME]
        350      0021A464 [NONAME]
        351      001C70F8 [NONAME]
        352      002939D4 [NONAME]
        353      0021B810 [NONAME]
        354      00259B10 [NONAME]
        355      001DA638 [NONAME]
        356      00223680 [NONAME]
        357      002726BC [NONAME]
        358      00031C6C [NONAME]
        359      00220430 [NONAME]
        360      001DA088 [NONAME]
        361      001E826C [NONAME]
        362      002838DC [NONAME]
        363      001F37B4 [NONAME]
        364      001F3734 [NONAME]
        365      001F4684 [NONAME]
        366      001F4770 [NONAME]
        367      001F4578 [NONAME]
        368      001F3F00 [NONAME]
