
Dump of file C:\Windows\System32\mfc100u.dll

File Type: DLL

  Section contains the following exports for mfc100u.dll

    00000000 characteristics
    580F7F39 time date stamp Tue Oct 25 17:50:17 2016
        0.00 version
         256 ordinal base
       14028 number of functions
           0 number of names

    ordinal hint RVA      name

        256      00250E6C [NONAME]
        257      00250F60 [NONAME]
        258      00255160 [NONAME]
        259      002551D4 [NONAME]
        260      00255034 [NONAME]
        261      002552D0 [NONAME]
        262      00255248 [NONAME]
        263      002550AC [NONAME]
        264      00250ED8 [NONAME]
        265      00080E90 [NONAME]
        266      00080E9C [NONAME]
        267      0000798C [NONAME]
        268      0000798C [NONAME]
        269      00294AA4 [NONAME]
        270      000079B8 [NONAME]
        271      00296F04 [NONAME]
        272      00294394 [NONAME]
        273      00294394 [NONAME]
        274      00294AA4 [NONAME]
        275      00255720 [NONAME]
        276      002943C0 [NONAME]
        277      00073164 [NONAME]
        278      0029882C [NONAME]
        279      00298768 [NONAME]
        280      0000798C [NONAME]
        281      002972A4 [NONAME]
        282      00007D04 [NONAME]
        283      002252C4 [NONAME]
        284      002252C4 [NONAME]
        285      00294AA4 [NONAME]
        286      00007D04 [NONAME]
        287      00016FCC [NONAME]
        288      00007A70 [NONAME]
        289      000078E8 [NONAME]
        290      002252C4 [NONAME]
        291      00016FF0 [NONAME]
        292      00297358 [NONAME]
        293      00297150 [NONAME]
        294      002971E4 [NONAME]
        295      0029723C [NONAME]
        296      00014808 [NONAME]
        297      00294E7C [NONAME]
        298      00298248 [NONAME]
        299      002981A4 [NONAME]
        300      00294394 [NONAME]
        301      00294DCC [NONAME]
        302      002690CC [NONAME]
        303      00294CB4 [NONAME]
        304      00294CB4 [NONAME]
        305      00294AA4 [NONAME]
        306      002690CC [NONAME]
        307      00255604 [NONAME]
        308      00295084 [NONAME]
        309      00294BB4 [NONAME]
        310      00294CB4 [NONAME]
        311      002557C8 [NONAME]
        312      00295064 [NONAME]
        313      00294B10 [NONAME]
        314      00294C48 [NONAME]
        315      00294D48 [NONAME]
