
Dump of file C:\Windows\System32\mfc140d.dll

File Type: DLL

  Section contains the following exports for mfc140d.dll

    00000000 characteristics
    60247A40 time date stamp Thu Feb 11 01:28:48 2021
        0.00 version
         256 ordinal base
       16536 number of functions
           0 number of names

    ordinal hint RVA      name

        256      005A8E30 [NONAME]
        257      005A8F90 [NONAME]
        258      005A9090 [NONAME]
        259      005B6810 [NONAME]
        260      005B6720 [NONAME]
        261      005B6910 [NONAME]
        262      005B6A20 [NONAME]
        263      005B69D0 [NONAME]
        264      005B6A70 [NONAME]
        265      005A9200 [NONAME]
        266      005A7390 [NONAME]
        267      0015B0A0 [NONAME]
        268      0015B0D0 [NONAME]
        269      0015B120 [NONAME]
        270      0015B170 [NONAME]
        271      0015B1A0 [NONAME]
        272      0015B1F0 [NONAME]
        273      0065F400 [NONAME]
        274      0046FBE0 [NONAME]
        275      00124030 [NONAME]
        276      0046FC40 [NONAME]
        277      0065F460 [NONAME]
        278      0065F240 [NONAME]
        279      0001DB20 [NONAME]
        280      00004F90 [NONAME]
        281      000241A0 [NONAME]
        282      0065F2A0 [NONAME]
        283      006601A0 [NONAME]
        284      0065FBC0 [NONAME]
        285      0065FC70 [NONAME]
        286      0046FDB0 [NONAME]
        287      0065FD20 [NONAME]
        288      0027E870 [NONAME]
        289      0043D7D0 [NONAME]
        290      0065FDF0 [NONAME]
        291      0065FE70 [NONAME]
        292      006600C0 [NONAME]
        293      005B70A0 [NONAME]
        294      0046FE60 [NONAME]
        295      00660130 [NONAME]
        296      0040B530 [NONAME]
        297      005B6F50 [NONAME]
        298      0065FEB0 [NONAME]
        299      0046FDF0 [NONAME]
        300      00660000 [NONAME]
        301      00660060 [NONAME]
        302      00124120 [NONAME]
        303      0065F930 [NONAME]
        304      0065F5C0 [NONAME]
        305      0065F670 [NONAME]
        306      0001DB80 [NONAME]
        307      001357C0 [NONAME]
        308      00083140 [NONAME]
        309      0001DBC0 [NONAME]
        310      00349D00 [NONAME]
        311      00024310 [NONAME]
        312      004165B0 [NONAME]
        313      00036790 [NONAME]
        314      0065F7E0 [NONAME]
        315      005A9450 [NONAME]
        316      00024350 [NONAME]
        317      00036740 [NONAME]
        318      000243C0 [NONAME]
        319      000831C0 [NONAME]
        320      0065F720 [NONAME]
        321      0065F780 [NONAME]
        322      00005080 [NONAME]
        323      00617130 [NONAME]
        324      004A31B0 [NONAME]
        325      002008F0 [NONAME]
        326      004EC8A0 [NONAME]
        327      005C1FE0 [NONAME]
        328      00553730 [NONAME]
        329      002DDB60 [NONAME]
        330      0046EAB0 [NONAME]
        331      0044C1C0 [NONAME]
        332      00456230 [NONAME]
        333      004ED1B0 [NONAME]
        334      000F3910 [NONAME]
        335      002DD6C0 [NONAME]
        336      002DD600 [NONAME]
        337      002DD700 [NONAME]
        338      002DD990 [NONAME]
        339      006061A0 [NONAME]
        340      00009130 [NONAME]
        341      000091C0 [NONAME]
        342      00009240 [NONAME]
        343      00009310 [NONAME]
        344      000093B0 [NONAME]
        345      00009480 [NONAME]
        346      000095A0 [NONAME]
        347      00009650 [NONAME]
        348      000096D0 [NONAME]
        349      000098B0 [NONAME]
        350      000099E0 [NONAME]
        351      00009BA0 [NONAME]
        352      00009C80 [NONAME]
        353      00009D30 [NONAME]
        354      00009E50 [NONAME]
        355      00009ED0 [NONAME]
        356      00009F30 [NONAME]
        357      00124160 [NONAME]
        358      001241C0 [NONAME]
        359      001042E0 [NONAME]
        360      00416620 [NONAME]
        361      00104320 [NONAME]
        362      00464810 [NONAME]
        363      0041C200 [NONAME]
        364      0053A930 [NONAME]
        365      004648C0 [NONAME]
        366      005B1E10 [NONAME]
        367      0001CC00 [NONAME]
        368      0001DD40 [NONAME]
        369      0002FD00 [NONAME]
        370      0010BBA0 [NONAME]
        371      001043B0 [NONAME]
        372      00453180 [NONAME]
        373      004B6280 [NONAME]
        374      00634C30 [NONAME]
        375      00634CB0 [NONAME]
        376      00634D20 [NONAME]
        377      0010BBF0 [NONAME]
        378      00118570 [NONAME]
        379      0041C7B0 [NONAME]
        380      0044B610 [NONAME]
        381      0044B680 [NONAME]
        382      001185C0 [NONAME]
        383      006426F0 [NONAME]
        384      00634DB0 [NONAME]
        385      0043A300 [NONAME]
        386      0043A3D0 [NONAME]
        387      004A30B0 [NONAME]
        388      00118630 [NONAME]
        389      006211C0 [NONAME]
        390      0040B5A0 [NONAME]
        391      0006CF70 [NONAME]
        392      00104450 [NONAME]
        393      00551330 [NONAME]
        394      0006FD70 [NONAME]
        395      00425930 [NONAME]
        396      004DD4B0 [NONAME]
        397      00513C00 [NONAME]
        398      00446E50 [NONAME]
        399      0065ED50 [NONAME]
        400      00519650 [NONAME]
        401      001044A0 [NONAME]
        402      005118B0 [NONAME]
        403      005C0130 [NONAME]
        404      001FE690 [NONAME]
        405      001FE730 [NONAME]
        406      001FE7F0 [NONAME]
        407      001FE8F0 [NONAME]
        408      001FE9D0 [NONAME]
        409      001FEAC0 [NONAME]
        410      001FEB90 [NONAME]
        411      001FEC70 [NONAME]
        412      001FED60 [NONAME]
        413      001FEDB0 [NONAME]
        414      001FEE20 [NONAME]
        415      001FEE60 [NONAME]
        416      001FEEB0 [NONAME]
        417      001FEF20 [NONAME]
        418      001FEFD0 [NONAME]
        419      001FF060 [NONAME]
        420      001FF0D0 [NONAME]
        421      001FF120 [NONAME]
        422      001FF290 [NONAME]
        423      001FF300 [NONAME]
        424      001FF3C0 [NONAME]
        425      001FF430 [NONAME]
        426      001FF4A0 [NONAME]
        427      001FF4E0 [NONAME]
        428      001FF520 [NONAME]
        429      001FF560 [NONAME]
        430      001FF5F0 [NONAME]
        431      001FF620 [NONAME]
        432      001FF650 [NONAME]
        433      001FF680 [NONAME]
        434      001FF700 [NONAME]
        435      001FF7C0 [NONAME]
        436      001FF820 [NONAME]
        437      001FF880 [NONAME]
        438      001FF8E0 [NONAME]
        439      001FF9E0 [NONAME]
        440      001FFA30 [NONAME]
        441      001FFA80 [NONAME]
        442      001FFAD0 [NONAME]
        443      001FFBB0 [NONAME]
        444      001FFC70 [NONAME]
        445      001FFCC0 [NONAME]
        446      001FFD20 [NONAME]
        447      001FFD80 [NONAME]
        448      001FFDC0 [NONAME]
        449      001FFE00 [NONAME]
        450      001FFE40 [NONAME]
        451      001FFED0 [NONAME]
        452      001FFF00 [NONAME]
        453      001FFF30 [NONAME]
        454      001FFF60 [NONAME]
        455      001FFFE0 [NONAME]
        456      002000C0 [NONAME]
        457      00200150 [NONAME]
        458      00200490 [NONAME]
        459      00476200 [NONAME]
        460      0051F090 [NONAME]
        461      005ED6E0 [NONAME]
        462      0044B700 [NONAME]
        463      0044B770 [NONAME]
        464      00083330 [NONAME]
        465      0051F100 [NONAME]
        466      0061C520 [NONAME]
        467      00476180 [NONAME]
        468      0049B520 [NONAME]
        469      00634E70 [NONAME]
        470      00200720 [NONAME]
        471      004B6380 [NONAME]
        472      004B6440 [NONAME]
        473      004B64F0 [NONAME]
