
Dump of file C:\Windows\System32\mfc140ud.dll

File Type: DLL

  Section contains the following exports for mfc140ud.dll

    00000000 characteristics
    60247A44 time date stamp Thu Feb 11 01:28:52 2021
        0.00 version
         256 ordinal base
       16666 number of functions
           0 number of names

    ordinal hint RVA      name

        256      005AB8E0 [NONAME]
        257      005ABA40 [NONAME]
        258      005ABB40 [NONAME]
        259      005B9370 [NONAME]
        260      005B9280 [NONAME]
        261      005B9470 [NONAME]
        262      005B9580 [NONAME]
        263      005B9530 [NONAME]
        264      005B95D0 [NONAME]
        265      005ABCB0 [NONAME]
        266      005A9E30 [NONAME]
        267      0015A2C0 [NONAME]
        268      0015A2F0 [NONAME]
        269      0015A340 [NONAME]
        270      0015A390 [NONAME]
        271      0015A3C0 [NONAME]
        272      0015A410 [NONAME]
        273      00663F80 [NONAME]
        274      0001DD60 [NONAME]
        275      00004F60 [NONAME]
        276      000243E0 [NONAME]
        277      00663FE0 [NONAME]
        278      00663DC0 [NONAME]
        279      00663D60 [NONAME]
        280      0040F6F0 [NONAME]
        281      005B9AB0 [NONAME]
        282      00663E20 [NONAME]
        283      00134540 [NONAME]
        284      00664B40 [NONAME]
        285      00664BF0 [NONAME]
        286      0001DDC0 [NONAME]
        287      00664CA0 [NONAME]
        288      0001DE00 [NONAME]
        289      00522AE0 [NONAME]
        290      00664D70 [NONAME]
        291      00024550 [NONAME]
        292      00024590 [NONAME]
        293      00036B80 [NONAME]
        294      00024600 [NONAME]
        295      00083420 [NONAME]
        296      0040F850 [NONAME]
        297      00036A30 [NONAME]
        298      00664DF0 [NONAME]
        299      00591FA0 [NONAME]
        300      00664F40 [NONAME]
        301      00664FA0 [NONAME]
        302      00005050 [NONAME]
        303      006648B0 [NONAME]
        304      00664140 [NONAME]
        305      006641F0 [NONAME]
        306      006642A0 [NONAME]
        307      006642E0 [NONAME]
        308      005E0C60 [NONAME]
        309      006643B0 [NONAME]
        310      00664430 [NONAME]
        311      006644B0 [NONAME]
        312      0040F7E0 [NONAME]
        313      005B9C70 [NONAME]
        314      006646F0 [NONAME]
        315      00664840 [NONAME]
        316      006644F0 [NONAME]
        317      005B9C20 [NONAME]
        318      00664560 [NONAME]
        319      006645C0 [NONAME]
        320      00664630 [NONAME]
        321      00664690 [NONAME]
        322      0047A460 [NONAME]
        323      0061ABB0 [NONAME]
        324      004A7B20 [NONAME]
        325      001FF7E0 [NONAME]
        326      004F0860 [NONAME]
        327      005C4DB0 [NONAME]
        328      00556A00 [NONAME]
        329      002DC220 [NONAME]
        330      00473B90 [NONAME]
        331      004510B0 [NONAME]
        332      0045B290 [NONAME]
        333      004F1270 [NONAME]
        334      000F3C40 [NONAME]
        335      002DBD80 [NONAME]
        336      002DBCC0 [NONAME]
        337      002DBDC0 [NONAME]
        338      002DC050 [NONAME]
        339      00609430 [NONAME]
        340      00009290 [NONAME]
        341      00009320 [NONAME]
        342      000093A0 [NONAME]
        343      00009470 [NONAME]
        344      00009510 [NONAME]
        345      000095E0 [NONAME]
        346      00009700 [NONAME]
        347      000097B0 [NONAME]
        348      00009830 [NONAME]
        349      00009A10 [NONAME]
        350      00009B40 [NONAME]
        351      00009D00 [NONAME]
        352      00009DE0 [NONAME]
        353      00009E90 [NONAME]
        354      00009FB0 [NONAME]
        355      0000A030 [NONAME]
        356      0000A090 [NONAME]
        357      00123F80 [NONAME]
        358      00123FE0 [NONAME]
        359      00104040 [NONAME]
        360      0041B620 [NONAME]
        361      00104080 [NONAME]
        362      004698F0 [NONAME]
        363      00421250 [NONAME]
        364      0053E520 [NONAME]
        365      004699A0 [NONAME]
        366      005B44B0 [NONAME]
        367      0001CE40 [NONAME]
        368      0001DF80 [NONAME]
        369      0002FFE0 [NONAME]
        370      0010B900 [NONAME]
        371      00104110 [NONAME]
        372      004581E0 [NONAME]
        373      004BA500 [NONAME]
        374      00639870 [NONAME]
        375      006398F0 [NONAME]
        376      00639960 [NONAME]
        377      0010B950 [NONAME]
        378      001182D0 [NONAME]
        379      00421800 [NONAME]
        380      00450500 [NONAME]
        381      00450570 [NONAME]
        382      00118320 [NONAME]
        383      00647330 [NONAME]
        384      006399F0 [NONAME]
        385      0043F360 [NONAME]
        386      0043F430 [NONAME]
        387      004A7A20 [NONAME]
        388      00118390 [NONAME]
        389      006256E0 [NONAME]
        390      0040F8C0 [NONAME]
        391      0006D320 [NONAME]
        392      001041B0 [NONAME]
        393      00554600 [NONAME]
        394      00070120 [NONAME]
        395      0042A980 [NONAME]
        396      004E1200 [NONAME]
        397      00517790 [NONAME]
        398      0044BE10 [NONAME]
        399      00663870 [NONAME]
        400      0051D1E0 [NONAME]
        401      00104200 [NONAME]
        402      00515440 [NONAME]
        403      005C2F00 [NONAME]
        404      001FD7F0 [NONAME]
        405      001FD890 [NONAME]
        406      001FD950 [NONAME]
        407      001FDA50 [NONAME]
        408      001FDB30 [NONAME]
        409      001FDC20 [NONAME]
        410      001FDCF0 [NONAME]
        411      001FDDD0 [NONAME]
        412      001FDEC0 [NONAME]
        413      001FDF10 [NONAME]
        414      001FDF80 [NONAME]
        415      001FDFC0 [NONAME]
        416      001FE010 [NONAME]
        417      001FE080 [NONAME]
        418      001FE130 [NONAME]
        419      001FE1C0 [NONAME]
        420      001FE230 [NONAME]
        421      001FE280 [NONAME]
        422      001FE3F0 [NONAME]
        423      001FE460 [NONAME]
        424      001FE520 [NONAME]
        425      001FE590 [NONAME]
        426      001FE600 [NONAME]
        427      001FE640 [NONAME]
        428      001FE680 [NONAME]
        429      001FE6C0 [NONAME]
        430      001FE750 [NONAME]
        431      001FE780 [NONAME]
        432      001FE7B0 [NONAME]
        433      001FE7E0 [NONAME]
        434      001FE860 [NONAME]
        435      001FE920 [NONAME]
        436      001FE980 [NONAME]
        437      001FE9E0 [NONAME]
        438      001FEA40 [NONAME]
        439      001FEB40 [NONAME]
        440      001FEB90 [NONAME]
        441      001FEBE0 [NONAME]
        442      001FEC30 [NONAME]
        443      001FED10 [NONAME]
        444      001FEDD0 [NONAME]
        445      001FEE20 [NONAME]
        446      001FEE80 [NONAME]
        447      001FEEE0 [NONAME]
        448      001FEF20 [NONAME]
        449      001FEF60 [NONAME]
        450      001FEFA0 [NONAME]
        451      001FF030 [NONAME]
        452      001FF060 [NONAME]
        453      001FF090 [NONAME]
        454      001FF0C0 [NONAME]
        455      001FF140 [NONAME]
        456      001FF220 [NONAME]
        457      001FF2B0 [NONAME]
        458      001FF450 [NONAME]
        459      0047A520 [NONAME]
        460      00522CA0 [NONAME]
        461      005F04F0 [NONAME]
        462      004505F0 [NONAME]
        463      00450660 [NONAME]
        464      00083590 [NONAME]
        465      00522D10 [NONAME]
        466      00620020 [NONAME]
        467      0047A4A0 [NONAME]
        468      0049FED0 [NONAME]
        469      00639AB0 [NONAME]
        470      001FF610 [NONAME]
        471      004BA600 [NONAME]
        472      004BA6C0 [NONAME]
        473      004BA770 [NONAME]
        474      004BA8B0 [NONAME]
        475      004BA9F0 [NONAME]
        476      004BAB10 [NONAME]
        477      004A8A30 [NONAME]
        478      004A8AC0 [NONAME]
        479      004A8BB0 [NONAME]
        480      0042EFB0 [NONAME]
        481      000937A0 [NONAME]
        482      00093850 [NONAME]
        483      00093900 [NONAME]
        484      00094780 [NONAME]
        485      004D4980 [NONAME]
        486      004D4A30 [NONAME]
        487      0056B640 [NONAME]
        488      00095800 [NONAME]
        489      000A4820 [NONAME]
        490      0042F6A0 [NONAME]
        491      004DDCE0 [NONAME]
        492      000A60B0 [NONAME]
        493      000B9760 [NONAME]
        494      000C2C70 [NONAME]
        495      004E1330 [NONAME]
        496      004E6160 [NONAME]
        497      005724F0 [NONAME]
        498      00572620 [NONAME]
        499      004ECF20 [NONAME]
        500      004D5D50 [NONAME]
        501      00609480 [NONAME]
        502      000CB150 [NONAME]
        503      00104240 [NONAME]
        504      004EF070 [NONAME]
        505      00422BC0 [NONAME]
        506      0065C520 [NONAME]
        507      0065C6A0 [NONAME]
        508      001183E0 [NONAME]
        509      005C4D00 [NONAME]
        510      0057CC80 [NONAME]
        511      005546E0 [NONAME]
        512      00554670 [NONAME]
        513      005690F0 [NONAME]
        514      00515C10 [NONAME]
        515      004F12D0 [NONAME]
        516      004F1330 [NONAME]
        517      00493570 [NONAME]
        518      004F1BB0 [NONAME]
        519      004F1C30 [NONAME]
        520      004F1D10 [NONAME]
        521      004F1D90 [NONAME]
        522      004F1E10 [NONAME]
        523      004AE2C0 [NONAME]
        524      00104260 [NONAME]
        525      004F5360 [NONAME]
        526      004F5400 [NONAME]
        527      004B8900 [NONAME]
        528      004FE170 [NONAME]
        529      004FE1D0 [NONAME]
        530      004AEB10 [NONAME]
        531      0010B9A0 [NONAME]
        532      004B76D0 [NONAME]
        533      004B78B0 [NONAME]
        534      0044F510 [NONAME]
        535      005CA7B0 [NONAME]
        536      005CA890 [NONAME]
        537      000E1D90 [NONAME]
        538      0062CC90 [NONAME]
        539      000EC8F0 [NONAME]
        540      004FE670 [NONAME]
        541      004FE7E0 [NONAME]
        542      004FEA10 [NONAME]
        543      000F15E0 [NONAME]
        544      0010B9F0 [NONAME]
        545      005F0560 [NONAME]
        546      000F8710 [NONAME]
        547      004FEB00 [NONAME]
        548      004FEC50 [NONAME]
        549      004FEDF0 [NONAME]
        550      004FEEA0 [NONAME]
        551      004FEF70 [NONAME]
        552      004FF040 [NONAME]
        553      004FF130 [NONAME]
        554      00642350 [NONAME]
        555      006094E0 [NONAME]
        556      00609530 [NONAME]
        557      005CBF30 [NONAME]
        558      005CBF90 [NONAME]
        559      005CBFE0 [NONAME]
        560      005CC030 [NONAME]
        561      005CC080 [NONAME]
        562      004FF1C0 [NONAME]
        563      004FF330 [NONAME]
        564      004FF4F0 [NONAME]
        565      004FF6E0 [NONAME]
        566      004FF7F0 [NONAME]
        567      001FF660 [NONAME]
        568      00609580 [NONAME]
        569      004FF920 [NONAME]
        570      004FFA40 [NONAME]
        571      004FFAA0 [NONAME]
        572      004FFC30 [NONAME]
        573      004FFE10 [NONAME]
        574      00104300 [NONAME]
        575      00104360 [NONAME]
        576      00625730 [NONAME]
        577      001240A0 [NONAME]
        578      00128A00 [NONAME]
        579      0000A250 [NONAME]
        580      0000A310 [NONAME]
        581      00118430 [NONAME]
        582      006095D0 [NONAME]
        583      005C28E0 [NONAME]
        584      0048F3C0 [NONAME]
        585      0050DD20 [NONAME]
        586      0050EBC0 [NONAME]
        587      0050F960 [NONAME]
        588      00510C50 [NONAME]
        589      00511CA0 [NONAME]
        590      00513670 [NONAME]
        591      005146A0 [NONAME]
        592      00643520 [NONAME]
        593      0014A2F0 [NONAME]
        594      0013BC00 [NONAME]
        595      00643590 [NONAME]
        596      001538E0 [NONAME]
        597      0013BDE0 [NONAME]
        598      0014A440 [NONAME]
        599      000F4050 [NONAME]
        600      000F4340 [NONAME]
        601      004F8EC0 [NONAME]
        602      004F8F80 [NONAME]
        603      001043B0 [NONAME]
        604      00104410 [NONAME]
        605      00159E90 [NONAME]
        606      0010BA40 [NONAME]
        607      00163780 [NONAME]
        608      00165D90 [NONAME]
        609      004A2270 [NONAME]
        610      000050D0 [NONAME]
        611      00005130 [NONAME]
        612      00007050 [NONAME]
        613      000182F0 [NONAME]
        614      0001AE80 [NONAME]
        615      00024660 [NONAME]
        616      00036CB0 [NONAME]
        617      00046A30 [NONAME]
        618      00385200 [NONAME]
        619      00046D90 [NONAME]
        620      0004CF20 [NONAME]
        621      000532E0 [NONAME]
        622      000533B0 [NONAME]
        623      00053470 [NONAME]
        624      00053AD0 [NONAME]
        625      00053B50 [NONAME]
        626      00054530 [NONAME]
        627      00055E90 [NONAME]
        628      00056280 [NONAME]
        629      000566D0 [NONAME]
        630      00056AD0 [NONAME]
        631      00056D00 [NONAME]
        632      000600F0 [NONAME]
        633      00062520 [NONAME]
