
Dump of file C:\Windows\System32\mprapi.dll

File Type: DLL

  Section contains the following exports for MPRAPI.dll

    00000000 characteristics
    ED6512C4 time date stamp
        0.00 version
           1 ordinal base
         160 number of functions
         160 number of names

    ordinal hint RVA      name

          1    0 00006C60 CompressPhoneNumber
          2    1 000069E0 MprAdminAddRoutingDomain
          3    2 000028D0 MprAdminBufferFree
          4    3 00004700 MprAdminConnectionClearStats
          5    4 00004510 MprAdminConnectionEnum
          6    5 00004320 MprAdminConnectionEnumEx
          7    6 000046D0 MprAdminConnectionGetInfo
          8    7 000046E0 MprAdminConnectionGetInfoEx
          9    8 00004A70 MprAdminConnectionRemoveQuarantine
         10    9 00006A40 MprAdminDeleteRoutingDomain
         11    A 00003E80 MprAdminDeregisterConnectionNotification
         12    B 00002B90 MprAdminDeviceEnum
         13    C 00007A20 MprAdminEstablishDomainRasServer
         14    D 00005CF0 MprAdminFreeRoutingDomainConfigEx
         15    E 000039A0 MprAdminGetErrorString
         16    F 0002B6C0 MprAdminGetPDCServer
         17   10 00006B40 MprAdminGetProtocolStatistics
         18   11 00005D50 MprAdminGetRoutingDomainId
         19   12 00003AD0 MprAdminInterfaceAddIkev2Policy
         20   13 000063B0 MprAdminInterfaceClearStatisticsEx
         21   14 000039C0 MprAdminInterfaceConnect
         22   15 00002C30 MprAdminInterfaceCreate
         23   16 00005DE0 MprAdminInterfaceCreateEx
         24   17 00003510 MprAdminInterfaceDelete
         25   18 00003150 MprAdminInterfaceDeviceGetInfo
         26   19 00003240 MprAdminInterfaceDeviceSetInfo
         27   1A 00003A50 MprAdminInterfaceDisconnect
         28   1B 000035A0 MprAdminInterfaceEnum
         29   1C 00005F50 MprAdminInterfaceEnumEx
         30   1D 000048D0 MprAdminInterfaceGetCredentials
         31   1E 00003C70 MprAdminInterfaceGetCredentialsEx
         32   1F 00002D30 MprAdminInterfaceGetCustomInfoEx
         33   20 00003490 MprAdminInterfaceGetHandle
         34   21 00002FD0 MprAdminInterfaceGetInfo
         35   22 00006100 MprAdminInterfaceGetInfoEx
         36   23 00006400 MprAdminInterfaceGetStatisticsEx
         37   24 00003940 MprAdminInterfaceQueryUpdateResult
         38   25 00004740 MprAdminInterfaceSetCredentials
         39   26 00003B10 MprAdminInterfaceSetCredentialsEx
         40   27 00002E80 MprAdminInterfaceSetCustomInfoEx
         41   28 00003090 MprAdminInterfaceSetInfo
         42   29 00006200 MprAdminInterfaceSetInfoEx
         43   2A 00003790 MprAdminInterfaceTransportAdd
         44   2B 000036E0 MprAdminInterfaceTransportGetInfo
         45   2C 00003550 MprAdminInterfaceTransportRemove
         46   2D 00003820 MprAdminInterfaceTransportSetInfo
         47   2E 00003A90 MprAdminInterfaceUpdatePhonebookInfo
         48   2F 000038B0 MprAdminInterfaceUpdateRoutes
         49   30 00007A30 MprAdminIsDomainRasServer
         50   31 00005C90 MprAdminIsModernStackEnabled
         51   32 00005C30 MprAdminIsMultiTenancyEnabled
         52   33 00002760 MprAdminIsServiceInitialized
         53   34 000027F0 MprAdminIsServiceRunning
         54   35 000028D0 MprAdminMIBBufferFree
         55   36 00003EF0 MprAdminMIBEntryCreate
         56   37 00003F80 MprAdminMIBEntryDelete
         57   38 000040A0 MprAdminMIBEntryGet
         58   39 00004170 MprAdminMIBEntryGetFirst
         59   3A 00004250 MprAdminMIBEntryGetNext
         60   3B 00004010 MprAdminMIBEntrySet
         61   3C 00003EE0 MprAdminMIBServerConnect
