
Dump of file C:\Windows\System32\msIso.dll

File Type: DLL

  Section contains the following exports for msIso.dll

    00000000 characteristics
    76FE0318 time date stamp
        0.00 version
           1 ordinal base
         216 number of functions
           0 number of names

    ordinal hint RVA      name

          1      00006DD0 [NONAME]
          2      00007040 [NONAME]
          3      00029B00 [NONAME]
          4      00029CB0 [NONAME]
          5      00029700 [NONAME]
          6      00029610 [NONAME]
          7      00029540 [NONAME]
          8      0002A100 [NONAME]
          9      00029460 [NONAME]
         10      0002A260 [NONAME]
         11      0002A830 [NONAME]
         12      000286F0 [NONAME]
         13      000285C0 [NONAME]
         14      00028180 [NONAME]
         15      00028360 [NONAME]
         16      000283E0 [NONAME]
         17      0002B740 [NONAME]
         18      0002B970 [NONAME]
         20      00028520 [NONAME]
         21      0002A450 [NONAME]
         22      00029860 [NONAME]
         23      00029A50 [NONAME]
         24      000299F0 [NONAME]
         25      00029AB0 [NONAME]
         26      00029E30 [NONAME]
         27      00029FA0 [NONAME]
         28      00029FD0 [NONAME]
         29      00029F30 [NONAME]
         30      0002A000 [NONAME]
         31      0002A3B0 [NONAME]
         32      00029DC0 [NONAME]
         33      0002A060 [NONAME]
         34      0002A0B0 [NONAME]
         35      0002BEE0 [NONAME]
         36      0002BF70 [NONAME]
         37      0002C070 [NONAME]
         38      0002C0F0 [NONAME]
         39      0002C660 [NONAME]
         40      0002C9C0 [NONAME]
         41      0002C1C0 [NONAME]
         42      0002BC60 [NONAME]
         43      0002BE80 [NONAME]
         44      0002B3A0 [NONAME]
         45      00029440 [NONAME]
         46      00029400 [NONAME]
         47      000293A0 [NONAME]
         48      00028E60 [NONAME]
         49      00028EF0 [NONAME]
         50      00028F30 [NONAME]
         51      00028EC0 [NONAME]
         52      00029010 [NONAME]
         53      00028E80 [NONAME]
         54      00028F80 [NONAME]
         55      0002B9B0 [NONAME]
         56      0002BA40 [NONAME]
         57      0002B7E0 [NONAME]
         58      000292A0 [NONAME]
         59      00029BA0 [NONAME]
         60      00029310 [NONAME]
         61      00029C00 [NONAME]
         62      00028C70 [NONAME]
         63      00028CE0 [NONAME]
         64      00028D70 [NONAME]
         65      000134F0 [NONAME]
         66      0001DF40 [NONAME]
         67      0001EC20 [NONAME]
         68      0001F7B0 [NONAME]
         69      0001FA30 [NONAME]
         70      00020960 [NONAME]
         71      000203C0 [NONAME]
         72      0001F3B0 [NONAME]
         73      000203F0 [NONAME]
         74      00020420 [NONAME]
         75      0001E1F0 [NONAME]
         76      0001FA00 [NONAME]
         77      0001F9D0 [NONAME]
         78      0001DFF0 [NONAME]
         79      0001DF90 [NONAME]
         80      0001E220 [NONAME]
         81      0001FFB0 [NONAME]
         82      0001E640 [NONAME]
         83      0001F4C0 [NONAME]
         84      0001EE30 [NONAME]
         85      0001F480 [NONAME]
         86      0001ED60 [NONAME]
         87      0001EDC0 [NONAME]
         88      0001FFF0 [NONAME]
         89      0001E6C0 [NONAME]
         90      0001F6D0 [NONAME]
         91      0001F710 [NONAME]
         92      0001FF50 [NONAME]
