
Dump of file C:\Windows\System32\msi.dll

File Type: DLL

  Section contains the following exports for msi.dll

    00000000 characteristics
    E6C108F0 time date stamp
        0.00 version
           5 ordinal base
         295 number of functions
         295 number of names

    ordinal hint RVA      name

        296    0 00154540 DllCanUnloadNow
        297    1 00105C00 DllGetClassObject
        182    2 00154580 DllGetVersion
        298    3 00160B00 DllRegisterServer
        299    4 00160F30 DllUnregisterServer
        235    5 00168C80 Migrate10CachedPackagesA
        236    6 00168CE0 Migrate10CachedPackagesW
          5    7 00168D40 MsiAdvertiseProductA
        227    8 00169050 MsiAdvertiseProductExA
        228    9 001693A0 MsiAdvertiseProductExW
          6    A 001695A0 MsiAdvertiseProductW
        176    B 00169750 MsiAdvertiseScriptA
        177    C 00169910 MsiAdvertiseScriptW
        239    D 00175670 MsiApplyMultiplePatchesA
        240    E 001758C0 MsiApplyMultiplePatchesW
        174    F 00169AE0 MsiApplyPatchA
        175   10 00169D70 MsiApplyPatchW
        284   11 00175A50 MsiBeginTransactionA
        285   12 00175B80 MsiBeginTransactionW
          7   13 0017FC00 MsiCloseAllHandles
          8   14 00021300 MsiCloseHandle
          9   15 00169EF0 MsiCollectUserInfoA
         10   16 0016A0A0 MsiCollectUserInfoW
         11   17 0016A1C0 MsiConfigureFeatureA
         12   18 0016A400 MsiConfigureFeatureFromDescriptorA
         13   19 0016A610 MsiConfigureFeatureFromDescriptorW
         14   1A 0016A7E0 MsiConfigureFeatureW
         15   1B 0016A940 MsiConfigureProductA
        189   1C 0016AA20 MsiConfigureProductExA
        190   1D 0016AEC0 MsiConfigureProductExW
         16   1E 0016B2B0 MsiConfigureProductW
        222   1F 0016B3A0 MsiCreateAndVerifyInstallerDirectory
         17   20 00045B80 MsiCreateRecord
        185   21 0017FC90 MsiCreateTransformSummaryInfoA
        186   22 0017FD30 MsiCreateTransformSummaryInfoW
         18   23 00180C70 MsiDatabaseApplyTransformA
         19   24 00180D10 MsiDatabaseApplyTransformW
         20   25 00180ED0 MsiDatabaseCommit
         21   26 00180FA0 MsiDatabaseExportA
         22   27 001810F0 MsiDatabaseExportW
         23   28 00181270 MsiDatabaseGenerateTransformA
         24   29 00181320 MsiDatabaseGenerateTransformW
         25   2A 001814C0 MsiDatabaseGetPrimaryKeysA
         26   2B 00045E60 MsiDatabaseGetPrimaryKeysW
         27   2C 00181560 MsiDatabaseImportA
         28   2D 00181660 MsiDatabaseImportW
        164   2E 001817B0 MsiDatabaseIsTablePersistentA
        165   2F 00181850 MsiDatabaseIsTablePersistentW
         29   30 001819F0 MsiDatabaseMergeA
         30   31 00181A90 MsiDatabaseMergeW
         31   32 00181CC0 MsiDatabaseOpenViewA
         32   33 00020C00 MsiDatabaseOpenViewW
        200   34 0016B450 MsiDecomposeDescriptorA
        201   35 0013F690 MsiDecomposeDescriptorW
        233   36 0016B4F0 MsiDeleteUserDataA
        234   37 0016B610 MsiDeleteUserDataW
        277   38 00176050 MsiDetermineApplicablePatchesA
        278   39 00176420 MsiDetermineApplicablePatchesW
        253   3A 00176730 MsiDeterminePatchSequenceA
        254   3B 00114150 MsiDeterminePatchSequenceW
         33   3C 00181D60 MsiDoActionA
         34   3D 00181DF0 MsiDoActionW
        168   3E 0016BB90 MsiEnableLogA
        169   3F 0016BCF0 MsiEnableLogW
         35   40 00181ED0 MsiEnableUIPreview
        286   41 00176B40 MsiEndTransaction
         36   42 00044A20 MsiEnumClientsA
