
Dump of file C:\Windows\System32\msvcp120.dll

File Type: DLL

  Section contains the following exports for MSVCP120.dll

    00000000 characteristics
    59260906 time date stamp Thu May 25 00:28:22 2017
        0.00 version
           1 ordinal base
        1569 number of functions
        1569 number of names

    ordinal hint RVA      name

          1    0 000133F0 ??$_Getvals@_W@?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@IEAAX_WAEBV_Locinfo@1@@Z
          2    1 000133F0 ??$_Getvals@_W@?$time_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@IEAAX_WAEBV_Locinfo@1@@Z
          3    2 000133F0 ??$_Getvals@_W@?$time_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@IEAAX_WAEBV_Locinfo@1@@Z
          4    3 00014168 ??0?$_Yarn@D@std@@QEAA@AEBV01@@Z
          5    4 0000C210 ??0?$_Yarn@D@std@@QEAA@PEBD@Z
          6    5 0000C204 ??0?$_Yarn@D@std@@QEAA@XZ
          7    6 0000C2E8 ??0?$_Yarn@_W@std@@QEAA@XZ
          8    7 00010BDC ??0?$basic_ios@DU?$char_traits@D@std@@@std@@IEAA@XZ
          9    8 0001418C ??0?$basic_ios@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@@Z
         10    9 000141C0 ??0?$basic_ios@GU?$char_traits@G@std@@@std@@IEAA@XZ
         11    A 000141D0 ??0?$basic_ios@GU?$char_traits@G@std@@@std@@QEAA@PEAV?$basic_streambuf@GU?$char_traits@G@std@@@1@@Z
         12    B 00014204 ??0?$basic_ios@_WU?$char_traits@_W@std@@@std@@IEAA@XZ
         13    C 00014214 ??0?$basic_ios@_WU?$char_traits@_W@std@@@std@@QEAA@PEAV?$basic_streambuf@_WU?$char_traits@_W@std@@@1@@Z
         14    D 00014248 ??0?$basic_iostream@DU?$char_traits@D@std@@@std@@IEAA@$$QEAV01@@Z
         15    E 00014398 ??0?$basic_iostream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@@Z
         16    F 0001446C ??0?$basic_iostream@GU?$char_traits@G@std@@@std@@IEAA@$$QEAV01@@Z
         17   10 000145C0 ??0?$basic_iostream@GU?$char_traits@G@std@@@std@@QEAA@PEAV?$basic_streambuf@GU?$char_traits@G@std@@@1@@Z
         18   11 00014694 ??0?$basic_iostream@_WU?$char_traits@_W@std@@@std@@IEAA@$$QEAV01@@Z
         19   12 000147E8 ??0?$basic_iostream@_WU?$char_traits@_W@std@@@std@@QEAA@PEAV?$basic_streambuf@_WU?$char_traits@_W@std@@@1@@Z
         20   13 000148BC ??0?$basic_istream@DU?$char_traits@D@std@@@std@@IEAA@$$QEAV01@@Z
         21   14 000149A0 ??0?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@_N1@Z
         22   15 00012034 ??0?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@_N@Z
         23   16 00014A2C ??0?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA@W4_Uninitialized@1@@Z
         24   17 00014AA4 ??0?$basic_istream@GU?$char_traits@G@std@@@std@@IEAA@$$QEAV01@@Z
         25   18 00014B8C ??0?$basic_istream@GU?$char_traits@G@std@@@std@@QEAA@PEAV?$basic_streambuf@GU?$char_traits@G@std@@@1@_N1@Z
         26   19 00014C18 ??0?$basic_istream@GU?$char_traits@G@std@@@std@@QEAA@PEAV?$basic_streambuf@GU?$char_traits@G@std@@@1@_N@Z
         27   1A 00014C9C ??0?$basic_istream@GU?$char_traits@G@std@@@std@@QEAA@W4_Uninitialized@1@@Z
         28   1B 00014D14 ??0?$basic_istream@_WU?$char_traits@_W@std@@@std@@IEAA@$$QEAV01@@Z
         29   1C 00014DFC ??0?$basic_istream@_WU?$char_traits@_W@std@@@std@@QEAA@PEAV?$basic_streambuf@_WU?$char_traits@_W@std@@@1@_N1@Z
         30   1D 00014E88 ??0?$basic_istream@_WU?$char_traits@_W@std@@@std@@QEAA@PEAV?$basic_streambuf@_WU?$char_traits@_W@std@@@1@_N@Z
         31   1E 00014F0C ??0?$basic_istream@_WU?$char_traits@_W@std@@@std@@QEAA@W4_Uninitialized@1@@Z
         32   1F 00014F84 ??0?$basic_ostream@DU?$char_traits@D@std@@@std@@IEAA@$$QEAV01@@Z
         33   20 00010BEC ??0?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@_N@Z
         34   21 00015068 ??0?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAA@W4_Uninitialized@1@_N@Z
         35   22 000150E4 ??0?$basic_ostream@GU?$char_traits@G@std@@@std@@IEAA@$$QEAV01@@Z
         36   23 000151CC ??0?$basic_ostream@GU?$char_traits@G@std@@@std@@QEAA@PEAV?$basic_streambuf@GU?$char_traits@G@std@@@1@_N@Z
         37   24 00015248 ??0?$basic_ostream@GU?$char_traits@G@std@@@std@@QEAA@W4_Uninitialized@1@_N@Z
         38   25 000152C4 ??0?$basic_ostream@_WU?$char_traits@_W@std@@@std@@IEAA@$$QEAV01@@Z
         39   26 000153AC ??0?$basic_ostream@_WU?$char_traits@_W@std@@@std@@QEAA@PEAV?$basic_streambuf@_WU?$char_traits@_W@std@@@1@_N@Z
         40   27 00015428 ??0?$basic_ostream@_WU?$char_traits@_W@std@@@std@@QEAA@W4_Uninitialized@1@_N@Z
         41   28 000154A4 ??0?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAA@AEBV01@@Z
         42   29 000155B4 ??0?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAA@W4_Uninitialized@1@@Z
         43   2A 00010C68 ??0?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAA@XZ
         44   2B 000155C4 ??0?$basic_streambuf@GU?$char_traits@G@std@@@std@@IEAA@AEBV01@@Z
         45   2C 000156DC ??0?$basic_streambuf@GU?$char_traits@G@std@@@std@@IEAA@W4_Uninitialized@1@@Z
         46   2D 000156EC ??0?$basic_streambuf@GU?$char_traits@G@std@@@std@@IEAA@XZ
         47   2E 00015790 ??0?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@IEAA@AEBV01@@Z
         48   2F 000158A8 ??0?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@IEAA@W4_Uninitialized@1@@Z
         49   30 000158B8 ??0?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@IEAA@XZ
         50   31 00010D0C ??0?$codecvt@DDH@std@@QEAA@AEBV_Locinfo@1@_K@Z
         51   32 0001595C ??0?$codecvt@DDH@std@@QEAA@_K@Z
         52   33 00009E58 ??0?$codecvt@GDH@std@@QEAA@AEBV_Locinfo@1@_K@Z
         53   34 00009DE0 ??0?$codecvt@GDH@std@@QEAA@_K@Z
         54   35 00009874 ??0?$codecvt@_WDH@std@@QEAA@AEBV_Locinfo@1@_K@Z
         55   36 000097FC ??0?$codecvt@_WDH@std@@QEAA@_K@Z
         56   37 0000A158 ??0?$ctype@D@std@@QEAA@AEBV_Locinfo@1@_K@Z
         57   38 0000A080 ??0?$ctype@D@std@@QEAA@PEBF_N_K@Z
         58   39 0000AD2C ??0?$ctype@G@std@@QEAA@AEBV_Locinfo@1@_K@Z
         59   3A 0000AC9C ??0?$ctype@G@std@@QEAA@_K@Z
         60   3B 0000A5D4 ??0?$ctype@_W@std@@QEAA@AEBV_Locinfo@1@_K@Z
         61   3C 0000A544 ??0?$ctype@_W@std@@QEAA@_K@Z
         62   3D 000159AC ??0?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         63   3E 000159C0 ??0?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@_K@Z
         64   3F 00015A10 ??0?$num_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         65   40 00015A24 ??0?$num_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@_K@Z
         66   41 00015A74 ??0?$num_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         67   42 00015A88 ??0?$num_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@QEAA@_K@Z
         68   43 00015AD8 ??0?$num_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         69   44 00015AEC ??0?$num_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@_K@Z
         70   45 00015B3C ??0?$num_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         71   46 00015B50 ??0?$num_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@_K@Z
