
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcpl.dll

File Type: DLL

  Section contains the following exports for NvCpl.dll

    00000000 characteristics
    5FD40012 time date stamp Sat Dec 12 00:26:10 2020
        0.00 version
           1 ordinal base
         374 number of functions
         374 number of names

    ordinal hint RVA      name

          1    0 000575C0 DMGetProjectedGDIModeList
          2    1 0005BF10 DMNvCplObtainTVFormatStringIDsByLocaleA
          3    2 0005BE00 DMNvCplObtainTVFormatStringsByLocaleA
         58    3 000576D0 DMReleaseMemory
         59    4 000558B0 DllCanUnloadNow
         60    5 000559A0 DllGetClassObject
         61    6 00055A90 DllRegisterServer
         62    7 00055B80 DllUnregisterServer
         63    8 00058C60 ExportNvCplAdapterString
         64    9 00058120 ExportNvWsApps
         65    A 00053720 GetdtcfgLastError
         66    B 00053810 GetdtcfgLastErrorEx
          4    C 0005C240 IdentifyMonitors
          5    D 0005F400 LoadNVPanel
          6    E 0005DCB0 MediaCenterCommand
         67    F 000542E0 NVTVOutManageOverscanConfiguration
          7   10 0005DDC0 NV_WMIACPI_CancelEventQuery
          8   11 0005DED0 NV_WMIACPI_Cleanup
          9   12 0005DFE0 NV_WMIACPI_DataBlockExecEventQuery
         10   13 0005E0F0 NV_WMIACPI_DataBlockOp
         11   14 0005E200 NV_WMIACPI_Setup
         12   15 0005E310 NvAccessAPIPolicies
         13   16 0005E420 NvCheckDriverState
         68   17 0005C440 NvCheckSLIMosaicHWCompatability
         69   18 000595C0 NvCleanup
         14   19 00054F10 NvColorGetGammaRamp
         15   1A 00053900 NvColorGetGammaRampEx
         16   1B 00055020 NvColorSetGammaRamp
         17   1C 00053A10 NvColorSetGammaRampEx
         70   1D 000516D0 NvCplApiAddUnsupportedResolutionToCache
         71   1E 0004D9E0 NvCplApiAssociateProfile
         72   1F 00062FE0 NvCplApiAssociateProfileW
         73   20 00050DD0 NvCplApiBlockDisplayChange
         74   21 0004F6E0 NvCplApiCTCalc
         75   22 0004FA10 NvCplApiCTDelete
         76   23 0004FBD0 NvCplApiCTEnum
         77   24 0004F820 NvCplApiCTTest
         78   25 00051C30 NvCplApiClearAllUnsupportedResolutionsFromCacheForDisplay
         79   26 00050C80 NvCplApiClearCallback
         80   27 00052340 NvCplApiClose
         81   28 0005FAB0 NvCplApiCoProcStatus
         82   29 0004E410 NvCplApiCompareState
         83   2A 0004E2B0 NvCplApiCompareStateSettings
         84   2B 0004EE70 NvCplApiConnectGPU
         85   2C 0004D850 NvCplApiCreateProfile
         86   2D 00062DE0 NvCplApiCreateProfileW
         87   2E 0004F5F0 NvCplApiDPDirectory
         88   2F 0005C530 NvCplApiDPInfo
         89   30 0004F500 NvCplApiDPInfoW
         90   31 0004F410 NvCplApiDPLoad
         91   32 0004F320 NvCplApiDPLoadW
         92   33 0004F230 NvCplApiDPSave
         93   34 0004F140 NvCplApiDPSaveW
         94   35 0004EB10 NvCplApiDebug
         95   36 00051920 NvCplApiDeleteCustomResCreatedForUnsupportedHDFormat
         96   37 0004DBC0 NvCplApiDeleteProfile
         97   38 000630D0 NvCplApiDeleteProfileW
         98   39 00061900 NvCplApiDeleteUnderScan
         18   3A 00065670 NvCplApiDisableSpan
         99   3B 0004DAD0 NvCplApiDisassociateProfile
         19   3C 00052160 NvCplApiEnableEcc
        100   3D 0004D390 NvCplApiEnumAllProfiles
        101   3E 000626A0 NvCplApiEnumAllProfilesW
        102   3F 0004D5F0 NvCplApiEnumApps
        103   40 00062C20 NvCplApiEnumAppsW
        104   41 0005FE80 NvCplApiEnumDeviceTypeAndName
        105   42 0004ED80 NvCplApiEnumDisconnectedGPU
        106   43 00051450 NvCplApiEnumPersistedUnsupportedResolutionsFromCache
        107   44 0004D490 NvCplApiEnumProfiles
        108   45 00062AF0 NvCplApiEnumProfilesW
        109   46 0004E0D0 NvCplApiEnumSettingDependencies
        110   47 0004EF60 NvCplApiEnumSettingIDs
