
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda32.dll

File Type: DLL

  Section contains the following exports for nvcuda.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

          1    0 001EB300 cuArray3DCreate
          2    1 001C5060 cuArray3DCreate_v2
          3    2 001EB570 cuArray3DGetDescriptor
          4    3 001C52E0 cuArray3DGetDescriptor_v2
          5    4 001EABA0 cuArrayCreate
          6    5 001C33B0 cuArrayCreate_v2
          7    6 001C4AD0 cuArrayDestroy
          8    7 001EAE10 cuArrayGetDescriptor
          9    8 001C3630 cuArrayGetDescriptor_v2
         10    9 001C45E0 cuArrayGetPlane
         11    A 001C3B20 cuArrayGetSparseProperties
         12    B 001B9140 cuCtxAttach
         13    C 001E6170 cuCtxCreate
         14    D 001B6EA0 cuCtxCreate_v2
         15    E 001ECB10 cuCtxDestroy
         16    F 001B70E0 cuCtxDestroy_v2
         17   10 001B9320 cuCtxDetach
         18   11 001E37A0 cuCtxDisablePeerAccess
         19   12 001E35C0 cuCtxEnablePeerAccess
         20   13 001B8B70 cuCtxGetApiVersion
         21   14 001B8430 cuCtxGetCacheConfig
         22   15 001B7900 cuCtxGetCurrent
         23   16 001B7AD0 cuCtxGetDevice
         24   17 001B7C90 cuCtxGetFlags
         25   18 001B81F0 cuCtxGetLimit
         26   19 001B87D0 cuCtxGetSharedMemConfig
         27   1A 001B8D50 cuCtxGetStreamPriorityRange
         28   1B 001ECEF0 cuCtxPopCurrent
         29   1C 001B74F0 cuCtxPopCurrent_v2
         30   1D 001ED0F0 cuCtxPushCurrent
         31   1E 001B72E0 cuCtxPushCurrent_v2
         32   1F 001B8F90 cuCtxResetPersistingL2Cache
         33   20 001B8600 cuCtxSetCacheConfig
         34   21 001B7700 cuCtxSetCurrent
         35   22 001B8010 cuCtxSetLimit
         36   23 001B89A0 cuCtxSetSharedMemConfig
         37   24 001B7E60 cuCtxSynchronize
         38   25 001F9FC0 cuD3D10CtxCreate
         39   26 001F8630 cuD3D10CtxCreateOnDevice
         40   27 001F8410 cuD3D10CtxCreate_v2
         41   28 001F7C50 cuD3D10GetDevice
         42   29 001F7E90 cuD3D10GetDevices
         43   2A 001F8850 cuD3D10GetDirect3DDevice
         44   2B 001F8DD0 cuD3D10MapResources
         45   2C 001F8A20 cuD3D10RegisterResource
         46   2D 001F9370 cuD3D10ResourceGetMappedArray
         47   2E 001FA1E0 cuD3D10ResourceGetMappedPitch
         48   2F 001F9A40 cuD3D10ResourceGetMappedPitch_v2
         49   30 001FA490 cuD3D10ResourceGetMappedPointer
         50   31 001F95A0 cuD3D10ResourceGetMappedPointer_v2
         51   32 001FA6E0 cuD3D10ResourceGetMappedSize
         52   33 001F97F0 cuD3D10ResourceGetMappedSize_v2
         53   34 001FA930 cuD3D10ResourceGetSurfaceDimensions
         54   35 001F9CF0 cuD3D10ResourceGetSurfaceDimensions_v2
         55   36 001F9190 cuD3D10ResourceSetMapFlags
         56   37 001F8FB0 cuD3D10UnmapResources
         57   38 001F8C00 cuD3D10UnregisterResource
         58   39 001FB9E0 cuD3D11CtxCreate
         59   3A 001FB5F0 cuD3D11CtxCreateOnDevice
         60   3B 001FB3D0 cuD3D11CtxCreate_v2
         61   3C 001FAC10 cuD3D11GetDevice
         62   3D 001FAE50 cuD3D11GetDevices
