
Dump of file C:\Windows\System32\powrprof.dll

File Type: DLL

  Section contains the following exports for POWRPROF.dll

    00000000 characteristics
    AB2F15B1 time date stamp
        0.00 version
           1 ordinal base
         126 number of functions
         126 number of names

    ordinal hint RVA      name

          1    0 00001A30 CallNtPowerInformation
          2    1 000051B0 CanUserWritePwrScheme
          3    2 00005260 DeletePwrScheme
          4    3 00009EE0 DevicePowerClose
          5    4 00009FF0 DevicePowerEnumDevices
          6    5 0000A630 DevicePowerOpen
          7    6 0000A6B0 DevicePowerSetDeviceState
          8    7 000053D0 EnumPwrSchemes
          9    8 0000AD80 GUIDFormatToGlobalPowerPolicy
         10    9 0000B240 GUIDFormatToPowerPolicy
         11    A 00005A40 GetActivePwrScheme
         12    B 00005B00 GetCurrentPowerPolicies
         13    C 000026F0 GetPwrCapabilities
         14    D 00005B90 GetPwrDiskSpindownRange
         15    E 00005BF0 IsAdminOverrideActive
         16    F 00005C00 IsPwrHibernateAllowed
         17   10 00005C60 IsPwrShutdownAllowed
         18   11 00005CB0 IsPwrSuspendAllowed
         19   12 00005D10 LoadCurrentPwrScheme
         20   13 00005D10 MergeLegacyPwrScheme
         21   14 0000F5C0 PowerApplyPowerRequestOverride
         22   15 0000DE70 PowerApplySettingChanges
         23   16 0000B860 PowerCanRestoreIndividualDefaultPowerScheme
         24   17 0000B980 PowerClearUserAwayPrediction
         25   18 000107C0 PowerCloseEnvironmentalMonitor
         26   19 00011370 PowerCloseLimitsMitigation
         27   1A 00011BD0 PowerCloseLimitsPolicy
         28   1B 0000DF10 PowerCreatePossibleSetting
         29   1C 0000DFC0 PowerCreateSetting
         30   1D 00007820 PowerDebugDifPowerPolicies
         31   1E 000080E0 PowerDebugDifSystemPowerPolicies
         32   1F 000087C0 PowerDebugDumpPowerPolicy
         33   20 00008BB0 PowerDebugDumpPowerScheme
         34   21 000095B0 PowerDebugDumpSystemPowerCapabilities
         35   22 00009820 PowerDebugDumpSystemPowerPolicy
         36   23 0000E060 PowerDeleteScheme
         37   24 000028C0 PowerDeterminePlatformRole
         38   25 00002910 PowerDeterminePlatformRoleEx
         39   26 0000E100 PowerDuplicateScheme
         40   27 00001290 PowerEnumerate
         41   28 000018E0 PowerGetActiveScheme
         42   29 0000F650 PowerGetActualOverlayScheme
         43   2A 0000F940 PowerGetAdaptiveStandbyDiagnostics
         44   2B 0000F730 PowerGetEffectiveOverlayScheme
         45   2C 0000CE30 PowerGetOverlaySchemes
         46   2D 0000BA10 PowerGetUserAwayMinPredictionConfidence
         47   2E 0000E2F0 PowerImportPowerScheme
         48   2F 00002E90 PowerInformationWithPrivileges
         49   30 0000CF80 PowerIsSettingRangeDefined
         50   31 0000BB40 PowerOpenSystemPowerKey
         51   32 0000BBC0 PowerOpenUserPowerKey
         52   33 0000BC40 PowerPolicyToGUIDFormat
         53   34 0000D180 PowerReadACDefaultIndex
         54   35 00001010 PowerReadACValue
         55   36 00001700 PowerReadACValueIndex
         56   37 0000D280 PowerReadACValueIndexEx
         57   38 0000D2B0 PowerReadDCDefaultIndex
         58   39 0000D3B0 PowerReadDCValue
         59   3A 0000D4A0 PowerReadDCValueIndex
         60   3B 0000D4E0 PowerReadDCValueIndexEx
         61   3C 0000D510 PowerReadDescription
         62   3D 00001360 PowerReadFriendlyName
         63   3E 0000D560 PowerReadIconResourceSpecifier
         64   3F 0000D5B0 PowerReadPossibleDescription
         65   40 0000D600 PowerReadPossibleFriendlyName
