
Dump of file C:\Windows\System32\resutils.dll

File Type: DLL

  Section contains the following exports for RESUTILS.dll

    00000000 characteristics
    7A7EBA57 time date stamp
        0.00 version
           1 ordinal base
         145 number of functions
         145 number of names

    ordinal hint RVA      name

          2    0 00010C60 CloseClusterCryptProvider
          3    1 00007650 ClusAddClusterHealthFault
          4    2 000088C0 ClusGetClusterHealthFaults
          5    3 00007FA0 ClusRemoveClusterHealthFault
          6    4 00008BE0 ClusWorkerCheckTerminate
          7    5 00008A50 ClusWorkerCreate
          1    6 00008970 ClusWorkerStart
          8    7 00008DA0 ClusWorkerTerminate
          9    8 00008EA0 ClusWorkerTerminateEx
         10    9 00008EB0 ClusWorkersTerminate
         11    A 00004490 ClusterClearBackupStateForSharedVolume
         12    B 00010E00 ClusterDecrypt
         13    C 00010C90 ClusterEncrypt
         14    D 0002ED10 ClusterEnumTasks
         15    E 000296E0 ClusterFileShareCreate
         16    F 0002B810 ClusterFileShareDelete
         17   10 0002B220 ClusterFileShareUpdate
         18   11 0002F920 ClusterFreeTaskInfo
         19   12 0002F8D0 ClusterFreeTaskList
         20   13 0002EBD0 ClusterGetTaskNode
         21   14 00004340 ClusterGetVolumeNameForVolumeMountPoint
         22   15 00004320 ClusterGetVolumePathName
         23   16 0002BCF0 ClusterIsClusterDisk
         24   17 00004310 ClusterIsPathOnSharedVolume
         25   18 00004460 ClusterPrepareSharedVolumeForBackup
         26   19 0000F2A0 ClusterSharedVolumeCheckSnapshotPresence
         27   1A 0000EFA0 ClusterSharedVolumeCreateSnapshot
         28   1B 0000F250 ClusterSharedVolumeReleaseSnapshot
         29   1C 0002D880 ClusterTaskChangeFromXML
         30   1D 0002D700 ClusterTaskChangeFromXMLFile
         31   1E 00030690 ClusterTaskChange_TS_V1
         32   1F 0002CEB0 ClusterTaskCreateFromXML
         33   20 0002CD10 ClusterTaskCreateFromXMLFile
         34   21 0002FDE0 ClusterTaskCreate_TS_V1
         35   22 0002DCF0 ClusterTaskDelete
         36   23 00030B60 ClusterTaskDelete_TS_V1
         37   24 00030F00 ClusterTaskExists_TS_V1
         38   25 0002F9F0 ClusterTaskQuery
         39   26 00033C90 CreateClusterStorageSpacesClustering
         40   27 00033A60 CreateClusterStorageSpacesResourceLocator
         41   28 00033BF0 CreateClusterStorageSpacesSubProvider
         42   29 00010FE0 FreeClusterCrypt
         43   2A 00005D90 FreeClusterHealthFault
         44   2B 00005E00 FreeClusterHealthFaultArray
         45   2C 00005D40 InitializeClusterHealthFault
         46   2D 00005D70 InitializeClusterHealthFaultArray
         47   2E 00010930 OpenClusterCryptProvider
         48   2F 00010AA0 OpenClusterCryptProviderEx
         49   30 00001FB0 ResUtilAddUnknownProperties
         50   31 00009350 ResUtilCreateDirectoryTree
         51   32 0000AE80 ResUtilDupGroup
         52   33 000028E0 ResUtilDupParameterBlock
         53   34 0000AF80 ResUtilDupResource
         54   35 00004CD0 ResUtilDupString
         55   36 0000AD50 ResUtilEnumGroups
         56   37 0000AE50 ResUtilEnumGroupsEx
         57   38 00001780 ResUtilEnumPrivateProperties
         58   39 000015D0 ResUtilEnumProperties
         59   3A 00002FD0 ResUtilEnumResources
         60   3B 00003530 ResUtilEnumResourcesEx
         61   3C 000032D0 ResUtilEnumResourcesEx2
         62   3D 00009470 ResUtilExpandEnvironmentStrings
         63   3E 00002600 ResUtilFindBinaryProperty
         64   3F 0000A140 ResUtilFindDependentDiskResourceDriveLetter
