
Dump of file C:\Windows\System32\rpcrt4.dll

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    E1D764F5 time date stamp
        0.00 version
        1000 ordinal base
         556 number of functions
         555 number of names

    ordinal hint RVA      name

       1022    0 0005B820 CStdStubBuffer_AddRef
       1023    1 000C8120 CStdStubBuffer_Connect
       1024    2 000C8180 CStdStubBuffer_CountRefs
       1025    3 000C81D0 CStdStubBuffer_DebugServerQueryInterface
       1026    4 000C8230 CStdStubBuffer_DebugServerRelease
       1027    5 0005E670 CStdStubBuffer_Disconnect
       1028    6 0005AFB0 CStdStubBuffer_Invoke
       1029    7 000C8280 CStdStubBuffer_IsIIDSupported
       1030    8 000620B0 CStdStubBuffer_QueryInterface
       1031    9 00062DA0 CreateProxyFromTypeInfo
       1032    A 000650E0 CreateStubFromTypeInfo
       1033    B 000A5F80 DceErrorInqTextA
       1034    C 000A6010 DceErrorInqTextW
       1035    D 000C82E0 DllGetClassObject
       1036    E 000C8350 DllRegisterServer
       1037    F 0005AB50 IUnknown_AddRef_Proxy
       1038   10 0005B8D0 IUnknown_QueryInterface_Proxy
       1039   11 0005AB10 IUnknown_Release_Proxy
       1040   12 00010300 I_RpcAllocate
       1041   13 00067D20 I_RpcAsyncAbortCall
       1042   14 00010060 I_RpcAsyncSetHandle
       1043   15 0004A6F0 I_RpcBCacheAllocate
       1044   16 00063700 I_RpcBCacheFree
       1045   17 000A62D0 I_RpcBindingCopy
       1046   18 000A6340 I_RpcBindingCreateNP
       1047   19 000ADA60 I_RpcBindingHandleToAsyncHandle
       1048   1A 0004A880 I_RpcBindingInqClientTokenAttributes
       1001   1B 00057780 I_RpcBindingInqCurrentModifiedId
       1049   1C          I_RpcBindingInqDynamicEndpoint (forwarded to RPCRT4.I_RpcBindingInqDynamicEndpointW)
       1050   1D 0006B6E0 I_RpcBindingInqDynamicEndpointA
       1051   1E 00009B00 I_RpcBindingInqDynamicEndpointW
       1052   1F 00055C50 I_RpcBindingInqLocalClientPID
       1053   20 000ADAD0 I_RpcBindingInqMarshalledTargetInfo
       1054   21 000A65B0 I_RpcBindingInqSecurityContext
       1055   22 000A6610 I_RpcBindingInqSecurityContextKeyInfo
       1056   23 000571A0 I_RpcBindingInqTransportType
       1057   24 000ADB50 I_RpcBindingInqWireIdForSnego
       1058   25 0004C730 I_RpcBindingIsClientLocal
       1059   26 000A4A50 I_RpcBindingIsServerLocal
       1060   27 00066A70 I_RpcBindingSetPrivateOption
       1061   28 000ADCC0 I_RpcBindingToStaticStringBindingW
       1062   29 000A5DE0 I_RpcCertProcessAndProvision
       1063   2A 0005E200 I_RpcClearMutex
       1064   2B 000A4610 I_RpcCompleteAndFree
       1065   2C 000ADE50 I_RpcDeleteMutex
       1066   2D 000A5CE0 I_RpcEnableWmiTrace
       1067   2E 00059B20 I_RpcExceptionFilter
       1068   2F 000B0DF0 I_RpcFilterDCOMActivation
       1002   30 000A4570 I_RpcFixTransferSyntax
       1069   31 00062F10 I_RpcFree
       1070   32 0005AF70 I_RpcFreeBuffer
       1071   33 000B0F90 I_RpcFreePipeBuffer
       1072   34 00060BC0 I_RpcFreeSystemHandle
       1073   35 0005AAB0 I_RpcFreeSystemHandleCollection
       1003   36 000A4770 I_RpcFwThisIsTheManager
       1074   37 0004E9A0 I_RpcGetBuffer
       1075   38 0004E9B0 I_RpcGetBufferWithObject
       1076   39 000B1130 I_RpcGetCurrentCallHandle
