
Dump of file C:\Windows\System32\samsrv.dll

File Type: DLL

  Section contains the following exports for SAMSRV.dll

    00000000 characteristics
     9354CF9 time date stamp
        0.00 version
           1 ordinal base
         329 number of functions
         329 number of names

    ordinal hint RVA      name

          1    0 0000E740 RtlDeleteElementGenericTable2
          2    1 00023820 RtlInitializeGenericTable2
          3    2 00003320 RtlInsertElementGenericTable2
          4    3 000042F0 RtlLookupElementGenericTable2
          5    4 0000B2E0 SAM_MIDL_user_allocate
          6    5 0000FC00 SAM_MIDL_user_free
          7    6 0000B2E0 SamDsExtAlloc
          8    7 0000FC00 SamDsExtFree
          9    8 0002DF40 SamIAccountRestrictions
         10    9 0001A750 SamIAddDSNameToAlias
         11    A 000860B0 SamIChangePasswordForeignUser
         12    B 00069330 SamIClaimIsValid
         13    C 00030390 SamIConnect
         14    D 000693F0 SamIConvertSecurityAttributesToClaimsBlob
         15    E 0008E5B0 SamICopyCurrentDomainAccountSettings
         16    F 000707C0 SamICreateKrbTgt
         17   10 00069660 SamIDecodeClaimsBlob
         18   11 000696B0 SamIDecodeClaimsBlobIntoClaimsSet
         19   12 00059620 SamIDecodeClaimsBlobToAuthz
         20   13 000782F0 SamIDemote
         21   14 00078390 SamIDemoteUndo
         22   15 0006CF90 SamIDoFSMORoleChange
         23   16 00059670 SamIFreeAuthzSecurityAttributesInfo
         24   17 00020400 SamIFreeClaimsBlob
         25   18 00069730 SamIFreeDecodedClaimsSet
         26   19 0007F3E0 SamIFreeLookupNamesInfo
         27   1A 0007F520 SamIFreeLookupSidsInfo
         28   1B 0008E5D0 SamIFreeOidList
         29   1C 0000FA50 SamIFreeRealmList
         30   1D 000697F0 SamIFreeSecurityAttributesInfo
         31   1E 0000F290 SamIFreeSidAndAttributesList
         32   1F 0000F310 SamIFreeSidArray
         33   20 0000FC00 SamIFreeVoid
         34   21 0007F6F0 SamIFree_SAMPR_DISPLAY_INFO_BUFFER
         35   22 00023850 SamIFree_SAMPR_DOMAIN_INFO_BUFFER
         36   23 0002BB40 SamIFree_SAMPR_ENUMERATION_BUFFER
         37   24 0007F730 SamIFree_SAMPR_GET_GROUPS_BUFFER
         38   25 0000FAA0 SamIFree_SAMPR_RETURNED_USTRING_ARRAY
         39   26 0000FA00 SamIFree_SAMPR_ULONG_ARRAY
         40   27 0000F8E0 SamIFree_SAMPR_USER_INFO_BUFFER
         41   28 0002EBC0 SamIFree_UserInternal6Information
         42   29 0000B4F0 SamIGetAliasMembership
         43   2A 0008E610 SamIGetConfigurationOidList
         44   2B 0008F840 SamIGetDefaultAdministratorName
         45   2C 000045F0 SamIGetResourceGroupMembershipsTransitive
         46   2D 000140B0 SamIGetResourceGroupMembershipsTransitive2
         47   2E 0008E700 SamIGetUserLogonInformation
         48   2F 0002E2E0 SamIGetUserLogonInformation2
         49   30 00020770 SamIGetUserLogonInformation3
         50   31 000211A0 SamIGetUserLogonInformationEx
         51   32 000159A0 SamIHandleObjectUpdate
         52   33 000227D0 SamIImpersonateNullSession
         53   34 000256E0 SamIInitialize
         54   35 000838D0 SamIIsDownlevelDcUpgrade
         55   36 00072AA0 SamIIsExtendedSidMode
         56   37 000838E0 SamIIsRebootAfterPromotion
         57   38 000256D0 SamIIsSetupInProgress
         58   39 000783C0 SamILoadDownlevelDatabase
         59   3A 0006CFD0 SamILookupNamesBySid
         60   3B 00007030 SamILookupNamesInDomain
         61   3C 0006D2C0 SamILookupSidsByName
