
Dump of file C:\Windows\System32\sechost.dll

File Type: DLL

  Section contains the following exports for SECHOST.dll

    00000000 characteristics
    51664345 time date stamp
        0.00 version
           1 ordinal base
         217 number of functions
         217 number of names

    ordinal hint RVA      name

          3    0 0001BDD0 AuditComputeEffectivePolicyBySid
          4    1 0004FF40 AuditEnumerateCategories
          5    2 00050090 AuditEnumeratePerUserPolicy
          6    3 00050120 AuditEnumerateSubCategories
          7    4 0000E9A0 AuditFree
          8    5 00050290 AuditLookupCategoryNameW
          9    6 00050410 AuditLookupSubCategoryNameW
         10    7 00050590 AuditQueryGlobalSaclW
         11    8 0001A2B0 AuditQueryPerUserPolicy
         12    9 00050600 AuditQuerySecurity
         13    A 0001A400 AuditQuerySystemPolicy
         14    B 000506D0 AuditSetGlobalSaclW
         15    C 00050740 AuditSetPerUserPolicy
         16    D 000507F0 AuditSetSecurity
         17    E 00050950 AuditSetSystemPolicy
         18    F 000196D0 BuildSecurityDescriptorForSharingAccess
         19   10 00019040 BuildSecurityDescriptorForSharingAccessEx
         20   11 0000D6A0 CapabilityCheck
         21   12 00045400 CapabilityCheckForSingleSessionSku
         22   13 00045CD0 ChangeServiceConfig2A
         23   14 0001C7A0 ChangeServiceConfig2W
         24   15 00045E80 ChangeServiceConfigA
         25   16 0000E5C0 ChangeServiceConfigW
         26   17 00008470 CloseServiceHandle
         27   18 0000BA50 CloseTrace
         28   19 0000E8D0 ControlService
         29   1A 00046160 ControlServiceExA
         30   1B 0000E300 ControlServiceExW
         31   1C 0004B7A0 ControlTraceA
         32   1D 00009290 ControlTraceW
         33   1E 0002CB70 ConvertSDToStringSDRootDomainW
         34   1F 00010FA0 ConvertSecurityDescriptorToStringSecurityDescriptorW
         35   20 0000F050 ConvertSidToStringSidW
         36   21 0002CBF0 ConvertStringSDToSDDomainA
         37   22 0002CD30 ConvertStringSDToSDDomainW
         38   23 0002CE00 ConvertStringSDToSDRootDomainW
         39   24 00011040 ConvertStringSecurityDescriptorToSecurityDescriptorW
         40   25 00011A70 ConvertStringSidToSidW
         41   26 00061480 CreateIsolatedProcess
         42   27 00061510 CreateIsolationContainer
         43   28 000462C0 CreateServiceA
         44   29 00046A20 CreateServiceEx
         45   2A 00046F20 CreateServiceW
         46   2B 00050C50 CredBackupCredentials
         47   2C 00050DF0 CredDeleteA
         48   2D 00050EE0 CredDeleteW
         49   2E 00052290 CredEncryptAndMarshalBinaryBlob
         50   2F 00050FD0 CredEnumerateA
         51   30 0000F190 CredEnumerateW
         52   31 00051130 CredFindBestCredentialA
         53   32 00051270 CredFindBestCredentialW
         54   33 0000E9A0 CredFree
         55   34 000513B0 CredGetSessionTypes
         56   35 00051440 CredGetTargetInfoA
         57   36 00051580 CredGetTargetInfoW
         58   37 000522C0 CredIsMarshaledCredentialW
         59   38 00052300 CredIsProtectedA
         60   39 00019900 CredIsProtectedW
         61   3A 000523A0 CredMarshalCredentialA
         62   3B 0001AE90 CredMarshalCredentialW
         63   3C 000197F0 CredParseUserNameWithType
         64   3D 000516C0 CredProfileLoaded
         65   3E 0000EFF0 CredProfileLoadedEx
         66   3F 0001A0E0 CredProfileUnloaded
         67   40 00052410 CredProtectA
         68   41 0001AC00 CredProtectEx
         69   42 0001ABE0 CredProtectW
         70   43 00051740 CredReadA
         71   44 00051880 CredReadByTokenHandle
         72   45 000519D0 CredReadDomainCredentialsA
         73   46 00051B30 CredReadDomainCredentialsW
         74   47 00051CA0 CredReadW
