
Dump of file C:\Windows\System32\spoolss.dll

File Type: DLL

  Section contains the following exports for SPOOLSS.DLL

    00000000 characteristics
    530FABD1 time date stamp
        0.00 version
           1 ordinal base
         207 number of functions
         207 number of names

    ordinal hint RVA      name

         12    0 00003FA0 AbortPrinter
         13    1 00004000 AddFormW
         14    2 00004060 AddJobW
         15    3 000040C0 AddMonitorW
         16    4 00004130 AddPerMachineConnectionW
         17    5 00004190 AddPortExW
         18    6 000041F0 AddPortW
         19    7 0000B1E0 AddPrintDeviceObject
         20    8 00004250 AddPrintProcessorW
         21    9 000042B0 AddPrintProvidorW
         22    A 00004310 AddPrinterConnectionW
         23    B 00004370 AddPrinterDriverExW
         24    C 000043D0 AddPrinterDriverW
         25    D 00004430 AddPrinterExW
         26    E 00004490 AddPrinterW
         27    F 000044F0 AdjustPointers
         28   10 00004550 AdjustPointersInStructuresArray
         29   11 000045B0 AlignKMPtr
         30   12 000045E0 AlignRpcPtr
         31   13 00001830 AllocSplStr
         32   14 00004640 AllowRemoteCalls
         33   15 000016F0 AppendPrinterNotifyInfoData
         34   16 000046A0 BuildOtherNamesFromMachineName
         35   17 00001970 CacheAddName
         36   18 00004700 CacheCreateAndAddNode
         37   19 00004760 CacheCreateAndAddNodeWithIPAddresses
         38   1A 000047C0 CacheDeleteNode
         39   1B 00004820 CacheIsNameCluster
         40   1C 00004880 CacheIsNameInNodeList
         41   1D 000048E0 CallDrvDevModeConversion
         42   1E 00004960 CallRouterFindFirstPrinterChangeNotification
         43   1F 00001F90 CheckLocalCall
         44   20 000011C0 ClosePrinter
         45   21 000049D0 ConfigurePortW
         46   22 00004A30 CreatePrinterIC
         47   23 00004A90 DeleteFormW
         48   24 00004AF0 DeleteJobNamedProperty
         49   25 00004B50 DeleteMonitorW
         50   26 00004BB0 DeletePerMachineConnectionW
         51   27 00004C10 DeletePortW
         52   28 00004C80 DeletePrintProcessorW
         53   29 00004CF0 DeletePrintProvidorW
         54   2A 00004D50 DeletePrinter
         55   2B 00004DB0 DeletePrinterConnectionW
         56   2C 00004E10 DeletePrinterDataExW
         57   2D 00004E70 DeletePrinterDataW
         58   2E 00004ED0 DeletePrinterDriverExW
         59   2F 00004F30 DeletePrinterDriverW
         60   30 00004F90 DeletePrinterIC
         61   31 00004FF0 DeletePrinterKeyW
         62   32 000018F0 DllAllocSplMem
         63   33 00005050 DllAllocSplStr
         64   34 00001870 DllFreeSplMem
         65   35 000018B0 DllFreeSplStr
         66   36 00002C80 DllMain
         67   37 00005080 DllReallocSplMem
         68   38 000050B0 DllReallocSplStr
         69   39 000050E0 EndDocPrinter
         70   3A 00005150 EndPagePrinter
         71   3B 000051C0 EnumFormsW
         72   3C 00005250 EnumJobsW
         73   3D 00005310 EnumMonitorsW
         74   3E 00005380 EnumPerMachineConnectionsW
         75   3F 000053E0 EnumPortsW
         76   40 00005450 EnumPrintProcessorDatatypesW
         77   41 000054D0 EnumPrintProcessorsW
         78   42 00005550 EnumPrinterDataExW
         79   43 000055C0 EnumPrinterDataW
         80   44 00005680 EnumPrinterDriversW
         81   45 00005700 EnumPrinterKeyW
         82   46 00005770 EnumPrintersW
         83   47 00005820 FindClosePrinterChangeNotification
         84   48 00005880 FlushPrinter
         85   49 00005900 FormatPrinterForRegistryKey
         86   4A 00005960 FormatRegistryKeyForPrinter
         87   4B 000059C0 FreeOtherNames
         88   4C 00005A00 FreePrintPropertyValue
         89   4D 00005A60 GetFormW
