
Dump of file C:\Windows\System32\untfs.dll

File Type: DLL

  Section contains the following exports for UNTFS.dll

    00000000 characteristics
    7B6C8309 time date stamp
        0.00 version
           1 ordinal base
         167 number of functions
         167 number of names

    ordinal hint RVA      name

          1    0 00005470 ??0NTFS_ATTRIBUTE@@QEAA@XZ
          2    1 00004A30 ??0NTFS_ATTRIBUTE_DEFINITION_TABLE@@QEAA@XZ
          3    2 00009540 ??0NTFS_ATTRIBUTE_LIST@@QEAA@XZ
          4    3 0000A930 ??0NTFS_ATTRIBUTE_RECORD@@QEAA@XZ
          5    4 0000D130 ??0NTFS_BAD_CLUSTER_FILE@@QEAA@XZ
          6    5 0003C5B0 ??0NTFS_BITMAP@@QEAA@XZ
          7    6 0000DF50 ??0NTFS_BITMAP_FILE@@QEAA@XZ
          8    7 0000E210 ??0NTFS_BOOT_FILE@@QEAA@XZ
          9    8 0000E530 ??0NTFS_CLUSTER_RUN@@QEAA@XZ
         10    9 00011140 ??0NTFS_EXTENT_LIST@@QEAA@XZ
         11    A 00015360 ??0NTFS_FILE_RECORD_SEGMENT@@QEAA@XZ
         12    B 0001EF40 ??0NTFS_FRS_STRUCTURE@@QEAA@XZ
         13    C 00034300 ??0NTFS_INDEX_TREE@@QEAA@XZ
         14    D 000391E0 ??0NTFS_LOG_FILE@@QEAA@XZ
         15    E 0003A690 ??0NTFS_MFT_FILE@@QEAA@XZ
         16    F 0003B4C0 ??0NTFS_MFT_INFO@@QEAA@XZ
         17   10 0003BCF0 ??0NTFS_REFLECTED_MASTER_FILE_TABLE@@QEAA@XZ
         18   11 00056410 ??0NTFS_SA@@QEAA@XZ
         19   12 0007AC30 ??0NTFS_UPCASE_FILE@@QEAA@XZ
         20   13 0007A680 ??0NTFS_UPCASE_TABLE@@QEAA@XZ
         21   14 0007D350 ??0NTFS_VOLUME_FILE@@QEAA@XZ
         22   15 000054F0 ??1NTFS_ATTRIBUTE@@UEAA@XZ
         23   16 00004A70 ??1NTFS_ATTRIBUTE_DEFINITION_TABLE@@UEAA@XZ
         24   17 000095A0 ??1NTFS_ATTRIBUTE_LIST@@UEAA@XZ
         25   18 0000A980 ??1NTFS_ATTRIBUTE_RECORD@@UEAA@XZ
         26   19 0000D170 ??1NTFS_BAD_CLUSTER_FILE@@UEAA@XZ
         27   1A 0003C640 ??1NTFS_BITMAP@@UEAA@XZ
         28   1B 0000DF90 ??1NTFS_BITMAP_FILE@@UEAA@XZ
         29   1C 0000DF90 ??1NTFS_BOOT_FILE@@UEAA@XZ
         30   1D 0000E580 ??1NTFS_CLUSTER_RUN@@UEAA@XZ
         31   1E 000111E0 ??1NTFS_EXTENT_LIST@@UEAA@XZ
         32   1F 000153E0 ??1NTFS_FILE_RECORD_SEGMENT@@UEAA@XZ
         33   20 0001EFB0 ??1NTFS_FRS_STRUCTURE@@UEAA@XZ
         34   21 000343A0 ??1NTFS_INDEX_TREE@@UEAA@XZ
         35   22 0000DF90 ??1NTFS_LOG_FILE@@UEAA@XZ
         36   23 0003A720 ??1NTFS_MFT_FILE@@UEAA@XZ
         37   24 0003B5C0 ??1NTFS_MFT_INFO@@UEAA@XZ
         38   25 0000DF90 ??1NTFS_REFLECTED_MASTER_FILE_TABLE@@UEAA@XZ
         39   26 000564E0 ??1NTFS_SA@@UEAA@XZ
         40   27 0000DF90 ??1NTFS_UPCASE_FILE@@UEAA@XZ
