
Dump of file C:\Windows\System32\vdsutil.dll

File Type: DLL

  Section contains the following exports for vdsutil.dll

    00000000 characteristics
    5B6C884E time date stamp
        0.00 version
           1 ordinal base
         238 number of functions
         238 number of names

    ordinal hint RVA      name

          1    0 0000DB40 ??0?$CVdsHandleImpl@$0?0@@QEAA@XZ
          2    1 00011810 ??0CGlobalResource@@QEAA@XZ
          3    2 00001210 ??0CPrvEnumObject@@QEAA@XZ
          4    3 00011350 ??0CRtlList@@QEAA@P6AXPEAVCRtlEntry@@@Z@Z
          5    4 00010BF0 ??0CRtlMap@@QEAA@KP6AXPEAVCRtlEntry@@@Z1@Z
          6    5 00001090 ??0CRtlSharedLock@@QEAA@XZ
          7    6 00002570 ??0CVdsAsyncObjectBase@@QEAA@XZ
          8    7 00001D20 ??0CVdsCallTracer@@QEAA@KPEBD@Z
          9    8 000011C0 ??0CVdsCriticalSection@@QEAA@PEAU_RTL_CRITICAL_SECTION@@@Z
         10    9 00001460 ??0CVdsPnPNotificationBase@@QEAA@XZ
         11    A 00001D80 ??0CVdsTraceSettings@@QEAA@XZ
         12    B 00001440 ??0CVdsUnlockIt@@QEAA@AEAJ@Z
         13    C 000108B0 ??0CVdsWmiVariantObjectArrayEnum@@QEAA@XZ
         14    D 0000DA90 ??1?$CVdsHandleImpl@$0?0@@QEAA@XZ
         15    E 000014E0 ??1CGlobalResource@@QEAA@XZ
         16    F 00001290 ??1CPrvEnumObject@@QEAA@XZ
         17   10 00011370 ??1CRtlList@@QEAA@XZ
         18   11 00010C50 ??1CRtlMap@@UEAA@XZ
         19   12 000010D0 ??1CRtlSharedLock@@QEAA@XZ
         20   13 00002600 ??1CVdsAsyncObjectBase@@QEAA@XZ
         21   14 00001D60 ??1CVdsCallTracer@@QEAA@XZ
         22   15 000011F0 ??1CVdsCriticalSection@@QEAA@XZ
         23   16 000014A0 ??1CVdsPnPNotificationBase@@QEAA@XZ
         24   17 00001450 ??1CVdsUnlockIt@@QEAA@XZ
         25   18 000108D0 ??1CVdsWmiVariantObjectArrayEnum@@QEAA@XZ
         26   19 0000DAE0 ??4?$CVdsHandleImpl@$0?0@@QEAAPEAXPEAX@Z
         27   1A 00011680 ??4CRtlList@@QEAAAEAV0@AEAV0@@Z
         28   1B 0000DAD0 ??8?$CVdsHandleImpl@$0?0@@QEBA_NPEAX@Z
         29   1C 0000DB30 ??B?$CVdsHandleImpl@$0?0@@QEAAPEAXXZ
         30   1D 00001070 ??_FCRtlList@@QEAAXXZ
         31   1E 00001050 ??_FCRtlMap@@QEAAXXZ
         32   1F 00001110 ?AcquireRead@CRtlSharedLock@@AEAAXXZ
         33   20 00001130 ?AcquireWrite@CRtlSharedLock@@AEAAXXZ
         34   21 00001400 ?AllowCancel@CVdsAsyncObjectBase@@QEAAXXZ
         35   22 000020A0 ?Append@CPrvEnumObject@@QEAAJPEAUIUnknown@@@Z
         36   23 000108F0 ?Attach@CVdsWmiVariantObjectArrayEnum@@QEAAJPEAUtagVARIANT@@@Z
         37   24 00011390 ?Begin@CRtlList@@QEAA?AVCRtlListIter@@XZ
         38   25 00010C90 ?Begin@CRtlMap@@QEAA?AVCRtlMapIter@@XZ
         39   26 000029C0 ?Cancel@CVdsAsyncObjectBase@@UEAAJXZ
         40   27 00002110 ?Clear@CPrvEnumObject@@QEAAXXZ
         41   28 000023D0 ?Clone@CPrvEnumObject@@UEAAJPEAPEAUIEnumVdsObject@@@Z
