
Dump of file C:\Windows\System32\vmsif.dll

File Type: DLL

  Section contains the following exports for vmsif.dll

    00000000 characteristics
    ADC32DB8 time date stamp
        0.00 version
           1 ordinal base
         133 number of functions
         133 number of names

    ordinal hint RVA      name

          1    0 0001D100 VmsIfCapsFindCapability
          2    1 0001D180 VmsIfCapsGetCapability
          3    2 0001CEB0 VmsIfCapsInitializeLibrary
          4    3 0001D080 VmsIfCapsIsFeaturePresent
          5    4 0001D0C0 VmsIfCapsIsFixPresent
          6    5 0001CD70 VmsIfCapsQueryCapabilities
          7    6 0000DAB0 VmsIfDioNicSetAddresses
          8    7 0000DB60 VmsIfDioNicSetMacAddress
          9    8 0000DC00 VmsIfDioNicSetPacketFilter
         10    9 00022B30 VmsIfDriverClose
         11    A 00022AF0 VmsIfDriverOpen
         12    B 00022990 VmsIfDriverOpenWithFileName
         13    C 00002F50 VmsIfGetInitState
         14    D 0001C980 VmsIfGlobalParameterQuery
         15    E 0001C8B0 VmsIfGlobalParameterSet
         16    F 000178A0 VmsIfInitializeEventServer
         17   10 00010420 VmsIfIoctlAddToInputBuffer
         18   11 00010600 VmsIfIoctlDeinitializeOperation
         19   12 000104B0 VmsIfIoctlGetOutputBuffer
         20   13 000105F0 VmsIfIoctlGetOutputRecord
         21   14 000103E0 VmsIfIoctlInitializeOperation
         22   15 00010520 VmsIfIoctlResizeOutputBuffer
         23   16 000104A0 VmsIfIoctlSendIoctl
         24   17 000103A0 VmsIfMemFree
         25   18 0000D000 VmsIfNicAllocateVF
         26   19 0000CF10 VmsIfNicCollectInternalStats
         27   1A 0000AD30 VmsIfNicConnect
         28   1B 0000C820 VmsIfNicCreateEmulated
         29   1C 0000C820 VmsIfNicCreateSynthetic
         30   1D 0000BC60 VmsIfNicDeleteEmulated
         31   1E 0000BB60 VmsIfNicDeleteMiniport
         32   1F 0000BA70 VmsIfNicDeleteMiniportLW
         33   20 0000BC30 VmsIfNicDeleteSynthetic
         34   21 0000C710 VmsIfNicDisableMiniport
         35   22 0000D6D0 VmsIfNicDisableOptimizations
         36   23 0000AED0 VmsIfNicDisconnect
         37   24 0000C600 VmsIfNicEnableMiniport
         38   25 0000D5F0 VmsIfNicEnableOptimizations
         39   26 0000C8C0 VmsIfNicEndSave
         40   27 0000C550 VmsIfNicEnumerate
         41   28 0000D1A0 VmsIfNicFreeVF
         42   29 0000D910 VmsIfNicGetAddresses
         43   2A 0000C010 VmsIfNicGetDropReasons
         44   2B 0000C2D0 VmsIfNicGetInfo
         45   2C 0000CD10 VmsIfNicGetInternalStats
         46   2D 0000CBD0 VmsIfNicGetStats
         47   2E 0000C9A0 VmsIfNicGetStatus
         48   2F 0000DCF0 VmsIfNicGetVmqInfo
         49   30 0000D280 VmsIfNicGetVrssEntryCount
         50   31 0000D390 VmsIfNicGetVrssInfo
         51   32 0000B310 VmsIfNicInitializeMiniport
         52   33 0000B030 VmsIfNicInitializeMiniportLW
         53   34 0000B8B0 VmsIfNicMorphToEmulatedNic
         54   35 0000B630 VmsIfNicMorphToSynthNic
         55   36 0000B5F0 VmsIfNicNotifyInitializeExternal
         56   37 0000B5D0 VmsIfNicNotifyInitializeMiniport
         57   38 0000B010 VmsIfNicNotifyRestored
         58   39 0000BC90 VmsIfNicPausedEmulated
         59   3A 0000BCB0 VmsIfNicPausedSynthetic
         60   3B 0000D7B0 VmsIfNicRelearnMac
         61   3C 0000D540 VmsIfNicRestore
