
Dump of file C:\Windows\System32\vnetlib64.dll

File Type: DLL

  Section contains the following exports for vnetlib64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         159 number of functions
         159 number of names

    ordinal hint RVA      name

          1    0 00022B60 VNL_AdapterCoinstaller
          2    1 00023980 VNL_AssignSubnetAddressToVnet
          3    2 000262E0 VNL_BackupDatabase
          4    3 00026500 VNL_BackupDatabaseInRegistry
          5    4 00029400 VNL_CheckHostPacketFilterLog
          6    5 0002A050 VNL_CloseHostPacketFilter
          7    6 00029890 VNL_CloseHostPacketFilterLog
          8    7 00030300 VNL_ConnectVnetAdapter
          9    8 00030470 VNL_ConnectVnetSwitch
         10    9 000265D0 VNL_DeleteNetLibDatabase
         11    A 00026850 VNL_DeleteVnetFromDatabase
         12    B 00033B80 VNL_DisableIntelRLB
         13    C 00036470 VNL_DisableNetworkAdapter
         14    D 000365D0 VNL_EnableNetworkAdapter
         15    E 00037A20 VNL_EnumDHCPIPToMAC
         16    F 00038C10 VNL_EnumNATPortForward
         17   10 00039060 VNL_EnumNATPrivPort
         18   11 000269A0 VNL_ExportDatabaseToFile
         19   12 00030650 VNL_FindVNetWithFeatures
         20   13 00036730 VNL_GetAdapterActualAddr
         21   14 0003C0C0 VNL_GetBridgeHints
         22   15 0003C540 VNL_GetBridgeState
         23   16 0003FBA0 VNL_GetBridgeStatus
         24   17 00030840 VNL_GetCurrentLogLevel
         25   18 00041490 VNL_GetDHCPConfigFilePath
         26   19 00037DB0 VNL_GetDHCPIPToMAC
         27   1A 00041610 VNL_GetDHCPLeaseFilePath
         28   1B 000380E0 VNL_GetDHCPParam
         29   1C 00041790 VNL_GetDHCPStatus
         30   1D 00030870 VNL_GetDefaultLogLevel
         31   1E 00036900 VNL_GetHostAdapterName
         32   1F 00029B30 VNL_GetHostPacketFilterLogEvent
         33   20 00026B30 VNL_GetInstallBridge
         34   21 00026BE0 VNL_GetInstallCustomNetworkConfig
         35   22 00026C80 VNL_GetInstallDHCPOnlyIfUsed
         36   23 00026D20 VNL_GetInstallNATOnlyIfUsed
         37   24 00042CE0 VNL_GetIsHost64Bit
         38   25 000308B0 VNL_GetIsHostVista
         39   26 00030900 VNL_GetIsHostWXP
         40   27 00044000 VNL_GetNATConfigFilePath
         41   28 000440A0 VNL_GetNATLeaseFilePath
         42   29 00039380 VNL_GetNATParam
         43   2A 00039AD0 VNL_GetNATPortForward
         44   2B 00039FB0 VNL_GetNATPrivPort
         45   2C 00044140 VNL_GetNATStatus
         46   2D 00030970 VNL_GetNumberOfVnets
         47   2E 00026DE0 VNL_GetProductInstallPath
         48   2F 00027060 VNL_GetSuppressDriverPrompt
         49   30 00027120 VNL_GetUsbProductInstallPath
         50   31 00044E40 VNL_GetUserIfStatus
         51   32 00030AD0 VNL_GetVNetFeatures
         52   33 00027210 VNL_GetVnetAdapterAddr
         53   34 000274A0 VNL_GetVnetAdapterConfigured
         54   35 00036A00 VNL_GetVnetAdapterStatus
         55   36 00036BE0 VNL_GetVnetAdapterUserSpecifiedName
         56   37 00027660 VNL_GetVnetDisplayName
         57   38 00027760 VNL_GetVnetSubnetAddr
         58   39 00027860 VNL_GetVnetSubnetMask
         59   3A 000417E0 VNL_GetVnetUseDHCP
         60   3B 00044190 VNL_GetVnetUseNAT
         61   3C 00030C60 VNL_HasSufficientRightsToInstall
         62   3D 000279F0 VNL_ImportDatabaseFromFile
