
Dump of file C:\Windows\System32\windows.storage.dll

File Type: DLL

  Section contains the following exports for Windows.Storage.dll

    00000000 characteristics
    C6C08306 time date stamp
        0.00 version
           2 ordinal base
        2008 number of functions
         242 number of names

    ordinal hint RVA      name

          8    0 00013EF0 AssocCreateForClasses
          9    1 004C79B0 AssocGetDetailsOfPropKey
         10    2 002E7E90 AssocShouldProcessUseAppToAppLaunching
         11    3 0015BEF0 CCachedShellItem_CreateInstance
         12    4 001AB2F0 CCollectionFactory_CreateInstance
         13    5 000DE250 CDesktopFolder_CreateInstanceWithBindContext
         14    6 0041E8B0 CFSFolder_AdjustForSlowColumn
         15    7 000E4E70 CFSFolder_CreateFolder
         16    8 001AE6E0 CFSFolder_IsCommonItem
         17    9 00437F60 CFileOperationRecorder_CreateInstance
         18    A 00112470 CFreeThreadedItemContainer_CreateInstance
         19    B 00439730 CMruLongList_CreateInstance
         20    C 001B3000 CPrivateProfileCache_Save
         21    D 001AE480 CRegFolder_CreateAndInit
         22    E 001AD420 CRegFolder_CreateInstance
         23    F 000DB460 CShellItemArrayAsCollection_CreateInstance
         24   10 00405930 CShellItemArrayAsVirtualizedObjectArray_CreateInstance
         25   11 0005D950 CShellItemArrayWithCommonParent_CreateInstance
         26   12 0016A820 CShellItemArray_CreateInstance
         29   13 00106610 CShellItem_CreateInstance
         30   14 002E3530 CStorageItem_GetValidatedStorageItemObject
         31   15 00024230 CTaskAddDoc_Create
         32   16 0019FDD0 CViewSettings_CreateInstance
         33   17 003D7030 CopyDefaultLibrariesFromGroupPolicy
        943   18 00448DE0 CreateExtrinsicPropertyStore
         34   19 004059B0 CreateItemArrayFromItemStore
         35   1A 000763B0 CreateItemArrayFromObjectArray
         36   1B 003D17F0 CreateLocalizationDesktopIni
         37   1C 001498C0 CreateSortColumnArray
          3   1D 002ACBA0 CreateStorageItemFromPath_FullTrustCaller
          5   1E 002ACBC0 CreateStorageItemFromPath_FullTrustCaller_ForPackage
         38   1F 002E3630 CreateStorageItemFromPath_PartialTrustCaller
        942   20 000963D0 CreateStorageItemFromShellItem
        925   21 00088C80 CreateStorageItemFromShellItem_FullTrustCaller_ForPackage
         39   22 001B47C0 CreateVolatilePropertyStore
         40   23 0044A3D0 CustomStatePropertyDescription_CreateWithItemPropertyStore
         41   24 0044A500 CustomStatePropertyDescription_CreateWithStateIdentifier
         43   25 0004A290 DataAccessCaches_InvalidateForLibrary
         44   26 0001A020 DeserializeTextToLink
         45   27 00026710 DetermineFolderDestinationParentAppID
         46   28 001896D0 DllCanUnloadNow
         47   29 00181550 DllGetActivationFactory
         48   2A 000FA1B0 DllGetClassObject
         49   2B 001C2580 DllMain
         50   2C 001AF670 DllRegisterServer
         51   2D 001AF670 DllUnregisterServer
         52   2E 004CD4D0 DragQueryFileW
         53   2F 00405A60 EnumShellItemsFromEnumFullIdList
        938   30 002E3820 GetCachedFileUpdateInformation
         54   31 00457420 GetCommandProviderForFolderType
         55   32 00438140 GetFileUndoText
         56   33 001059F0 GetFindDataForPath
         57   34 00134940 GetFindDataFromFileInformationByHandle
        945   35 002E9210 GetInfoForFileInUse
         58   36 000963A0 GetRegDataDrivenCommand
         59   37 000BA8E0 GetRegDataDrivenCommandWithAssociation
         60   38 004574C0 GetSelectionStateFromItemArray
         61   39 00069A60 GetSystemPersistedStorageItemList
         62   3A 002E92A0 GetSystemPersistedStorageItemListForUser
         63   3B 0009A5E0 GetThreadFlags
