
Dump of file C:\Windows\System32\wintrust.dll

File Type: DLL

  Section contains the following exports for WINTRUST.dll

    00000000 characteristics
    7103DA53 time date stamp
        0.00 version
           1 ordinal base
         159 number of functions
         159 number of names

    ordinal hint RVA      name

         12    0 00037FD0 AddPersonalTrustDBPages
         13    1 00010170 CatalogCompactHashDatabase
          1    2 0002ABC0 ComputeFirstPageHash
         14    3 00039A70 ConfigCiFinalPolicy
         15    4 00039E80 ConfigCiPackageFamilyNameCheck
         16    5 000020F0 CryptCATAdminAcquireContext
         17    6 0002D270 CryptCATAdminAcquireContext2
         18    7 0002D350 CryptCATAdminAddCatalog
         19    8 0002D6A0 CryptCATAdminCalcHashFromFileHandle
         20    9 0002D700 CryptCATAdminCalcHashFromFileHandle2
         21    A 0002D780 CryptCATAdminCalcHashFromFileHandle3
         22    B 00004170 CryptCATAdminEnumCatalogFromHash
         23    C 0002D7F0 CryptCATAdminPauseServiceForBackup
         24    D 00002190 CryptCATAdminReleaseCatalogContext
         25    E 00001ED0 CryptCATAdminReleaseContext
         26    F 0002D840 CryptCATAdminRemoveCatalog
         27   10 0002D890 CryptCATAdminResolveCatalogPath
         28   11 00009020 CryptCATAllocSortedMemberInfo
         29   12 0002F550 CryptCATCDFClose
         30   13 0002F600 CryptCATCDFEnumAttributes
         31   14 0002F620 CryptCATCDFEnumAttributesWithCDFTag
         32   15 0002F670 CryptCATCDFEnumCatAttributes
         33   16 0002F820 CryptCATCDFEnumMembers
         34   17 0002F890 CryptCATCDFEnumMembersByCDFTag
         35   18 0002F8E0 CryptCATCDFEnumMembersByCDFTagEx
         36   19 0002F930 CryptCATCDFOpen
         37   1A 00001E00 CryptCATCatalogInfoFromContext
         38   1B 00003E30 CryptCATClose
         39   1C 0000C9D0 CryptCATEnumerateAttr
         40   1D 0000CA30 CryptCATEnumerateCatAttr
         41   1E 0002C550 CryptCATEnumerateMember
         42   1F 0002C640 CryptCATFreeSortedMemberInfo
         43   20 0002C680 CryptCATGetAttrInfo
         44   21 0002C730 CryptCATGetCatAttrInfo
         45   22 0002C7C0 CryptCATGetMemberInfo
         46   23 0000FFA0 CryptCATHandleFromStore
         47   24 0002C890 CryptCATOpen
         48   25 0002C9F0 CryptCATPersistStore
         49   26 0002CA30 CryptCATPutAttrInfo
         50   27 0002CC10 CryptCATPutCatAttrInfo
         51   28 0002CEB0 CryptCATPutMemberInfo
         52   29 0000FFA0 CryptCATStoreFromHandle
          2   2A 0002C500 CryptCATVerifyMember
         53   2B 00008A60 CryptSIPCreateIndirectData
         54   2C 000089D0 CryptSIPGetCaps
          3   2D 00032AA0 CryptSIPGetInfo
          4   2E 00032A90 CryptSIPGetRegWorkingFlags
         55   2F 00032B10 CryptSIPGetSealedDigest
         56   30 00032BF0 CryptSIPGetSignedDataMsg
         57   31 00032D10 CryptSIPPutSignedDataMsg
         58   32 00032DF0 CryptSIPRemoveSignedDataMsg
         59   33 00032E90 CryptSIPVerifyIndirectData
         60   34 00024F60 DllRegisterServer
         61   35 00024FB0 DllUnregisterServer
         62   36 0000F660 DriverCleanupPolicy
         63   37 0000C570 DriverFinalPolicy
         64   38 00002760 DriverInitializePolicy
         65   39 0003C1C0 FindCertsByIssuer
          5   3A 00037210 GenericChainCertificateTrust
          6   3B 00037550 GenericChainFinalProv
         66   3C 0003A1A0 GetAuthenticodeSha256Hash
          7   3D 0000BE30 HTTPSCertificateTrust
         67   3E 0000EB70 HTTPSFinalProv
