
Dump of file C:\Windows\System32\wlanapi.dll

File Type: DLL

  Section contains the following exports for wlanapi.dll

    00000000 characteristics
    2A7241BB time date stamp
        0.00 version
           1 ordinal base
         258 number of functions
         258 number of names

    ordinal hint RVA      name

          1    0 00019600 QueryNetconStatus
          2    1 00019860 QueryNetconVirtualCharacteristic
          3    2 00021A10 WFDAbortSessionInt
          4    3 00021A20 WFDAcceptConnectRequestAndOpenSessionInt
          5    4 00021A30 WFDAcceptGroupRequestAndOpenSessionInt
          6    5 00021EE0 WFDCancelConnectorPairWithOOB
          7    6 00019980 WFDCancelListenerPairWithOOB
          8    7 000177E0 WFDCancelOpenSession
          9    8 000177E0 WFDCancelOpenSessionInt
         10    9 000177F0 WFDCloseHandle
         11    A 000177F0 WFDCloseHandleInt
         12    B 00021AA0 WFDCloseLegacySessionInt
         13    C 00019C40 WFDCloseOOBPairingSession
         14    D 00017800 WFDCloseSession
         15    E 00017800 WFDCloseSessionInt
         16    F 00021AB0 WFDConfigureFirewallForSessionInt
         17   10 00021AC0 WFDCreateDHPrivatePublicKeyPairInt
         18   11 00021AE0 WFDDeclineConnectRequestInt
         19   12 00021AF0 WFDDeclineGroupRequestInt
         20   13 00021B00 WFDDiscoverDeviceServiceInformationInt
         21   14 00021B10 WFDDiscoverDevicesExInt
         22   15 00021B20 WFDDiscoverDevicesInt
         23   16 00021B30 WFDFlushVisibleDeviceListInt
         24   17 00021B40 WFDForceDisconnectInt
         25   18 00021B50 WFDForceDisconnectLegacyPeerInt
         26   19 00010090 WFDFreeMemoryInt
         27   1A 00021B60 WFDGetDefaultGroupProfileInt
         28   1B 00021B70 WFDGetDeviceDescriptorForPendingRequestInt
         29   1C 00021B80 WFDGetNFCCarrierConfigBlobInt
         30   1D 00019E80 WFDGetOOBBlob
         31   1E 00021B90 WFDGetPrimaryAdapterStateInt
         32   1F 00021BA0 WFDGetProfileKeyInfoInt
         33   20 00021BB0 WFDGetSessionEndpointPairsInt
         34   21 00021BC0 WFDGetVisibleDevicesExInt
         35   22 00021BD0 WFDGetVisibleDevicesInt
         36   23 0001A1B0 WFDIsInterfaceWiFiDirect
         37   24 0001A300 WFDIsWiFiDirectRunningOnWiFiAdapter
         38   25 00022900 WFDLowPrivCancelOpenSessionInt
         39   26 00022910 WFDLowPrivCloseHandleInt
         40   27 00022920 WFDLowPrivCloseLegacySessionInt
         41   28 00022930 WFDLowPrivCloseSessionInt
         42   29 00022940 WFDLowPrivConfigureFirewallForSessionInt
         43   2A 00022950 WFDLowPrivDeclineDeviceApiConnectionRequestInt
         44   2B 00022960 WFDLowPrivGetPendingGroupRequestDetailsInt
         45   2C 00022970 WFDLowPrivGetSessionEndpointPairsInt
         46   2D 00022980 WFDLowPrivIsWfdSupportedInt
         47   2E 00022990 WFDLowPrivOpenHandleInt
         48   2F 000229A0 WFDLowPrivOpenLegacySessionInt
         49   30 000229B0 WFDLowPrivOpenSessionByDafObjectIdInt
         50   31 00022A20 WFDLowPrivQueryPropertyInt
         51   32 00022A30 WFDLowPrivRegisterNotificationInt
         52   33 00022A70 WFDLowPrivRegisterVMgrCallerInt
         53   34 00022A80 WFDLowPrivSetPropertyInt
         54   35 00022A90 WFDLowPrivStartDeviceApiConnectionRequestListenerInt
         55   36 00022AA0 WFDLowPrivStartUsingGroupInt
         56   37 00022AB0 WFDLowPrivStopDeviceApiConnectionRequestListenerInt
         57   38 00022AC0 WFDLowPrivStopUsingGroupInt
