
Dump of file C:\Windows\System32\FirewallAPI.dll

File Type: DLL

  Section contains the following exports for FirewallAPI.dll

    00000000 characteristics
    554B8967 time date stamp
        0.00 version
           1 ordinal base
         204 number of functions
         204 number of names

    ordinal hint RVA      name

          8    0 00002550 DllCanUnloadNow
          9    1 00004300 DllGetClassObject
         10    2 0001E780 DllRegisterServer
         11    3 0001E7E0 DllUnregisterServer
         12    4 00045C10 FWAddAuthenticationSet
         13    5 00045DF0 FWAddConnectionSecurityRule
         14    6 00045FC0 FWAddCryptoSet
         15    7 00046160 FWAddFirewallRule
         16    8 000463E0 FWAddMainModeRule
         17    9 00046560 FWAddSecurityRealm
         18    A 00004430 FWChangeNotificationCreate
         19    B 00024B90 FWChangeNotificationDestroy
         20    C 000467B0 FWChangeTransactionalState
         21    D 00006290 FWClosePolicyStore
         22    E 00046990 FWCopyAuthenticationSet
         23    F 000469F0 FWCopyConnectionSecurityRule
         24   10 00046A50 FWCopyCryptoSet
         25   11 00046AB0 FWCopyFirewallRule
         26   12 00046B10 FWDeleteAllAuthenticationSets
         27   13 00046C40 FWDeleteAllConnectionSecurityRules
         28   14 00046D70 FWDeleteAllCryptoSets
         29   15 00046EA0 FWDeleteAllFirewallRules
         30   16 00046FD0 FWDeleteAllMainModeRules
         31   17 00047100 FWDeleteAuthenticationSet
         32   18 00047230 FWDeleteConnectionSecurityRule
         33   19 00047360 FWDeleteCryptoSet
         34   1A 00047490 FWDeleteFirewallRule
         35   1B 000475C0 FWDeleteMainModeRule
         36   1C 000476F0 FWDeletePhase1SAs
         37   1D 00047800 FWDeletePhase2SAs
         38   1E 00047910 FWDeleteSecurityRealm
         39   1F 00047940 FWDiagGetAppList
         40   20 00047A40 FWEnumAdapters
         41   21 00047B50 FWEnumAuthenticationSets
         42   22 00047D40 FWEnumConnectionSecurityRules
         43   23 00047F30 FWEnumCryptoSets
         44   24 000480F0 FWEnumFirewallRules
         45   25 00048380 FWEnumMainModeRules
         46   26 00048520 FWEnumNetworks
         47   27 00048630 FWEnumPhase1SAs
         48   28 00048760 FWEnumPhase2SAs
         49   29 00048890 FWEnumProducts
         50   2A 000489A0 FWExportPolicy
         51   2B 00009130 FWFreeAdapters
         52   2C 00048B40 FWFreeAuthenticationSet
         53   2D 00048B60 FWFreeAuthenticationSets
         54   2E 00048C20 FWFreeAuthenticationSetsByHandle
         55   2F 00048D10 FWFreeConnectionSecurityRule
         56   30 00048D30 FWFreeConnectionSecurityRules
         57   31 00048E00 FWFreeConnectionSecurityRulesByHandle
         58   32 00048EF0 FWFreeCryptoSet
         59   33 00048F10 FWFreeCryptoSets
         60   34 00048FE0 FWFreeCryptoSetsByHandle
         61   35 00009130 FWFreeDiagAppList
         62   36 00049100 FWFreeFirewallRule
         63   37 00049120 FWFreeFirewallRules
         64   38 000491E0 FWFreeFirewallRulesByHandle
         65   39 000492D0 FWFreeFirewallRulesOld
         66   3A 000493A0 FWFreeMainModeRule
         67   3B 000493C0 FWFreeMainModeRules
         68   3C 00049490 FWFreeMainModeRulesByHandle
         69   3D 00009130 FWFreeNetworks
         70   3E 00049580 FWFreePhase1SAs
         71   3F 00049680 FWFreePhase2SAs
         72   40 00009130 FWFreeProducts
         73   41 00005A80 FWGetConfig
         74   42 00049750 FWGetConfig2
         75   43 00004750 FWGetGlobalConfig
         76   44 000134D0 FWGetGlobalConfig2
         77   45 000498A0 FWGetGlobalConfig3
