
Dump of file C:\Windows\System32\MapControlCore.dll

File Type: DLL

  Section contains the following exports for MapControlCore.dll

    00000000 characteristics
    D8AEB8AE time date stamp
        0.00 version
           1 ordinal base
         250 number of functions
         250 number of names

    ordinal hint RVA      name

          1    0 000091B0 ??0?$BackedType@V?$shared_ptr@VIManeuver@msnma@@@std@@@core@@QEAA@$$QEAV01@@Z
          2    1 000091E0 ??0?$BackedType@V?$shared_ptr@VIManeuver@msnma@@@std@@@core@@QEAA@AEBV01@@Z
          3    2 00009200 ??0?$BackedType@V?$shared_ptr@VIManeuver@msnma@@@std@@@core@@QEAA@XZ
          4    3 000091B0 ??0?$BackedType@V?$shared_ptr@VIRoute@msnma@@@std@@@core@@QEAA@$$QEAV01@@Z
          5    4 000091E0 ??0?$BackedType@V?$shared_ptr@VIRoute@msnma@@@std@@@core@@QEAA@AEBV01@@Z
          6    5 00009200 ??0?$BackedType@V?$shared_ptr@VIRoute@msnma@@@std@@@core@@QEAA@XZ
          7    6 00009220 ??0?$BackedType@VGeoCoordinates@ngeo@Microsoft@@@core@@QEAA@$$QEAV01@@Z
          8    7 00009250 ??0?$BackedType@VGeoCoordinates@ngeo@Microsoft@@@core@@QEAA@AEBV01@@Z
          9    8 00009280 ??0?$BackedType@VGeoCoordinates@ngeo@Microsoft@@@core@@QEAA@XZ
         10    9 000092B0 ??0?$BackedType@VGeoRect@ngeo@Microsoft@@@core@@QEAA@$$QEAV01@@Z
         11    A 000092E0 ??0?$BackedType@VGeoRect@ngeo@Microsoft@@@core@@QEAA@AEBV01@@Z
         12    B 00009310 ??0?$BackedType@VGeoRect@ngeo@Microsoft@@@core@@QEAA@XZ
         13    C 00016EC0 ??0?$UIThreadCore@UIRouterUI@@@@IEAA@XZ
         14    D 00002FD0 ??0DoublePoint@core@@QEAA@NN@Z
         15    E 00013DD0 ??0GeoCoordinates@core@@QEAA@AEBV01@@Z
         16    F 00002F30 ??0GeoCoordinates@core@@QEAA@NN@Z
         17   10 00013E00 ??0GeoCoordinates@core@@QEAA@XZ
         18   11 00013E30 ??0GeoRect@core@@QEAA@AEBV01@@Z
         19   12 00013E60 ??0GeoRect@core@@QEAA@NNNN@Z
         20   13 00013F30 ??0GeoRect@core@@QEAA@PEBVGeoCoordinates@1@0@Z
         21   14 00013FF0 ??0GeoRect@core@@QEAA@XZ
         22   15 00016B60 ??0OperationAdapterCore@@IEAA@XZ
         23   16 00016B80 ??0OperationAdapterCore@@QEAA@AEBV0@@Z
         24   17 00016E00 ??0QueryAdapterCore@@IEAA@XZ
         25   18 00016BB0 ??0QueryAdapterCore@@QEAA@AEBV0@@Z
         26   19 00014090 ??0Route@core@@QEAA@AEBV01@@Z
         27   1A 00017950 ??0Route@core@@QEAA@XZ
         28   1B 000140E0 ??0RouteLeg@core@@QEAA@AEBV01@@Z
         29   1C 00017980 ??0RouteLeg@core@@QEAA@XZ
         30   1D 00014190 ??0RouteManeuver@core@@QEAA@AEBV01@@Z
         31   1E 00017A10 ??0RouteManeuver@core@@QEAA@XZ
         32   1F 00016EF0 ??0RouterAdapterCore@@IEAA@XZ
         33   20 000093D0 ??1?$BackedType@V?$shared_ptr@VIManeuver@msnma@@@std@@@core@@QEAA@XZ
         34   21 000093D0 ??1?$BackedType@V?$shared_ptr@VIRoute@msnma@@@std@@@core@@QEAA@XZ
         35   22 000093F0 ??1?$BackedType@VGeoCoordinates@ngeo@Microsoft@@@core@@QEAA@XZ
