
Dump of file C:\Windows\System32\adsldpc.dll

File Type: DLL

  Section contains the following exports for adsldpc.dll

    00000000 characteristics
    F8A0071B time date stamp
        0.00 version
           1 ordinal base
         175 number of functions
         175 number of names

    ordinal hint RVA      name

          1    0 00002330 ??0CLexer@@QEAA@XZ
          2    1 00019EA0 ??1CLexer@@QEAA@XZ
         56    2 00019FD0 ?GetNextToken@CLexer@@QEAAJPEAGPEAK@Z
         60    3 00002230 ?InitializePath@CLexer@@QEAAJPEAG@Z
        139    4 00019FF0 ?SetAtDisabler@CLexer@@QEAAXH@Z
        140    5 0001A000 ?SetExclaimnationDisabler@CLexer@@QEAAXH@Z
        141    6 0001A010 ?SetFSlashDisabler@CLexer@@QEAAXH@Z
        145    7 00013BA0 ADSIAbandonSearch
        146    8 00013BB0 ADSICloseDSObject
        147    9 00013BE0 ADSICloseSearchHandle
        148    A 00013BF0 ADSICreateDSObject
        149    B 00013C30 ADSIDeleteDSObject
        150    C 00013C50 ADSIExecuteSearch
        151    D 00013CF0 ADSIFreeColumn
        152    E 00013D00 ADSIGetColumn
        153    F 00013D40 ADSIGetFirstRow
        154   10 00013D60 ADSIGetNextColumnName
        155   11 00013D80 ADSIGetNextRow
        156   12 00013DA0 ADSIGetObjectAttributes
        157   13 00013E30 ADSIGetPreviousRow
        158   14 00013E50 ADSIModifyRdn
        159   15 00013F50 ADSIOpenDSObject
          3   16 000037C0 ADSIPrint
        160   17 00014180 ADSISetObjectAttributes
        161   18 00014200 ADSISetSearchPreference
          4   19 0001C010 ADsAbandonSearch
          5   1A 0001C090 ADsCloseSearchHandle
          6   1B 0001AA80 ADsCreateAttributeDefinition
          7   1C 0001AA80 ADsCreateClassDefinition
          8   1D 000144F0 ADsCreateDSObject
          9   1E 00014520 ADsCreateDSObjectExt
        162   1F 00013680 ADsDecodeBinaryData
         10   20 0001AA80 ADsDeleteAttributeDefinition
         11   21 0001AA80 ADsDeleteClassDefinition
         12   22 00014850 ADsDeleteDSObject
        163   23 000137D0 ADsEncodeBinaryData
         13   24 0001AA90 ADsEnumAttributes
         14   25 0001AA80 ADsEnumClasses
         15   26 0001C3A0 ADsExecuteSearch
         16   27 0001CAD0 ADsFreeColumn
         17   28 0001CC80 ADsGetColumn
         18   29 0001D250 ADsGetFirstRow
        164   2A 00013900 ADsGetLastError
         19   2B 0001DB60 ADsGetNextColumnName
         20   2C 0001DDB0 ADsGetNextRow
         21   2D 00004070 ADsGetObjectAttributes
         22   2E 0001E1A0 ADsGetPreviousRow
         23   2F 0001E670 ADsHelperGetCurrentRowMessage
         24   30 00001E90 ADsObject
        165   31 00007BF0 ADsSetLastError
         25   32 00014910 ADsSetObjectAttributes
         26   33 0001E6B0 ADsSetSearchPreference
         27   34 0001AA80 ADsWriteAttributeDefinition
         28   35 0001AA80 ADsWriteClassDefinition
        166   36 00003FE0 AdsTypeFreeAdsObjects
         29   37 00018FF0 AdsTypeToLdapTypeCopyConstruct
         30   38 00019120 AdsTypeToLdapTypeCopyDNWithBinary
         31   39 000192B0 AdsTypeToLdapTypeCopyDNWithString
         32   3A 00019400 AdsTypeToLdapTypeCopyGeneralizedTime
         33   3B 000198B0 AdsTypeToLdapTypeCopyTime
        167   3C 00001470 AllocADsMem
        168   3D 00002280 AllocADsStr
         34   3E 00017720 BerBvFree
         35   3F 0001F9B0 BerEncodingQuotaControl
         36   40 0001A020 BuildADsParentPath
