
Dump of file C:\Windows\System32\advapi32.dll

File Type: DLL

  Section contains the following exports for ADVAPI32.dll

    00000000 characteristics
    120819E1 time date stamp
        0.00 version
        1000 ordinal base
         861 number of functions
         860 number of names

    ordinal hint RVA      name

       1002    0          A_SHAFinal (forwarded to NTDLL.A_SHAFinal)
       1003    1          A_SHAInit (forwarded to NTDLL.A_SHAInit)
       1004    2          A_SHAUpdate (forwarded to NTDLL.A_SHAUpdate)
       1005    3 000431D0 AbortSystemShutdownA
       1006    4 00043270 AbortSystemShutdownW
       1007    5 00004350 AccessCheck
       1008    6 00046B70 AccessCheckAndAuditAlarmA
       1009    7 0002E510 AccessCheckAndAuditAlarmW
       1010    8 0002E830 AccessCheckByType
       1011    9 00046D20 AccessCheckByTypeAndAuditAlarmA
       1012    A 0002E590 AccessCheckByTypeAndAuditAlarmW
       1013    B 0002E7B0 AccessCheckByTypeResultList
       1014    C 00046F00 AccessCheckByTypeResultListAndAuditAlarmA
       1015    D 000470E0 AccessCheckByTypeResultListAndAuditAlarmByHandleA
       1016    E 0002E640 AccessCheckByTypeResultListAndAuditAlarmByHandleW
       1017    F 0002E700 AccessCheckByTypeResultListAndAuditAlarmW
       1018   10 000171F0 AddAccessAllowedAce
       1019   11 00017920 AddAccessAllowedAceEx
       1020   12 0002E8B0 AddAccessAllowedObjectAce
       1021   13 0002E8F0 AddAccessDeniedAce
       1022   14 0002E8D0 AddAccessDeniedAceEx
       1023   15 0002E910 AddAccessDeniedObjectAce
       1024   16 0001AFC0 AddAce
       1025   17 0002E950 AddAuditAccessAce
       1026   18 0002E930 AddAuditAccessAceEx
       1027   19 0002E970 AddAuditAccessObjectAce
       1028   1A 00049980 AddConditionalAce
       1029   1B          AddMandatoryAce (forwarded to KERNELBASE.AddMandatoryAce)
       1030   1C 0002D690 AddUsersToEncryptedFile
       1031   1D 0002D710 AddUsersToEncryptedFileEx
       1032   1E 0002E990 AdjustTokenGroups
       1033   1F 000179D0 AdjustTokenPrivileges
       1034   20 000163D0 AllocateAndInitializeSid
       1035   21 0002E9B0 AllocateLocallyUniqueId
       1036   22 0002E9D0 AreAllAccessesGranted
       1037   23 0002E9F0 AreAnyAccessesGranted
       1038   24 0002EA10 AuditComputeEffectivePolicyBySid
       1039   25 00031250 AuditComputeEffectivePolicyByToken
       1040   26 0002EA30 AuditEnumerateCategories
       1041   27 0002EA50 AuditEnumeratePerUserPolicy
       1042   28 0002EA70 AuditEnumerateSubCategories
       1043   29 0001D420 AuditFree
       1044   2A 000313B0 AuditLookupCategoryGuidFromCategoryId
       1045   2B 000313F0 AuditLookupCategoryIdFromCategoryGuid
       1046   2C 00031460 AuditLookupCategoryNameA
       1047   2D 0002EA90 AuditLookupCategoryNameW
       1048   2E 00031510 AuditLookupSubCategoryNameA
       1049   2F 0002EAB0 AuditLookupSubCategoryNameW
       1050   30 000315C0 AuditQueryGlobalSaclA
       1051   31 0002EAD0 AuditQueryGlobalSaclW
       1052   32 0001D510 AuditQueryPerUserPolicy
       1053   33 0002EAF0 AuditQuerySecurity
       1054   34 0001D400 AuditQuerySystemPolicy
       1055   35 00031680 AuditSetGlobalSaclA
       1056   36 0002EB10 AuditSetGlobalSaclW
       1057   37 0002EB30 AuditSetPerUserPolicy
       1058   38 0002EB50 AuditSetSecurity
       1059   39 0002EB70 AuditSetSystemPolicy
       1060   3A 00050DC0 BackupEventLogA
       1061   3B 00050E60 BackupEventLogW
