
Dump of file C:\Windows\System32\clusapi.dll

File Type: DLL

  Section contains the following exports for CLUSAPI.dll

    00000000 characteristics
    F7024D7C time date stamp
        0.00 version
           1 ordinal base
         290 number of functions
         290 number of names

    ordinal hint RVA      name

          8    0 000364B0 AddClusterGroupDependency
          9    1 000668C0 AddClusterGroupSetDependency
         10    2 00066A00 AddClusterGroupToGroupSetDependency
         11    3 00022E20 AddClusterNode
         12    4 00050BD0 AddClusterResourceDependency
         13    5 00050990 AddClusterResourceNode
         14    6 0001D700 AddClusterStorageNode
         15    7 00068750 AddCrossClusterGroupSetDependency
         16    8 000518B0 AddResourceToClusterSharedVolumes
         17    9 00051910 AddResourceToClusterSharedVolumesEx
         18    A 0000A930 BackupClusterDatabase
          1    B 0005E180 CCHlpAddNodeUpdateCluster
          2    C 0005D780 CCHlpConfigureNode
          3    D 0005C5C0 CCHlpCreateClusterNameCOIfNotExists
          4    E 0005E310 CCHlpCreateClusterNameInAD
          5    F 0005E090 CCHlpGetClusterServiceSecret
          6   10 0005D5F0 CCHlpGetDNSHostLabel
          7   11 0005D510 CCHlpRestoreClusterVirtualObjectToInitialState
         19   12 00050CD0 CanResourceBeDependent
         20   13 00036320 CancelClusterGroupOperation
         21   14 00050880 ChangeClusterResourceGroup
         22   15 00050900 ChangeClusterResourceGroupEx
         23   16 00009C80 CloseCluster
         24   17 00035470 CloseClusterGroup
         25   18 00066490 CloseClusterGroupSet
         26   19 00039230 CloseClusterNetInterface
         27   1A 0003EA90 CloseClusterNetwork
         28   1B 000404B0 CloseClusterNode
         29   1C 00047090 CloseClusterNotifyPort
         30   1D 00050070 CloseClusterResource
         31   1E 00080810 CluFreeFaultDomainInfo
         32   1F 000807D0 CluFreeGuidArrayPtr
         33   20 000807A0 CluFreeStr
         34   21 00080BC0 CluGetDriveInfo
         35   22 00080A50 CluGetFaultDomainObject
         36   23 00080890 CluGetFaultDomainObjects
         37   24 00080D50 CluRemoveFaultDomainObject
         38   25 00068E20 ClusterAddGroupToAffinityRule
         39   26 00066760 ClusterAddGroupToGroupSet
         40   27 000667D0 ClusterAddGroupToGroupSetWithDomains
         41   28 00069160 ClusterAffinityRuleControl
         42   29 0000A790 ClusterCaptureLiveDump
         43   2A 00065A60 ClusterChangeVMSettings
         44   2B 0000AC80 ClusterCloseEnum
         45   2C 0000AE90 ClusterCloseEnumEx
         46   2D 0003AB20 ClusterControl
         47   2E 00068BF0 ClusterCreateAffinityRule
         48   2F 0005E890 ClusterCreateClusterStorageEnclosure
         49   30 00062430 ClusterCreateFaultDomain
         50   31 00062730 ClusterCreateFaultDomainFromXML
         51   32 000651F0 ClusterCreateVMReservation
         52   33 00065230 ClusterCreateVMReservationWithDomains
         53   34 0000ABC0 ClusterEnum
         54   35 0000AE30 ClusterEnumEx
         55   36 0004D310 ClusterFreeMemory
         56   37 000580F0 ClusterFreeMrrResponse
         57   38 00065290 ClusterFreeVMReservation
         58   39 0005F4C0 ClusterGetClusterStorageEnclosureObject
         59   3A 00060B30 ClusterGetClusterStorageEnclosureObjects
         60   3B 00061CE0 ClusterGetDriveInfo
         61   3C 0000AB90 ClusterGetEnumCount
         62   3D 0000AE00 ClusterGetEnumCountEx
         63   3E 00063120 ClusterGetFaultDomainObject
         64   3F 00063BC0 ClusterGetFaultDomainObjects
         65   40 00064600 ClusterGetFaultDomainState
         66   41 00062D20 ClusterGetFaultDomainXML
         67   42 000654D0 ClusterGetPlacementScore
