
Dump of file C:\Windows\System32\migwiz\cmi2migxml.dll

File Type: DLL

  Section contains the following exports for cmi2migxml.dll

    00000000 characteristics
    5D9AE492 time date stamp
        0.00 version
           1 ordinal base
         206 number of functions
         206 number of names

    ordinal hint RVA      name

          1    0 00001CB0 ??0CAppendNewAttributeRule@Mig@@QEAA@AEBV01@@Z
          2    1 00004260 ??0CAppendNewAttributeRule@Mig@@QEAA@PEAVString@UnBCL@@00PEAUITranslationRule@1@@Z
          3    2 000019F0 ??0CAppendNewChildRule@Mig@@QEAA@AEBV01@@Z
          4    3 00003D40 ??0CAppendNewChildRule@Mig@@QEAA@PEAVString@UnBCL@@W4XmlNodeType@3@PEAUITranslationRule@1@H@Z
          5    4 00002BC0 ??0CComponentPathRule@Mig@@QEAA@$$QEAV01@@Z
          6    5 00002BC0 ??0CComponentPathRule@Mig@@QEAA@AEBV01@@Z
          7    6 00002B00 ??0CComponentPathRule@Mig@@QEAA@XZ
          8    7 000026C0 ??0CCopyAttributesRule@Mig@@QEAA@$$QEAV01@@Z
          9    8 000026C0 ??0CCopyAttributesRule@Mig@@QEAA@AEBV01@@Z
         10    9 00002650 ??0CCopyAttributesRule@Mig@@QEAA@XZ
         11    A 000025D0 ??0CCopyChildrenRule@Mig@@QEAA@$$QEAV01@@Z
         12    B 000025D0 ??0CCopyChildrenRule@Mig@@QEAA@AEBV01@@Z
         13    C 00002560 ??0CCopyChildrenRule@Mig@@QEAA@XZ
         14    D 00002FE0 ??0CEnvExpandRule@Mig@@QEAA@AEBV01@@Z
         15    E 00007560 ??0CEnvExpandRule@Mig@@QEAA@PEAVString@UnBCL@@@Z
         16    F 00002740 ??0CIdStringAsInnerTextRule@Mig@@QEAA@$$QEAV01@@Z
         17   10 00002740 ??0CIdStringAsInnerTextRule@Mig@@QEAA@AEBV01@@Z
         18   11 00002740 ??0CIdStringAsInnerTextRule@Mig@@QEAA@XZ
         19   12 00001610 ??0CLinkedRule@Mig@@QEAA@AEBV01@@Z
         20   13 00001560 ??0CLinkedRule@Mig@@QEAA@PEAUITranslationRule@1@@Z
         21   14 00001FE0 ??0CNodeInnerTextCopyRule@Mig@@QEAA@$$QEAV01@@Z
         22   15 00001FE0 ??0CNodeInnerTextCopyRule@Mig@@QEAA@AEBV01@@Z
         23   16 00001F70 ??0CNodeInnerTextCopyRule@Mig@@QEAA@XZ
         24   17 00001360 ??0CSelectRule@Mig@@QEAA@AEBV01@@Z
         25   18 00003430 ??0CSelectRule@Mig@@QEAA@XZ
         26   19 000024E0 ??0CStatePatternRule@Mig@@QEAA@$$QEAV01@@Z
         27   1A 000024E0 ??0CStatePatternRule@Mig@@QEAA@AEBV01@@Z
         28   1B 00002470 ??0CStatePatternRule@Mig@@QEAA@XZ
         29   1C 00002DA0 ??0CSupportedIdRule@Mig@@QEAA@$$QEAV01@@Z
         30   1D 00002DA0 ??0CSupportedIdRule@Mig@@QEAA@AEBV01@@Z
         31   1E 00002C90 ??0CSupportedIdRule@Mig@@QEAA@XZ
         32   1F 00002330 ??0CTranslationMigAttrib@Mig@@QEAA@AEBV01@@Z
         33   20 00004C70 ??0CTranslationMigAttrib@Mig@@QEAA@PEAVString@UnBCL@@PEAVXmlNode@3@@Z
         34   21 00002190 ??0CTranslationPattern@Mig@@QEAA@AEBV01@@Z
         35   22 00004A80 ??0CTranslationPattern@Mig@@QEAA@PEAVString@UnBCL@@0@Z
