
Dump of file C:\Windows\System32\concrt140d.dll

File Type: DLL

  Section contains the following exports for CONCRT140D.dll

    00000000 characteristics
    60247833 time date stamp Thu Feb 11 01:20:03 2021
        0.00 version
           1 ordinal base
         291 number of functions
         291 number of names

    ordinal hint RVA      name

          1    0 00001110 ??0?$_SpinWait@$00@details@Concurrency@@QEAA@P6AXXZ@Z
          2    1 000209D0 ??0?$_SpinWait@$0A@@details@Concurrency@@QEAA@P6AXXZ@Z
          3    2 0005B090 ??0SchedulerPolicy@Concurrency@@QEAA@AEBV01@@Z
          4    3 0005B0F0 ??0SchedulerPolicy@Concurrency@@QEAA@XZ
          5    4 0005B120 ??0SchedulerPolicy@Concurrency@@QEAA@_KZZ
          6    5 00020D70 ??0_Cancellation_beacon@details@Concurrency@@QEAA@XZ
          7    6 0001C290 ??0_Concurrent_queue_base_v4@details@Concurrency@@IEAA@_K@Z
          8    7 0001C5B0 ??0_Concurrent_queue_iterator_base_v4@details@Concurrency@@IEAA@AEBV_Concurrent_queue_base_v4@12@@Z
          9    8 00027CB0 ??0_Condition_variable@details@Concurrency@@QEAA@XZ
         10    9 00001140 ??0_Context@details@Concurrency@@QEAA@PEAVContext@2@@Z
         11    A 00038260 ??0_NonReentrantBlockingLock@details@Concurrency@@QEAA@XZ
         12    B 000382B0 ??0_NonReentrantPPLLock@details@Concurrency@@QEAA@XZ
         13    C 000382D0 ??0_ReaderWriterLock@details@Concurrency@@QEAA@XZ
         14    D 00038300 ??0_ReentrantBlockingLock@details@Concurrency@@QEAA@XZ
         15    E 00038350 ??0_ReentrantLock@details@Concurrency@@QEAA@XZ
         16    F 00038380 ??0_ReentrantPPLLock@details@Concurrency@@QEAA@XZ
         17   10 00004CC0 ??0_Runtime_object@details@Concurrency@@QEAA@H@Z
         18   11 00004CF0 ??0_Runtime_object@details@Concurrency@@QEAA@XZ
         19   12 00001160 ??0_Scheduler@details@Concurrency@@QEAA@PEAVScheduler@2@@Z
         20   13 000383C0 ??0_Scoped_lock@_NonReentrantPPLLock@details@Concurrency@@QEAA@AEAV123@@Z
         21   14 00038440 ??0_Scoped_lock@_ReentrantPPLLock@details@Concurrency@@QEAA@AEAV123@@Z
         22   15 00072B20 ??0_SpinLock@details@Concurrency@@QEAA@AECJ@Z
         23   16 00067490 ??0_StructuredTaskCollection@details@Concurrency@@QEAA@PEAV_CancellationTokenState@12@@Z
         24   17 000677B0 ??0_TaskCollection@details@Concurrency@@QEAA@PEAV_CancellationTokenState@12@@Z
         25   18 000678F0 ??0_TaskCollection@details@Concurrency@@QEAA@XZ
         26   19 0006E2F0 ??0_Timer@details@Concurrency@@IEAA@I_N@Z
         27   1A 00004D80 ??0agent@Concurrency@@QEAA@AEAVScheduleGroup@1@@Z
         28   1B 00004E50 ??0agent@Concurrency@@QEAA@AEAVScheduler@1@@Z
         29   1C 00004F20 ??0agent@Concurrency@@QEAA@XZ
         30   1D 0002A620 ??0bad_target@Concurrency@@QEAA@PEBD@Z
         31   1E 0002A660 ??0bad_target@Concurrency@@QEAA@XZ
         32   1F 0002A690 ??0context_self_unblock@Concurrency@@QEAA@PEBD@Z
         33   20 0002A6D0 ??0context_self_unblock@Concurrency@@QEAA@XZ
         34   21 0002A700 ??0context_unblock_unbalanced@Concurrency@@QEAA@PEBD@Z
         35   22 0002A740 ??0context_unblock_unbalanced@Concurrency@@QEAA@XZ
         36   23 000384C0 ??0critical_section@Concurrency@@QEAA@XZ
         37   24 0002A770 ??0default_scheduler_exists@Concurrency@@QEAA@PEBD@Z
         38   25 0002A7B0 ??0default_scheduler_exists@Concurrency@@QEAA@XZ
         39   26 00027CE0 ??0event@Concurrency@@QEAA@XZ
         40   27 0002A7E0 ??0improper_lock@Concurrency@@QEAA@PEBD@Z
         41   28 0002A820 ??0improper_lock@Concurrency@@QEAA@XZ
         42   29 0002A850 ??0improper_scheduler_attach@Concurrency@@QEAA@PEBD@Z
         43   2A 0002A890 ??0improper_scheduler_attach@Concurrency@@QEAA@XZ
         44   2B 0002A8C0 ??0improper_scheduler_detach@Concurrency@@QEAA@PEBD@Z
         45   2C 0002A900 ??0improper_scheduler_detach@Concurrency@@QEAA@XZ
         46   2D 0002A930 ??0improper_scheduler_reference@Concurrency@@QEAA@PEBD@Z
         47   2E 0002A970 ??0improper_scheduler_reference@Concurrency@@QEAA@XZ
         48   2F 0002A9A0 ??0invalid_link_target@Concurrency@@QEAA@PEBD@Z
         49   30 0002A9E0 ??0invalid_link_target@Concurrency@@QEAA@XZ
         50   31 0002AA10 ??0invalid_multiple_scheduling@Concurrency@@QEAA@PEBD@Z
         51   32 0002AA50 ??0invalid_multiple_scheduling@Concurrency@@QEAA@XZ
         52   33 0002AA80 ??0invalid_oversubscribe_operation@Concurrency@@QEAA@PEBD@Z
         53   34 0002AAC0 ??0invalid_oversubscribe_operation@Concurrency@@QEAA@XZ
         54   35 0002AAF0 ??0invalid_scheduler_policy_key@Concurrency@@QEAA@PEBD@Z
         55   36 0002AB30 ??0invalid_scheduler_policy_key@Concurrency@@QEAA@XZ
         56   37 0002AB60 ??0invalid_scheduler_policy_thread_specification@Concurrency@@QEAA@PEBD@Z
         57   38 0002ABA0 ??0invalid_scheduler_policy_thread_specification@Concurrency@@QEAA@XZ
