
Dump of file C:\Windows\System32\dmdskmgr.dll

File Type: DLL

  Section contains the following exports for DMDskMgr.dll

    00000000 characteristics
    83EA7E34 time date stamp
        0.00 version
           1 ordinal base
         233 number of functions
         233 number of names

    ordinal hint RVA      name

          1    0 00010520 ??0CDataCache@@QEAA@XZ
          2    1 0001C740 ??1CDMNodeObj@@QEAA@XZ
          3    2 00010BC0 ??1CDataCache@@UEAA@XZ
          4    3 00011070 ?AddFileSystemInfoToCache@CDataCache@@QEAAXKPEAUfilesysteminfo@@@Z
          5    4 00011120 ?AddFileSystemInfoToListAndMap@CDataCache@@QEAAXKPEAUfilesysteminfo@@@Z
          6    5 00008100 ?AddLDMObjMapEntry@CDataCache@@QEAAXPEAU_LDM_OBJ_MAP_ENTRY@@@Z
          7    6 00011280 ?AddRegionToVolumeMemberList@CDataCache@@QEAAXPEAVCDMNodeObj@@@Z
          8    7 00016CE0 ?AddRow@CDMComponentData@@QEAAXPEAVCDMScopeNode@@_J@Z
          9    8 00011470 ?AdjustRegionCountInLegendList@CDataCache@@QEAAXW4_REGIONTYPE@@HPEAVCTaskData@@@Z
         10    9 000114D0 ?AdjustVolumeCountInLegendList@CDataCache@@QEAAXW4_VOLUMELAYOUT@@HPEAVCTaskData@@@Z
         11    A 0001C840 ?CanHaveGPT@CDMNodeObj@@QEAAHXZ
         12    B 00016D40 ?ChangeRow@CDMComponentData@@QEAAXPEAVCDMScopeNode@@_J@Z
         13    C 00008E90 ?Command@CContextMenu@@QEAAJJPEAUIDataObject@@_J@Z
         14    D 0001C8A0 ?ContainsActivePartition@CDMNodeObj@@QEAAHXZ
         15    E 0001C8E0 ?ContainsBootIniPartition@CDMNodeObj@@QEAAHXZ
         16    F 0001C940 ?ContainsBootIniPartitionForWolfpack@CDMNodeObj@@QEAAHXZ
         17   10 0001C9D0 ?ContainsBootVolumesNumberChange@CDMNodeObj@@QEAAH_JPEAH@Z
         18   11 0001CA70 ?ContainsESPPartition@CDMNodeObj@@QEAAHXZ
         19   12 0001CAE0 ?ContainsFVEPartition@CDMNodeObj@@QEAAHXZ
         20   13 0001CB20 ?ContainsLogicalDrvBootPartition@CDMNodeObj@@QEAAHXZ
         21   14 0001CB70 ?ContainsPageFile@CDMNodeObj@@QEAAHXZ
         22   15 0001CBB0 ?ContainsRealSystemPartition@CDMNodeObj@@QEAAHXZ
         23   16 0001CC30 ?ContainsSubDiskNeedResync@CDMNodeObj@@QEAAHXZ
         24   17 0001CD60 ?ContainsSystemInformation@CDMNodeObj@@QEAAHXZ
         25   18 0001CDE0 ?ContainsSystemPartition@CDMNodeObj@@QEAAHXZ
         26   19 00011530 ?CreateDiskList@CDataCache@@QEAAXXZ
         27   1A 000115E0 ?CreateNodeObjAndAddToMap@CDataCache@@QEAAPEAVCDMNodeObj@@HW4_NODEOBJ_TYPES@@PEAV1@PEAX_J@Z
         28   1B 00011810 ?CreateRegionNodeObj@CDataCache@@QEAAPEAVCDMNodeObj@@PEAV2@PEAUregioninfoex@@@Z
         29   1C 000119E0 ?CreateShortDiskName@CDataCache@@QEAAXAEAUdiskinfoex@@@Z
         30   1D 00011BE0 ?CreateVolumeList@CDataCache@@QEAAXXZ
         31   1E 00011D60 ?DeleteDiskGroupData@CDataCache@@QEAAXPEAUDISK_GROUP_DATA@@@Z
         32   1F 00011D80 ?DeleteEncapsulateData@CDataCache@@QEAAXPEAUENCAPSULATE_DATA@@@Z
