
Dump of file C:\Windows\System32\dnsapi.dll

File Type: DLL

  Section contains the following exports for DNSAPI.dll

    00000000 characteristics
    F033F114 time date stamp
        0.00 version
           1 ordinal base
         289 number of functions
         289 number of names

    ordinal hint RVA      name

          1    0 00001370 AdaptiveTimeout_ClearInterfaceSpecificConfiguration
          2    1 0002B040 AdaptiveTimeout_ResetAdaptiveTimeout
          3    2 00007330 AddRefQueryBlobEx
          4    3 00054E30 BreakRecordsIntoBlob
          5    4 0002B0C0 Coalesce_UpdateNetVersion
          6    5 00054F60 CombineRecordsInBlob
          7    6 0000A990 DeRefQueryBlobEx
          8    7 0002AD30 DelaySortDAServerlist
          9    8 0005C200 DnsAcquireContextHandle_A
         10    9 0005C240 DnsAcquireContextHandle_W
         11    A 0004EF50 DnsAllocateRecord
         12    B 0001F700 DnsApiAlloc
         13    C 000519A0 DnsApiAllocZero
         14    D 00019020 DnsApiFree
         15    E 000519B0 DnsApiHeapReset
         16    F 000519D0 DnsApiRealloc
         17   10 000667F0 DnsApiSetDebugGlobals
         18   11 0004EF60 DnsAsyncRegisterHostAddrs
         19   12 0004EF70 DnsAsyncRegisterInit
         20   13 000223E0 DnsAsyncRegisterTerm
         21   14 000551B0 DnsCancelQuery
         22   15 0005F680 DnsCheckNrptRuleIntegrity
         23   16 0005FAF0 DnsCheckNrptRules
         24   17 000220B0 DnsCleanupTcpConnections
         25   18 0002C690 DnsConnectionDeletePolicyEntries
         26   19 0002C3A0 DnsConnectionDeletePolicyEntriesPrivate
         27   1A 0006C9C0 DnsConnectionDeleteProxyInfo
         28   1B 0006C9D0 DnsConnectionFreeNameList
         29   1C 0006CA40 DnsConnectionFreeProxyInfo
         30   1D 00016A90 DnsConnectionFreeProxyInfoEx
         31   1E 0006CA50 DnsConnectionFreeProxyList
         32   1F 0006CA60 DnsConnectionGetHandleForHostUrlPrivate
         33   20 0006CB50 DnsConnectionGetNameList
         34   21 0006CB60 DnsConnectionGetProxyInfo
         35   22 00011880 DnsConnectionGetProxyInfoForHostUrl
         36   23 0006CB70 DnsConnectionGetProxyList
         37   24 0002C810 DnsConnectionSetPolicyEntries
         38   25 0002BFE0 DnsConnectionSetPolicyEntriesPrivate
         39   26 0006CB80 DnsConnectionSetProxyInfo
         40   27 00026580 DnsConnectionUpdateIfIndexTable
         41   28 0004EF80 DnsCopyStringEx
         42   29 0004EFD0 DnsCreateReverseNameStringForIpAddress
         43   2A 0004EFE0 DnsCreateStandardDnsNameCopy
         44   2B 0004EFF0 DnsCreateStringCopy
         45   2C 0006ABE0 DnsDeRegisterLocal
         46   2D 0002A3C0 DnsDhcpRegisterAddrs
         47   2E 0004B6C0 DnsDhcpRegisterHostAddrs
         48   2F 0002D6F0 DnsDhcpRegisterInit
         49   30 000223E0 DnsDhcpRegisterTerm
         50   31 0004B770 DnsDhcpRemoveRegistrations
         51   32 0004C350 DnsDhcpSrvRegisterHostAddr
         52   33 0004C3E0 DnsDhcpSrvRegisterHostAddrEx
         53   34 0004C450 DnsDhcpSrvRegisterHostName
         54   35 0004C4D0 DnsDhcpSrvRegisterHostNameEx
         55   36 0004C620 DnsDhcpSrvRegisterInit
         56   37 0004C840 DnsDhcpSrvRegisterInitEx
         57   38 0004F000 DnsDhcpSrvRegisterInitialize
         58   39 0004C860 DnsDhcpSrvRegisterTerm
         59   3A 0005FC50 DnsDisableIdnEncoding
         60   3B 0004F010 DnsDowncaseDnsNameLabel
