
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igdgmm32.dll

File Type: DLL

  Section contains the following exports for igdgmm32.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         287 number of functions
         287 number of names

    ordinal hint RVA      name

          1    0 000011E0 ??0GmmClientContext@GmmLib@@QAE@ABV01@@Z
          2    1 0010EB20 ??0GmmClientContext@GmmLib@@QAE@W4GMM_CLIENT_ENUM@@@Z
          3    2 0010EB60 ??0GmmClientContext@GmmLib@@QAE@W4GMM_CLIENT_ENUM@@PAVContext@1@@Z
          4    3 00001240 ??0GmmPageTableMgr@GmmLib@@QAE@ABV01@@Z
          5    4 00108990 ??0GmmPageTableMgr@GmmLib@@QAE@PAU_GMM_DEVICE_CALLBACKS_INT@@IPAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@PAVGmmClientContext@1@@Z
          6    5 00108490 ??0GmmPageTableMgr@GmmLib@@QAE@PAU_GMM_DEVICE_CALLBACKS_INT@@IPAVGmmClientContext@1@@Z
          7    6 00108410 ??0GmmPageTableMgr@GmmLib@@QAE@XZ
          8    7 00001340 ??0GmmResourceInfoCommon@GmmLib@@QAE@ABV01@@Z
          9    8 00001460 ??0GmmResourceInfoCommon@GmmLib@@QAE@PAVGmmClientContext@1@@Z
         10    9 00001510 ??0GmmResourceInfoCommon@GmmLib@@QAE@XZ
         11    A 000015C0 ??0GmmResourceInfoWin@GmmLib@@QAE@ABV01@@Z
         12    B 00001650 ??0GmmResourceInfoWin@GmmLib@@QAE@PAVGmmClientContext@1@@Z
         13    C 000016F0 ??0GmmResourceInfoWin@GmmLib@@QAE@XZ
         14    D 0010EBA0 ??1GmmClientContext@GmmLib@@UAE@XZ
         15    E 00109C70 ??1GmmPageTableMgr@GmmLib@@UAE@XZ
         16    F 00001730 ??1GmmResourceInfoCommon@GmmLib@@UAE@XZ
         17   10 00001760 ??1GmmResourceInfoWin@GmmLib@@UAE@XZ
         18   11 000017B0 ??4GmmClientContext@GmmLib@@QAEAAV01@ABV01@@Z
         19   12 00001800 ??4GmmPageTableMgr@GmmLib@@QAEAAV01@ABV01@@Z
         20   13 000018F0 ??4GmmResourceInfoCommon@GmmLib@@QAEAAV01@ABV01@@Z
         21   14 000019B0 ??4GmmResourceInfoWin@GmmLib@@QAEAAV01@ABV01@@Z
         22   15 0011FA54 ??_7GmmClientContext@GmmLib@@6B@
         23   16 00120014 ??_7GmmPageTableMgr@GmmLib@@6B@
         24   17 0011FB84 ??_7GmmResourceInfoCommon@GmmLib@@6B@
         25   18 0011FDA0 ??_7GmmResourceInfoWin@GmmLib@@6B@
         26   19 000EB640 ?Alias32bit@GmmResourceInfoWin@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0IIPAITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
         27   1A 00111470 ?AllocateHeapVA@GmmClientContext@GmmLib@@UAG_KPAUGMM_HEAP_REC@@_K@Z
         28   1B 000EB310 ?ApplyExistingSysMem@GmmResourceInfoWin@GmmLib@@UAGEPAX_K@Z
         29   1C 000EABC0 ?ApplyExistingSysMemRestrictions@GmmResourceInfoCommon@GmmLib@@AAE?AW4GMM_STATUS_ENUM@@XZ
         30   1D 00111AF0 ?AuxTilePoolSize@GmmClientContext@GmmLib@@UAG_KPAVGmmResourceInfoWin@2@I@Z
