
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igvk32.dll

File Type: DLL

  Section contains the following exports for igvk32.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         271 number of functions
         271 number of names

    ordinal hint RVA      name

          2    0 0037FC50 DumpRegistryKeyDefinitions
          1    1 0037FC60 DumpRegistryKeyDefinitions2
          3    2 0037FC60 SetDriverStoreDir
          4    3 0037D210 vkAcquireFullScreenExclusiveModeEXT
          5    4 0037D240 vkAcquireNextImage2KHR
          6    5 0037D270 vkAcquireNextImageKHR
          7    6 0037D2C0 vkAcquirePerformanceConfigurationINTEL
          8    7 0037D2F0 vkAcquireProfilingLockKHR
          9    8 0037D320 vkAllocateCommandBuffers
         10    9 0037D350 vkAllocateDescriptorSets
         11    A 0037D380 vkAllocateMemory
         12    B 0037D3B0 vkBeginCommandBuffer
         15    C 0037D3E0 vkBindBufferMemory
         13    D 0037D420 vkBindBufferMemory2
         14    E 0037D450 vkBindBufferMemory2KHR
         18    F 0037D480 vkBindImageMemory
         16   10 0037D4C0 vkBindImageMemory2
         17   11 0037D4F0 vkBindImageMemory2KHR
         19   12 0037D520 vkCmdBeginConditionalRenderingEXT
         20   13 0037D550 vkCmdBeginQuery
         23   14 0037D580 vkCmdBeginRenderPass
         21   15 0037D5B0 vkCmdBeginRenderPass2
         22   16 0037D5E0 vkCmdBeginRenderPass2KHR
         24   17 0037D610 vkCmdBindDescriptorSets
         25   18 0037D650 vkCmdBindIndexBuffer
         26   19 0037D690 vkCmdBindPipeline
         27   1A 0037D6C0 vkCmdBindVertexBuffers
         28   1B 0037D6F0 vkCmdBlitImage
         29   1C 0037D740 vkCmdClearAttachments
         30   1D 0037D770 vkCmdClearColorImage
         31   1E 0037D7B0 vkCmdClearDepthStencilImage
         32   1F 0037D7F0 vkCmdCopyBuffer
         33   20 0037D830 vkCmdCopyBufferToImage
         34   21 0037D870 vkCmdCopyImage
         35   22 0037D8B0 vkCmdCopyImageToBuffer
         36   23 0037D8F0 vkCmdCopyQueryPoolResults
         37   24 0037D940 vkCmdDispatch
         38   25 0037D970 vkCmdDispatchBase
         39   26 0037D9B0 vkCmdDispatchBaseKHR
         40   27 0037D9F0 vkCmdDispatchIndirect
         41   28 0037DA30 vkCmdDraw
         42   29 0037DA60 vkCmdDrawIndexed
         43   2A 0037DA90 vkCmdDrawIndexedIndirect
         44   2B 0037DAD0 vkCmdDrawIndexedIndirectCount
         45   2C 0037DB20 vkCmdDrawIndexedIndirectCountKHR
         46   2D 0037DB70 vkCmdDrawIndirect
         47   2E 0037DBB0 vkCmdDrawIndirectCount
         48   2F 0037DC00 vkCmdDrawIndirectCountKHR
         49   30 0037DC50 vkCmdEndConditionalRenderingEXT
         50   31 0037DC70 vkCmdEndQuery
         53   32 0037DCA0 vkCmdEndRenderPass
         51   33 0037DCC0 vkCmdEndRenderPass2
         52   34 0037DCF0 vkCmdEndRenderPass2KHR
         54   35 0037DD20 vkCmdExecuteCommands
         55   36 0037DD50 vkCmdFillBuffer
         58   37 0037DD90 vkCmdNextSubpass
         56   38 0037DDC0 vkCmdNextSubpass2
         57   39 0037DDF0 vkCmdNextSubpass2KHR
         59   3A 0037DE20 vkCmdPipelineBarrier
         60   3B 0037DE60 vkCmdPushConstants
         61   3C 0037DEA0 vkCmdPushDescriptorSetKHR
