
Dump of file C:\Windows\System32\imm32.dll

File Type: DLL

  Section contains the following exports for IMM32.dll

    00000000 characteristics
    3A0E9944 time date stamp
        0.00 version
           1 ordinal base
         137 number of functions
         137 number of names

    ordinal hint RVA      name

          1    0 0001E6F0 CtfImmAppCompatEnableIMEonProtectedCode
          2    1 00005400 CtfImmCoUninitialize
          3    2 000049E0 CtfImmDispatchDefImeMessage
          4    3 0001E710 CtfImmEnterCoInitCountSkipMode
          5    4 00011560 CtfImmGenerateMessage
          6    5 0001E740 CtfImmGetCompatibleKeyboardLayout
          7    6 0001E760 CtfImmGetGlobalIMEStatus
          8    7 0001E780 CtfImmGetGuidAtom
          9    8 0001E840 CtfImmGetIMEFileName
         10    9 00003BB0 CtfImmGetTMAEFlags
         11    A 0001E8F0 CtfImmHideToolbarWnd
         12    B 0001E980 CtfImmIsCiceroEnabled
         13    C 00005620 CtfImmIsCiceroStartedInThread
         14    D 0001E9A0 CtfImmIsComStartedInThread
         15    E 0001E9C0 CtfImmIsGuidMapEnable
         16    F 000181C0 CtfImmIsTextFrameServiceDisabled
         17   10 00001CC0 CtfImmLastEnabledWndDestroy
         18   11 0001EA50 CtfImmLeaveCoInitCountSkipMode
         19   12 00005590 CtfImmNotify
         20   13 0001EA80 CtfImmRestoreToolbarWnd
         21   14 00005940 CtfImmSetAppCompatFlags
         22   15 00005850 CtfImmSetCiceroStartInThread
         23   16 00005990 CtfImmSetDefaultRemoteKeyboardLayout
         24   17 000039D0 CtfImmTIMActivate
         25   18 00011730 GetKeyboardLayoutCP
         26   19 0000E780 ImmActivateLayout
         27   1A 00009BE0 ImmAssociateContext
         28   1B 00001310 ImmAssociateContextEx
         29   1C 0001D490 ImmCallImeConsoleIME
         30   1D 0000E970 ImmConfigureIMEA
         31   1E 0000EC10 ImmConfigureIMEW
         32   1F 00009DA0 ImmCreateContext
         33   20 00005880 ImmCreateIMCC
         34   21 00017270 ImmCreateSoftKeyboard
         35   22 00009E40 ImmDestroyContext
         36   23 00005920 ImmDestroyIMCC
         37   24 000174E0 ImmDestroySoftKeyboard
         38   25 00005960 ImmDisableIME
         39   26 00005960 ImmDisableIme
         40   27 000058B0 ImmDisableLegacyIME
         41   28 000181C0 ImmDisableTextFrameService
         42   29 000019A0 ImmEnumInputContext
         43   2A 000120B0 ImmEnumRegisterWordA
         44   2B 000122D0 ImmEnumRegisterWordW
         45   2C 0000EEC0 ImmEscapeA
         46   2D 0000F1C0 ImmEscapeW
         47   2E 0000F450 ImmFreeLayout
         48   2F 000117C0 ImmGenerateMessage
         49   30 000055B0 ImmGetAppCompatFlags
         50   31 0000A980 ImmGetCandidateListA
         51   32 0000A9A0 ImmGetCandidateListCountA
         52   33 0000A9C0 ImmGetCandidateListCountW
         53   34 0000AB50 ImmGetCandidateListW
         54   35 000028C0 ImmGetCandidateWindow
         55   36 0000ACE0 ImmGetCompositionFontA
         56   37 00002B30 ImmGetCompositionFontW
         57   38 0000ADD0 ImmGetCompositionStringA
         58   39 0000AEC0 ImmGetCompositionStringW
         59   3A 00001D80 ImmGetCompositionWindow
         60   3B 00002E80 ImmGetContext
         61   3C 0000AFB0 ImmGetConversionListA
         62   3D 0000B1C0 ImmGetConversionListW
         63   3E 000029A0 ImmGetConversionStatus
         64   3F 00005540 ImmGetDefaultIMEWnd
         65   40 00010740 ImmGetDescriptionA
         66   41 00010830 ImmGetDescriptionW
         67   42 0000B3D0 ImmGetGuideLineA
