
Dump of file C:\Windows\System32\libomp140.x86_64.dll

File Type: DLL

  Section contains the following exports for libomp140.x86_64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
         100 ordinal base
        2408 number of functions
         690 number of names

    ordinal hint RVA      name

       1747    0 0000452F KMP_ALIGNED_MALLOC
       1725    1 00003701 KMP_CALLOC
       1853    2 00003904 KMP_CREATE_AFFINITY_MASK
       1854    3 00001AE6 KMP_DESTROY_AFFINITY_MASK
       1726    4 000023A6 KMP_FREE
       1851    5 00004034 KMP_GET_AFFINITY
       1859    6 000049BC KMP_GET_AFFINITY_MASK_PROC
       1852    7 0000345E KMP_GET_AFFINITY_MAX_PROC
       1727    8 00005042 KMP_GET_BLOCKTIME
       1868    9 00003E22 KMP_GET_CANCELLATION_STATUS
       1728    A 00004B42 KMP_GET_LIBRARY
       1743    B 000015C3 KMP_GET_NUM_KNOWN_THREADS
       1729    C 0000496C KMP_GET_STACKSIZE
       1745    D 0000534E KMP_GET_STACKSIZE_S
       1730    E 00004179 KMP_MALLOC
       1732    F 0000449E KMP_REALLOC
       1850   10 000051FA KMP_SET_AFFINITY
       1855   11 00005A42 KMP_SET_AFFINITY_MASK_PROC
       1734   12 000035FD KMP_SET_BLOCKTIME
       1746   13 000053DA KMP_SET_DEFAULTS
       1890   14 00002BF3 KMP_SET_DISP_NUM_BUFFERS
       1735   15 00004886 KMP_SET_LIBRARY
       1737   16 00001794 KMP_SET_LIBRARY_SERIAL
       1738   17 000044D5 KMP_SET_LIBRARY_THROUGHPUT
       1739   18 00004BCE KMP_SET_LIBRARY_TURNAROUND
       1741   19 00003981 KMP_SET_STACKSIZE
       1744   1A 00003AF3 KMP_SET_STACKSIZE_S
       1780   1B 00002A59 KMP_SET_WARNINGS_OFF
       1779   1C 000015AA KMP_SET_WARNINGS_ON
       1857   1D 00001681 KMP_UNSET_AFFINITY_MASK_PROC
       1751   1E 00004FCA OMP_CAPTURE_AFFINITY
       1891   1F 00001B9A OMP_CONTROL_TOOL
       1898   20 00003D8C OMP_DESTROY_ALLOCATOR
       1700   21 000058B7 OMP_DESTROY_LOCK
       1701   22 000024CD OMP_DESTROY_NEST_LOCK
       1750   23 00001712 OMP_DISPLAY_AFFINITY
       1759   24 00001E0B OMP_FULFILL_EVENT
       1789   25 00003EFE OMP_GET_ACTIVE_LEVEL
       1749   26 00002A04 OMP_GET_AFFINITY_FORMAT
       1791   27 00003CD3 OMP_GET_ANCESTOR_THREAD_NUM
       1867   28 000030E4 OMP_GET_CANCELLATION
       1893   29 00002360 OMP_GET_DEFAULT_ALLOCATOR
       1880   2A 0000427D OMP_GET_DEFAULT_DEVICE
       1896   2B 000049B2 OMP_GET_DEVICE_NUM
       1702   2C 000012A8 OMP_GET_DYNAMIC
       1882   2D 00005B9B OMP_GET_INITIAL_DEVICE
       1790   2E 00004C78 OMP_GET_LEVEL
       1794   2F 000053BC OMP_GET_MAX_ACTIVE_LEVELS
       1872   30 00001938 OMP_GET_MAX_TASK_PRIORITY
       1703   31 00004A3E OMP_GET_MAX_THREADS
       1704   32 00002D1F OMP_GET_NESTED
       1881   33 000041D3 OMP_GET_NUM_DEVICES
       1873   34 00002635 OMP_GET_NUM_PLACES
       1705   35 0000185C OMP_GET_NUM_PROCS
       1865   36 00004F9D OMP_GET_NUM_TEAMS
       1706   37 00004E8A OMP_GET_NUM_THREADS
       1877   38 000046BF OMP_GET_PARTITION_NUM_PLACES
