
Dump of file C:\Windows\System32\mfplat.dll

File Type: DLL

  Section contains the following exports for MFPlat.DLL

    00000000 characteristics
    FD3FB2F7 time date stamp
        0.00 version
           1 ordinal base
         230 number of functions
         230 number of names

    ordinal hint RVA      name

         10    0 00024E00 CopyPropVariant
         11    1 00015140 CreatePropVariant
         12    2 0002F690 CreatePropertyStore
         13    3 00019A30 DestroyPropVariant
          1    4 0003A540 FormatTagFromWfx
         14    5 00038670 GetAMSubtypeFromD3DFormat
         15    6 00038200 GetD3DFormatFromMFSubtype
         16    7          MFAddPeriodicCallback (forwarded to RTWorkQ.RtwqAddPeriodicCallback)
         17    8          MFAllocateSerialWorkQueue (forwarded to RTWorkQ.RtwqAllocateSerialWorkQueue)
         18    9 00022960 MFAllocateWorkQueue
         19    A          MFAllocateWorkQueueEx (forwarded to RTWorkQ.RtwqAllocateWorkQueue)
         20    B 000AA9B0 MFAppendCollection
         21    C 0003AD30 MFAverageTimePerFrameToFrameRate
         22    D 00005220 MFBeginCreateFile
         23    E 0006F5B0 MFBeginGetHostByName
         24    F 0006BF90 MFBeginRegisterWorkQueueWithMMCSS
         25   10          MFBeginRegisterWorkQueueWithMMCSSEx (forwarded to RTWorkQ.RtwqBeginRegisterWorkQueueWithMMCSS)
         26   11          MFBeginUnregisterWorkQueueWithMMCSS (forwarded to RTWorkQ.RtwqBeginUnregisterWorkQueueWithMMCSS)
         27   12 000A1AA0 MFCalculateBitmapImageSize
         28   13 00022180 MFCalculateImageSize
         29   14 0006BFC0 MFCallStackTracingClearSnapshot
         30   15 0006BFE0 MFCallStackTracingLogSessionErrors
         31   16 0006C020 MFCallStackTracingRestoreSnapshot
         32   17 0006C040 MFCallStackTracingTakeSnapshot
         33   18 0006EB00 MFCancelCreateFile
         34   19          MFCancelWorkItem (forwarded to RTWorkQ.RtwqCancelWorkItem)
         35   1A 000D18C0 MFCheckEnabledViaAppService
         36   1B 000A0A10 MFClearLocalMFTs
         37   1C 00005B50 MFCombineSamples
         38   1D 0001AAF0 MFCompareFullToPartialMediaType
         39   1E 0006F870 MFCompareSockaddrAddresses
         40   1F 000A3780 MFConvertColorInfoFromDXVA
         41   20 000A3790 MFConvertColorInfoToDXVA
         42   21 000A37A0 MFConvertFromFP16Array
         43   22 000A37F0 MFConvertToFP16Array
         44   23 00003010 MFCopyImage
         45   24 000AA9C0 MFCreate2DMediaBuffer
         46   25 000AA9D0 MFCreate2DMediaBufferOn1DMediaBuffer
         47   26 00036160 MFCreateAMMediaTypeFromMFMediaType
         48   27 00004700 MFCreateAlignedMemoryBuffer
         49   28 000AA9E0 MFCreateAlignedSharedMemoryBuffer
         50   29          MFCreateAsyncResult (forwarded to RTWorkQ.RtwqCreateAsyncResult)
         51   2A 000337B0 MFCreateAttributes
         52   2B 0009E5A0 MFCreateAudioMediaType
         53   2C 000D3F00 MFCreateByteStreamHandlerAppServiceActivate
         54   2D 00018D90 MFCreateCollection
         55   2E 00126650 MFCreateContentDecryptorContext
         56   2F 00126F40 MFCreateContentProtectionDevice
         57   30 00080DA0 MFCreateD3D12SynchronizationObject
         58   31 0001A240 MFCreateDXGIDeviceManager
         59   32 000039F0 MFCreateDXGISurfaceBuffer
         60   33 00003DE0 MFCreateDXSurfaceBuffer
         61   34 000B7380 MFCreateEMEStoreObject
         62   35 00035FF0 MFCreateEventQueue
         63   36 0006EB70 MFCreateFile
         64   37 00013F00 MFCreateFileFromHandle
