
Dump of file C:\Windows\System32\mscms.dll

File Type: DLL

  Section contains the following exports for mscms.dll

    00000000 characteristics
    61C7F732 time date stamp
        0.00 version
           1 ordinal base
         235 number of functions
         131 number of names

    ordinal hint RVA      name

          1    0 00018BC0 AssociateColorProfileWithDeviceA
          2    1 00018CC0 AssociateColorProfileWithDeviceW
          3    2 00016A30 CheckBitmapBits
          4    3 00016C10 CheckColors
          5    4 00012A90 CloseColorProfile
          6    5 00003A20 CloseDisplay
        217    6 00037A20 ColorAdapterGetCurrentProfileCalibration
        211    7 00037A20 ColorAdapterGetDisplayCurrentStateID
        216    8 00037A20 ColorAdapterGetDisplayProfile
        215    9 00037A20 ColorAdapterGetDisplayTargetWhitePoint
        214    A 00037A20 ColorAdapterGetDisplayTransformData
        210    B 00037A20 ColorAdapterGetSystemModifyWhitePointCaps
        218    C 00037A20 ColorAdapterRegisterOEMColorService
        219    D 00037A20 ColorAdapterUnregisterOEMColorService
        213    E 00037A20 ColorAdapterUpdateDeviceProfile
        212    F 00037A20 ColorAdapterUpdateDisplayGamma
          7   10 0002CBF0 ColorCplGetDefaultProfileScope
          8   11 0002CD20 ColorCplGetDefaultRenderingIntentScope
          9   12 0002CD90 ColorCplGetProfileProperties
         10   13 0002CDC0 ColorCplHasSystemWideAssociationListChanged
         11   14 0002CE80 ColorCplInitialize
         12   15 0002CEF0 ColorCplLoadAssociationList
         13   16 0002D420 ColorCplMergeAssociationLists
         14   17 0002D4E0 ColorCplOverwritePerUserAssociationList
         15   18 0002D610 ColorCplReleaseProfileProperties
         16   19 0002D640 ColorCplResetSystemWideAssociationListChangedWarning
         17   1A 0002D6E0 ColorCplSaveAssociationList
         18   1B 0002D950 ColorCplSetUsePerUserProfiles
         19   1C 0002DAD0 ColorCplUninitialize
        230   1D 00037DE0 ColorProfileAddDisplayAssociation
        234   1E 00002010 ColorProfileGetDisplayDefault
        233   1F 00037EA0 ColorProfileGetDisplayList
        235   20 000380D0 ColorProfileGetDisplayUserScope
        231   21 000381A0 ColorProfileRemoveDisplayAssociation
        232   22 00038260 ColorProfileSetDisplayDefaultAssociation
         20   23 00012BD0 ConvertColorNameToIndex
         21   24 00012D30 ConvertIndexToColorName
         22   25 00016D10 CreateColorTransformA
         23   26 00016E50 CreateColorTransformW
         24   27 00012E90 CreateDeviceLinkProfile
         25   28 00016E60 CreateMultiProfileTransform
         26   29 00013050 CreateProfileFromLogColorSpaceA
         27   2A 00013150 CreateProfileFromLogColorSpaceW
         28   2B 00035E50 DccwCreateDisplayProfileAssociationList
         29   2C 00035EA0 DccwGetDisplayProfileAssociationList
         30   2D 00038C80 DccwGetGamutSize
         31   2E 00035EB0 DccwReleaseDisplayProfileAssociationList
         32   2F 00035EE0 DccwSetDisplayProfileAssociationList
         33   30 00017200 DeleteColorTransform
         34   31 0001A2A0 DeviceRenameEvent
         35   32 0001A4A0 DisassociateColorProfileFromDeviceA
         36   33 0001A5A0 DisassociateColorProfileFromDeviceW
         37   34 00035CA0 DllCanUnloadNow
         38   35 0000B200 DllGetClassObject
         39   36 0001A860 EnumColorProfilesA
         40   37 0001AAB0 EnumColorProfilesW
         41   38 00001560 GenerateCopyFilePaths
         42   39 00017410 GetCMMInfo
         43   3A 0001AC40 GetColorDirectoryA
         44   3B 00001B50 GetColorDirectoryW
         45   3C 00013550 GetColorProfileElement
         46   3D 00013700 GetColorProfileElementTag
         47   3E 000137C0 GetColorProfileFromHandle
