
Dump of file C:\Windows\System32\nvcuda.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

          1    0 00205B7E cuArray3DCreate
          2    1 00205B84 cuArray3DCreate_v2
          3    2 00205B8A cuArray3DGetDescriptor
          4    3 00205B90 cuArray3DGetDescriptor_v2
          5    4 00205B66 cuArrayCreate
          6    5 00205B6C cuArrayCreate_v2
          7    6 00205BA2 cuArrayDestroy
          8    7 00205B72 cuArrayGetDescriptor
          9    8 00205B78 cuArrayGetDescriptor_v2
         10    9 00205B9C cuArrayGetPlane
         11    A 00205B96 cuArrayGetSparseProperties
         12    B 00205B18 cuCtxAttach
         13    C 00205B0C cuCtxCreate
         14    D 00205B12 cuCtxCreate_v2
         15    E 00205B1E cuCtxDestroy
         16    F 00205B24 cuCtxDestroy_v2
         17   10 00205B2A cuCtxDetach
         18   11 002063BE cuCtxDisablePeerAccess
         19   12 002063B8 cuCtxEnablePeerAccess
         20   13 00206394 cuCtxGetApiVersion
         21   14 00206376 cuCtxGetCacheConfig
         22   15 00205B5A cuCtxGetCurrent
         23   16 00205B4E cuCtxGetDevice
         24   17 00205B60 cuCtxGetFlags
         25   18 00206370 cuCtxGetLimit
         26   19 00206388 cuCtxGetSharedMemConfig
         27   1A 0020638E cuCtxGetStreamPriorityRange
         28   1B 00205B42 cuCtxPopCurrent
         29   1C 00205B48 cuCtxPopCurrent_v2
         30   1D 00205B36 cuCtxPushCurrent
         31   1E 00205B3C cuCtxPushCurrent_v2
         32   1F 0020666A cuCtxResetPersistingL2Cache
         33   20 0020637C cuCtxSetCacheConfig
         34   21 00205B54 cuCtxSetCurrent
         35   22 0020636A cuCtxSetLimit
         36   23 00206382 cuCtxSetSharedMemConfig
         37   24 00205B30 cuCtxSynchronize
         38   25 00205FB0 cuD3D10CtxCreate
         39   26 00205FBC cuD3D10CtxCreateOnDevice
         40   27 00205FB6 cuD3D10CtxCreate_v2
         41   28 00205FA4 cuD3D10GetDevice
         42   29 00205FAA cuD3D10GetDevices
         43   2A 00205FC2 cuD3D10GetDirect3DDevice
         44   2B 00205FDA cuD3D10MapResources
         45   2C 00205FCE cuD3D10RegisterResource
         46   2D 00205FF8 cuD3D10ResourceGetMappedArray
         47   2E 0020600A cuD3D10ResourceGetMappedPitch
         48   2F 00206010 cuD3D10ResourceGetMappedPitch_v2
         49   30 00205FEC cuD3D10ResourceGetMappedPointer
         50   31 00205FF2 cuD3D10ResourceGetMappedPointer_v2
         51   32 00205FFE cuD3D10ResourceGetMappedSize
         52   33 00206004 cuD3D10ResourceGetMappedSize_v2
         53   34 00206016 cuD3D10ResourceGetSurfaceDimensions
         54   35 0020601C cuD3D10ResourceGetSurfaceDimensions_v2
         55   36 00205FE6 cuD3D10ResourceSetMapFlags
         56   37 00205FE0 cuD3D10UnmapResources
         57   38 00205FD4 cuD3D10UnregisterResource
         58   39 0020602E cuD3D11CtxCreate
         59   3A 0020603A cuD3D11CtxCreateOnDevice
         60   3B 00206034 cuD3D11CtxCreate_v2
         61   3C 00206022 cuD3D11GetDevice
         62   3D 00206028 cuD3D11GetDevices
         63   3E 00206040 cuD3D11GetDirect3DDevice
         64   3F 00205F7A cuD3D9Begin
         65   40 00205F08 cuD3D9CtxCreate
         66   41 00205F14 cuD3D9CtxCreateOnDevice
