
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda_loader32.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

          1    0 002D5D5E cuArray3DCreate
          2    1 002D5D64 cuArray3DCreate_v2
          3    2 002D5D6A cuArray3DGetDescriptor
          4    3 002D5D70 cuArray3DGetDescriptor_v2
          5    4 002D5D46 cuArrayCreate
          6    5 002D5D4C cuArrayCreate_v2
          7    6 002D5D82 cuArrayDestroy
          8    7 002D5D52 cuArrayGetDescriptor
          9    8 002D5D58 cuArrayGetDescriptor_v2
         10    9 002D5D7C cuArrayGetPlane
         11    A 002D5D76 cuArrayGetSparseProperties
         12    B 002D5CF8 cuCtxAttach
         13    C 002D5CEC cuCtxCreate
         14    D 002D5CF2 cuCtxCreate_v2
         15    E 002D5CFE cuCtxDestroy
         16    F 002D5D04 cuCtxDestroy_v2
         17   10 002D5D0A cuCtxDetach
         18   11 002D659E cuCtxDisablePeerAccess
         19   12 002D6598 cuCtxEnablePeerAccess
         20   13 002D6574 cuCtxGetApiVersion
         21   14 002D6556 cuCtxGetCacheConfig
         22   15 002D5D3A cuCtxGetCurrent
         23   16 002D5D2E cuCtxGetDevice
         24   17 002D5D40 cuCtxGetFlags
         25   18 002D6550 cuCtxGetLimit
         26   19 002D6568 cuCtxGetSharedMemConfig
         27   1A 002D656E cuCtxGetStreamPriorityRange
         28   1B 002D5D22 cuCtxPopCurrent
         29   1C 002D5D28 cuCtxPopCurrent_v2
         30   1D 002D5D16 cuCtxPushCurrent
         31   1E 002D5D1C cuCtxPushCurrent_v2
         32   1F 002D684A cuCtxResetPersistingL2Cache
         33   20 002D655C cuCtxSetCacheConfig
         34   21 002D5D34 cuCtxSetCurrent
         35   22 002D654A cuCtxSetLimit
         36   23 002D6562 cuCtxSetSharedMemConfig
         37   24 002D5D10 cuCtxSynchronize
         38   25 002D6190 cuD3D10CtxCreate
         39   26 002D619C cuD3D10CtxCreateOnDevice
         40   27 002D6196 cuD3D10CtxCreate_v2
         41   28 002D6184 cuD3D10GetDevice
         42   29 002D618A cuD3D10GetDevices
         43   2A 002D61A2 cuD3D10GetDirect3DDevice
         44   2B 002D61BA cuD3D10MapResources
         45   2C 002D61AE cuD3D10RegisterResource
         46   2D 002D61D8 cuD3D10ResourceGetMappedArray
         47   2E 002D61EA cuD3D10ResourceGetMappedPitch
         48   2F 002D61F0 cuD3D10ResourceGetMappedPitch_v2
         49   30 002D61CC cuD3D10ResourceGetMappedPointer
         50   31 002D61D2 cuD3D10ResourceGetMappedPointer_v2
         51   32 002D61DE cuD3D10ResourceGetMappedSize
         52   33 002D61E4 cuD3D10ResourceGetMappedSize_v2
         53   34 002D61F6 cuD3D10ResourceGetSurfaceDimensions
         54   35 002D61FC cuD3D10ResourceGetSurfaceDimensions_v2
         55   36 002D61C6 cuD3D10ResourceSetMapFlags
         56   37 002D61C0 cuD3D10UnmapResources
         57   38 002D61B4 cuD3D10UnregisterResource
         58   39 002D620E cuD3D11CtxCreate
         59   3A 002D621A cuD3D11CtxCreateOnDevice
         60   3B 002D6214 cuD3D11CtxCreate_v2
         61   3C 002D6202 cuD3D11GetDevice
         62   3D 002D6208 cuD3D11GetDevices
         63   3E 002D6220 cuD3D11GetDirect3DDevice
