
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvml.dll

File Type: DLL

  Section contains the following exports for nvml.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         244 number of functions
         244 number of names

    ordinal hint RVA      name

          1    0 000174D0 nvmlComputeInstanceDestroy
          2    1 00017650 nvmlComputeInstanceGetInfo
          3    2 000177F0 nvmlComputeInstanceGetInfo_v2
          4    3 00017990 nvmlDeviceClearAccountingPids
          5    4 00017BF0 nvmlDeviceClearCpuAffinity
          6    5 00017D90 nvmlDeviceClearEccErrorCounts
          7    6 00018000 nvmlDeviceCreateGpuInstance
          8    7 000181C0 nvmlDeviceDiscoverGpus
          9    8 00018360 nvmlDeviceFreezeNvLinkUtilizationCounter
         10    9 00018530 nvmlDeviceGetAPIRestriction
         11    A 00018730 nvmlDeviceGetAccountingBufferSize
         12    B 00018980 nvmlDeviceGetAccountingMode
         13    C 00018BD0 nvmlDeviceGetAccountingPids
         14    D 00018E60 nvmlDeviceGetAccountingStats
         15    E 000190F0 nvmlDeviceGetActiveVgpus
         16    F 00019410 nvmlDeviceGetApplicationsClock
         17   10 000195E0 nvmlDeviceGetArchitecture
         18   11 00019880 nvmlDeviceGetAttributes
         19   12 00019A20 nvmlDeviceGetAttributes_v2
         20   13 00019BC0 nvmlDeviceGetAutoBoostedClocksEnabled
         21   14 0001A050 nvmlDeviceGetBAR1MemoryInfo
         22   15 0001A2B0 nvmlDeviceGetBoardId
         23   16 0000A770 nvmlDeviceGetBoardPartNumber
         24   17 0001A500 nvmlDeviceGetBrand
         25   18 0001A6B0 nvmlDeviceGetBridgeChipInfo
         26   19 0001A9A0 nvmlDeviceGetClock
         27   1A 0001AC00 nvmlDeviceGetClockInfo
         28   1B 0001AE60 nvmlDeviceGetComputeInstanceId
         29   1C 0001B010 nvmlDeviceGetComputeMode
         30   1D 0001B1C0 nvmlDeviceGetComputeRunningProcesses
         31   1E 0001B430 nvmlDeviceGetComputeRunningProcesses_v2
         32   1F 0001B6A0 nvmlDeviceGetCount
         33   20 0001B860 nvmlDeviceGetCount_v2
         34   21 0001B9E0 nvmlDeviceGetCpuAffinity
         35   22 0001BBA0 nvmlDeviceGetCpuAffinityWithinScope
         36   23 0001BD70 nvmlDeviceGetCreatableVgpus
         37   24 0001C0B0 nvmlDeviceGetCudaComputeCapability
         38   25 0001C2F0 nvmlDeviceGetCurrPcieLinkGeneration
         39   26 0001C5E0 nvmlDeviceGetCurrPcieLinkWidth
         40   27 0000BBF0 nvmlDeviceGetCurrentClocksThrottleReasons
         41   28 0001C8D0 nvmlDeviceGetDecoderUtilization
         42   29 0001CB50 nvmlDeviceGetDefaultApplicationsClock
         43   2A 0001CD20 nvmlDeviceGetDetailedEccErrors
         44   2B 0001D390 nvmlDeviceGetDeviceHandleFromMigDeviceHandle
         45   2C 0000AC90 nvmlDeviceGetDisplayActive
         46   2D 0001D540 nvmlDeviceGetDisplayMode
         47   2E 0001D790 nvmlDeviceGetDriverModel
         48   2F 0001D950 nvmlDeviceGetEccMode
         49   30 0001DAF0 nvmlDeviceGetEncoderCapacity
         50   31 0001DD70 nvmlDeviceGetEncoderSessions
         51   32 0001E010 nvmlDeviceGetEncoderStats
         52   33 0001E2B0 nvmlDeviceGetEncoderUtilization
         53   34 0000CC50 nvmlDeviceGetEnforcedPowerLimit
