
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvml_loader.dll

File Type: DLL

  Section contains the following exports for nvml_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         244 number of functions
         244 number of names

    ordinal hint RVA      name

          1    0 0006C1BC nvmlComputeInstanceDestroy
          2    1 0006C1CE nvmlComputeInstanceGetInfo
          3    2 0006C1D4 nvmlComputeInstanceGetInfo_v2
          4    3 0006BC70 nvmlDeviceClearAccountingPids
          5    4 0006BE1A nvmlDeviceClearCpuAffinity
          6    5 0006BC76 nvmlDeviceClearEccErrorCounts
          7    6 0006C18C nvmlDeviceCreateGpuInstance
          8    7 0006C096 nvmlDeviceDiscoverGpus
          9    8 0006BFDC nvmlDeviceFreezeNvLinkUtilizationCounter
         10    9 0006BEC2 nvmlDeviceGetAPIRestriction
         11    A 0006BC8E nvmlDeviceGetAccountingBufferSize
         12    B 0006BC7C nvmlDeviceGetAccountingMode
         13    C 0006BC88 nvmlDeviceGetAccountingPids
         14    D 0006BC82 nvmlDeviceGetAccountingStats
         15    E 0006C042 nvmlDeviceGetActiveVgpus
         16    F 0006BC94 nvmlDeviceGetApplicationsClock
         17   10 0006C216 nvmlDeviceGetArchitecture
         18   11 0006C1FE nvmlDeviceGetAttributes
         19   12 0006C204 nvmlDeviceGetAttributes_v2
         20   13 0006BD6C nvmlDeviceGetAutoBoostedClocksEnabled
         21   14 0006BD96 nvmlDeviceGetBAR1MemoryInfo
         22   15 0006BF6A nvmlDeviceGetBoardId
         23   16 0006BDFC nvmlDeviceGetBoardPartNumber
         24   17 0006BDA8 nvmlDeviceGetBrand
         25   18 0006BE62 nvmlDeviceGetBridgeChipInfo
         26   19 0006BCAC nvmlDeviceGetClock
         27   1A 0006BCB2 nvmlDeviceGetClockInfo
         28   1B 0006C1E6 nvmlDeviceGetComputeInstanceId
         29   1C 0006BCB8 nvmlDeviceGetComputeMode
         30   1D 0006BCC4 nvmlDeviceGetComputeRunningProcesses
         31   1E 0006BCCA nvmlDeviceGetComputeRunningProcesses_v2
         32   1F 0006BCD0 nvmlDeviceGetCount
         33   20 0006BCD6 nvmlDeviceGetCount_v2
         34   21 0006BE0E nvmlDeviceGetCpuAffinity
         35   22 0006BE08 nvmlDeviceGetCpuAffinityWithinScope
         36   23 0006BFFA nvmlDeviceGetCreatableVgpus
         37   24 0006BCBE nvmlDeviceGetCudaComputeCapability
         38   25 0006BCDC nvmlDeviceGetCurrPcieLinkGeneration
         39   26 0006BCE2 nvmlDeviceGetCurrPcieLinkWidth
         40   27 0006BCE8 nvmlDeviceGetCurrentClocksThrottleReasons
         41   28 0006BF64 nvmlDeviceGetDecoderUtilization
         42   29 0006BCEE nvmlDeviceGetDefaultApplicationsClock
         43   2A 0006BCF4 nvmlDeviceGetDetailedEccErrors
         44   2B 0006C1F8 nvmlDeviceGetDeviceHandleFromMigDeviceHandle
         45   2C 0006BCFA nvmlDeviceGetDisplayActive
         46   2D 0006BD00 nvmlDeviceGetDisplayMode
         47   2E 0006BD06 nvmlDeviceGetDriverModel
         48   2F 0006BD0C nvmlDeviceGetEccMode
         49   30 0006C0D2 nvmlDeviceGetEncoderCapacity
         50   31 0006C0FC nvmlDeviceGetEncoderSessions
         51   32 0006C0F6 nvmlDeviceGetEncoderStats
         52   33 0006BF5E nvmlDeviceGetEncoderUtilization
