
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvwgf2umx_cfg.dll

File Type: DLL

  Section contains the following exports for nvwgf2umx_cfg.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         268 number of functions
         268 number of names

    ordinal hint RVA      name

          1    0 00676E60 ??0?$SafeEnum@UErrorEnum@cask@@@cask@@QEAA@W4Label@ErrorEnum@1@@Z
          2    1 00676E60 ??0?$SafeEnum@UGemmChip_ENUMCLASS_SCOPEWRAPPER@cask@@@cask@@QEAA@W4Label@GemmChip_ENUMCLASS_SCOPEWRAPPER@1@@Z
          3    2 00676E60 ??0?$SafeEnum@UGemmLayout_ENUMCLASS_SCOPEWRAPPER@cask@@@cask@@QEAA@W4Label@GemmLayout_ENUMCLASS_SCOPEWRAPPER@1@@Z
          4    3 00676E60 ??0?$SafeEnum@UScalarType_ENUMCLASS_SCOPEWRAPPER@cask@@@cask@@QEAA@W4Label@ScalarType_ENUMCLASS_SCOPEWRAPPER@1@@Z
          5    4 0066B680 ??0?$ShaderList@UConvolutionShader@cask@@VConvolution@2@@cask@@QEAA@AEBV01@@Z
          6    5 0066B680 ??0?$ShaderList@UGemmShader@cask@@VGemm@2@@cask@@QEAA@AEBV01@@Z
          7    6 0066B680 ??0?$ShaderList@VLinkableConvShader@cask@@VConvolution@2@@cask@@QEAA@AEBV01@@Z
          8    7 0066B680 ??0?$ShaderList@VLinkableGemmShader@cask@@VGemm@2@@cask@@QEAA@AEBV01@@Z
          9    8 0066B680 ??0?$ShaderList@VPoolingShader@cask@@VPoolingOperation@2@@cask@@QEAA@AEBV01@@Z
         10    9 0066B680 ??0?$ShaderList@VSoftmaxShader@cask@@VSoftmaxOperation@2@@cask@@QEAA@AEBV01@@Z
         11    A 0104E9C0 ??0Convolution@cask@@QEAA@AEBV01@@Z
         12    B 0104F0D0 ??0ConvolutionShader@cask@@QEAA@AEBU01@@Z
         13    C 0104FDF0 ??0ConvolutionWeightGradient@cask@@QEAA@AEBV01@@Z
         14    D 0104F460 ??0Gemm@cask@@QEAA@AEBV01@@Z
         15    E 0104FDB0 ??0GemmShader@cask@@QEAA@AEBU01@@Z
         16    F 0104E730 ??0Operation@cask@@QEAA@AEBV01@@Z
         17   10 0104AAA0 ??0Operation@cask@@QEAA@XZ
         18   11 010507A0 ??0PoolingOperation@cask@@QEAA@AEBV01@@Z
         19   12 01050A90 ??0PoolingShader@cask@@QEAA@AEBV01@@Z
         20   13 0104E200 ??0Shader@cask@@QEAA@AEBV01@@Z
         21   14 01050BE0 ??0SoftmaxOperation@cask@@QEAA@AEBV01@@Z
         22   15 0104FF80 ??0WeightGradientShader@cask@@QEAA@AEBU01@@Z
         23   16 00669850 ??1Convolution@cask@@UEAA@XZ
         24   17 0104A300 ??1ConvolutionShader@cask@@UEAA@XZ
         25   18 00669850 ??1ConvolutionWeightGradient@cask@@UEAA@XZ
         26   19 00669850 ??1Gemm@cask@@UEAA@XZ
         27   1A 0104A300 ??1GemmShader@cask@@UEAA@XZ
         28   1B 00669850 ??1Operation@cask@@UEAA@XZ
         29   1C 00669850 ??1PoolingOperation@cask@@UEAA@XZ
         30   1D 0104A300 ??1PoolingShader@cask@@UEAA@XZ
         31   1E 0104A300 ??1Shader@cask@@UEAA@XZ
         32   1F 00669850 ??1SoftmaxOperation@cask@@UEAA@XZ
