
Dump of file C:\Windows\System32\odbc32.dll

File Type: DLL

  Section contains the following exports for ODBC32.dll

    00000000 characteristics
    AD33D426 time date stamp
        0.00 version
           1 ordinal base
         301 number of functions
         176 number of names

    ordinal hint RVA      name

         79    0 0005AAE0 CloseODBCPerfData
         80    1 0005AB50 CollectODBCPerfData
         81    2 0002C570 CursorLibLockDbc
         82    3 0002C5C0 CursorLibLockDesc
         83    4 0002C610 CursorLibLockStmt
         85    5 0004D940 CursorLibTransact
         87    6 00058530 DllBidEntryPoint
         88    7 00058690 GetODBCSharedData
         89    8 00046750 LockHandle
         84    9 000589F0 ODBCGetTryWaitValue
         90    A 00033C20 ODBCInternalConnectW
        301    B 00068490 ODBCQualifyFileDSNW
         86    C 00002170 ODBCSetTryWaitValue
         91    D 0005BBD0 OpenODBCPerfData
         92    E 00040220 PostComponentError
         93    F 00040560 PostODBCComponentError
         94   10 000405D0 PostODBCError
          1   11 00009FD0 SQLAllocConnect
          2   12 0000AB40 SQLAllocEnv
         24   13 00006E00 SQLAllocHandle
         77   14 00043410 SQLAllocHandleStd
          3   15 0006DA30 SQLAllocStmt
          4   16 00030EE0 SQLBindCol
         25   17 0004B070 SQLBindParam
         72   18 0004B250 SQLBindParameter
         55   19 00068670 SQLBrowseConnect
        255   1A 00068670 SQLBrowseConnectA
        155   1B 00033D10 SQLBrowseConnectW
         78   1C 000300C0 SQLBulkOperations
          5   1D 00043FA0 SQLCancel
         95   1E 00044480 SQLCancelHandle
         26   1F 00038DD0 SQLCloseCursor
         27   20 0002C710 SQLColAttribute
        227   21 0002C710 SQLColAttributeA
        127   22 0002D0C0 SQLColAttributeW
          6   23 0002D390 SQLColAttributes
        206   24 0002D390 SQLColAttributesA
        106   25 0002DCF0 SQLColAttributesW
         56   26 0005C190 SQLColumnPrivileges
        256   27 0005C190 SQLColumnPrivilegesA
        156   28 0005CAD0 SQLColumnPrivilegesW
         40   29 0005CDA0 SQLColumns
        240   2A 0005CDA0 SQLColumnsA
        140   2B 0005D6F0 SQLColumnsW
         96   2C 0002BA80 SQLCompleteAsync
          7   2D 00068F30 SQLConnect
        207   2E 00068F30 SQLConnectA
        107   2F 00034C40 SQLConnectW
         28   30 0003B710 SQLCopyDesc
         57   31 00069510 SQLDataSources
        257   32 00069510 SQLDataSourcesA
        157   33 0005D9C0 SQLDataSourcesW
          8   34 0002DEE0 SQLDescribeCol
        208   35 0002DEE0 SQLDescribeColA
        108   36 0002E790 SQLDescribeColW
         58   37 0004B470 SQLDescribeParam
          9   38 0000E210 SQLDisconnect
         41   39 00003A60 SQLDriverConnect
        241   3A 00003A60 SQLDriverConnectA
        141   3B 00004020 SQLDriverConnectW
         71   3C 00069A70 SQLDrivers
        271   3D 00069A70 SQLDriversA
        171   3E 0005F070 SQLDriversW
         29   3F 0004ED00 SQLEndTran
         10   40 00040820 SQLError
        210   41 00040820 SQLErrorA
        110   42 00040B00 SQLErrorW
         11   43 00044720 SQLExecDirect
        211   44 00044720 SQLExecDirectA
        111   45 00044E00 SQLExecDirectW
         12   46 00044FE0 SQLExecute
         59   47 00055540 SQLExtendedFetch
         13   48 00055AD0 SQLFetch
         30   49 00056040 SQLFetchScroll
         60   4A 00060160 SQLForeignKeys
        260   4B 00060160 SQLForeignKeysA
        160   4C 00060E00 SQLForeignKeysW
         14   4D 00009EE0 SQLFreeConnect
         15   4E 00043620 SQLFreeEnv
         31   4F 0000B540 SQLFreeHandle
