
Dump of file C:\Windows\System32\oleaut32.dll

File Type: DLL

  Section contains the following exports for OLEAUT32.dll

    00000000 characteristics
    61567B6B time date stamp
        0.00 version
           2 ordinal base
         501 number of functions
         425 number of names

    ordinal hint RVA      name

        286    0 00013C80 BSTR_UserFree
        144    1 000157B0 BSTR_UserFree64
        284    2 00004C60 BSTR_UserMarshal
        145    3 00006230 BSTR_UserMarshal64
        283    4 00004CE0 BSTR_UserSize
        151    5 00006670 BSTR_UserSize64
        285    6 00014A50 BSTR_UserUnmarshal
        300    7 000157C0 BSTR_UserUnmarshal64
        414    8 0005B860 BstrFromVector
        171    9 0004A9A0 ClearCustData
         31    A 0005E7F0 CreateDispTypeInfo
        202    B 0001EE60 CreateErrorInfo
         32    C 0005EB80 CreateStdDispatch
        160    D 000311B0 CreateTypeLib
        180    E 0004AA30 CreateTypeLib2
        146    F 00012790 DispCallFunc
         29   10 00003250 DispGetIDsOfNames
         28   11 0005EB90 DispGetParam
         30   12 000036D0 DispInvoke
        301   13 000077D0 DllCanUnloadNow
        302   14 0000A580 DllGetClassObject
        320   15 0005F210 DllRegisterServer
        321   16 0005F550 DllUnregisterServer
         14   17 0001D7C0 DosDateTimeToVariantTime
         35   18 0005F600 GetActiveObject
        332   19 0005FAE0 GetAltMonthNames
        200   1A 0001EE70 GetErrorInfo
        322   1B 000648A0 GetRecordInfoFromGuids
        323   1C 00064A20 GetRecordInfoFromTypeInfo
        326   1D 00035050 GetVarConversionLocaleSetting
        445   1E          HWND_UserFree (forwarded to COMBASE.HWND_UserFree)
        449   1F          HWND_UserFree64 (forwarded to COMBASE.HWND_UserFree64)
        446   20          HWND_UserMarshal (forwarded to COMBASE.HWND_UserMarshal)
        450   21          HWND_UserMarshal64 (forwarded to COMBASE.HWND_UserMarshal64)
        447   22          HWND_UserSize (forwarded to COMBASE.HWND_UserSize)
        451   23          HWND_UserSize64 (forwarded to COMBASE.HWND_UserSize64)
        448   24          HWND_UserUnmarshal (forwarded to COMBASE.HWND_UserUnmarshal)
        452   25          HWND_UserUnmarshal64 (forwarded to COMBASE.HWND_UserUnmarshal64)
        165   26 000076A0 LHashValOfNameSys
        166   27 000133C0 LHashValOfNameSysA
        296   28 000049D0 LPSAFEARRAY_Marshal
        295   29 000046A0 LPSAFEARRAY_Size
        297   2A 00017BB0 LPSAFEARRAY_Unmarshal
        294   2B 000056C0 LPSAFEARRAY_UserFree
        324   2C 0005B5B0 LPSAFEARRAY_UserFree64
        292   2D 0005B5C0 LPSAFEARRAY_UserMarshal
        328   2E 00003060 LPSAFEARRAY_UserMarshal64
        291   2F 0005B5D0 LPSAFEARRAY_UserSize
        350   30 000032F0 LPSAFEARRAY_UserSize64
        293   31 0005B5E0 LPSAFEARRAY_UserUnmarshal
        351   32 000026F0 LPSAFEARRAY_UserUnmarshal64
        162   33 00017B80 LoadRegTypeLib
        161   34 00007C40 LoadTypeLib
        183   35 0000B1A0 LoadTypeLibEx
        500   36 00004DD0 OACleanup
        352   37 0004AA30 OACreateTypeLib2
        170   38 000355A0 OaBuildVersion
        444   39 00035080 OaEnablePerUserTLibRegistration
        420   3A 000037A0 OleCreateFontIndirect
        419   3B 00003730 OleCreatePictureIndirect
        417   3C 00065620 OleCreatePropertyFrame
        416   3D 00065680 OleCreatePropertyFrameIndirect
        415   3E 000656C0 OleIconToCursor
        418   3F 00065720 OleLoadPicture
        401   40 00065750 OleLoadPictureEx
