
Dump of file C:\Windows\System32\propsys.dll

File Type: DLL

  Section contains the following exports for PROPSYS.dll

    00000000 characteristics
    5F3C9ACE time date stamp
        0.00 version
           3 ordinal base
         445 number of functions
         223 number of names

    ordinal hint RVA      name

          4    0 000819D0 ClearPropVariantArray
          5    1 000924B0 ClearVariantArray
          6    2 00036440 DllCanUnloadNow
          7    3 0000B820 DllGetClassObject
          8    4 0007ABD0 DllRegisterServer
          9    5 0007AC00 DllUnregisterServer
          3    6 0007AC50 GetProxyDllInfo
         10    7 00081AF0 InitPropVariantFromBooleanVector
         11    8 00033440 InitPropVariantFromBuffer
         12    9 0002C600 InitPropVariantFromCLSID
         13    A 00081B10 InitPropVariantFromDoubleVector
         14    B 0002CB60 InitPropVariantFromFileTime
         15    C 00081B20 InitPropVariantFromFileTimeVector
         16    D 00081B30 InitPropVariantFromGUIDAsString
         17    E 00081BB0 InitPropVariantFromInt16Vector
         18    F 00081BC0 InitPropVariantFromInt32Vector
         19   10 00081BD0 InitPropVariantFromInt64Vector
         20   11 000222F0 InitPropVariantFromPropVariantVectorElem
         21   12 00081BE0 InitPropVariantFromResource
         22   13 00081C60 InitPropVariantFromStrRet
         23   14 00026210 InitPropVariantFromStringAsVector
         24   15 00012D40 InitPropVariantFromStringVector
         25   16 00081DA0 InitPropVariantFromUInt16Vector
         26   17 00081DB0 InitPropVariantFromUInt32Vector
         27   18 00081DC0 InitPropVariantFromUInt64Vector
         28   19 00081DD0 InitPropVariantVectorFromPropVariant
         29   1A 000924F0 InitVariantFromBooleanArray
         30   1B 000344A0 InitVariantFromBuffer
         31   1C 00032400 InitVariantFromDoubleArray
         32   1D 00092520 InitVariantFromFileTime
         33   1E 00092560 InitVariantFromFileTimeArray
         34   1F 00036C20 InitVariantFromGUIDAsString
         35   20 00092650 InitVariantFromInt16Array
         36   21 00040580 InitVariantFromInt32Array
         37   22 00092680 InitVariantFromInt64Array
         38   23 000926B0 InitVariantFromResource
         39   24 00092740 InitVariantFromStrRet
         40   25 000927C0 InitVariantFromStringArray
         41   26 000928C0 InitVariantFromUInt16Array
         42   27 000928F0 InitVariantFromUInt32Array
         43   28 00092920 InitVariantFromUInt64Array
         44   29 00092950 InitVariantFromVariantArrayElem
         45   2A 0000DE00 PSCoerceToCanonicalValue
         46   2B 00004000 PSCreateAdapterFromPropertyStore
         47   2C 000359B0 PSCreateDelayedMultiplexPropertyStore
         48   2D 0001D440 PSCreateMemoryPropertyStore
         49   2E 0000BA70 PSCreateMultiplexPropertyStore
         50   2F 00033960 PSCreatePropertyChangeArray
         51   30 0000BBF0 PSCreatePropertyStoreFromObject
         52   31 00037A90 PSCreatePropertyStoreFromPropertySetStorage
         53   32 0006E780 PSCreateSimplePropertyChange
         54   33 000056B0 PSEnumeratePropertyDescriptions
         55   34 00032EB0 PSFormatForDisplay
         56   35 00010400 PSFormatForDisplayAlloc
         57   36 00074500 PSFormatPropertyValue
         58   37 000745A0 PSGetImageReferenceForValue
         59   38 00065320 PSGetItemPropertyHandler
         60   39 00065340 PSGetItemPropertyHandlerWithCreateObject
         61   3A 0000F9F0 PSGetNameFromPropertyKey
         62   3B 00004EF0 PSGetNamedPropertyFromPropertyStorage
         63   3C 0000F230 PSGetPropertyDescription
         64   3D 0000FDB0 PSGetPropertyDescriptionByName
         65   3E 000336F0 PSGetPropertyDescriptionListFromString
         66   3F 0001C0A0 PSGetPropertyFromPropertyStorage
