
Dump of file C:\Windows\System32\rasman.dll

File Type: DLL

  Section contains the following exports for rasman.dll

    00000000 characteristics
    CB8A4B20 time date stamp
        0.00 version
           1 ordinal base
         186 number of functions
         186 number of names

    ordinal hint RVA      name

          1    0 00004800 IsRasmanProcess
          2    1 00004A50 RasActivateRoute
          3    2 00004B90 RasActivateRouteEx
          4    3 00004CE0 RasActivateRouteEx2
          5    4 00004E30 RasAddConnectionPort
          6    5 00004F20 RasAddNotification
          7    6 00005120 RasAddNotificationEx
          8    7 00005290 RasAllocInterfaceLuidIndex
          9    8 000053E0 RasAllocateRoute
         10    9 00005520 RasApplyPostConnectActions
         11    A 000055F0 RasBundleClearStatistics
         12    B 00005700 RasBundleClearStatisticsEx
         13    C 00005810 RasBundleGetPort
         14    D 000058F0 RasBundleGetStatistics
         15    E 00005A20 RasBundleGetStatisticsEx
         16    F 00005B50 RasClearPortUserData
         17   10 00005C20 RasCompressionGetInfo
         18   11 00005D50 RasCompressionSetInfo
         19   12 00005E80 RasConnectionEnum
         20   13 00005F70 RasConnectionGetStatistics
         21   14 00006050 RasCreateConnection
         22   15 000061C0 RasDeAllocateRoute
         23   16 000062A0 RasDeleteIkev2PskPolicy
         24   17 00006370 RasDestroyConnection
         25   18 00006630 RasDeviceConnect
         26   19 000067C0 RasDeviceEnum
         27   1A 00006940 RasDeviceGetInfo
         28   1B 00006A80 RasDeviceSetInfo
         29   1C 00006BC0 RasDeviceSetInfoSafe
         30   1D 00006D00 RasDoIke
         31   1E 00006F90 RasEnableIpSec
         32   1F 00007100 RasEnumConnectionPorts
         33   20 00007210 RasEnumLanNets
         34   21 000072F0 RasFindPrerequisiteEntry
         35   22 000073D0 RasFreeBuffer
         36   23 00007470 RasFreeInterfaceLuidIndex
         37   24 000075C0 RasGetAutoTriggerData
         38   25 000076D0 RasGetBuffer
         39   26 00007840 RasGetCalledIdInfo
         40   27 00007970 RasGetConnectInfo
         41   28 00007AA0 RasGetConnectionParams
         42   29 00007B80 RasGetConnectionUserData
         43   2A 00007C80 RasGetCustomScriptDll
         44   2B 00007DB0 RasGetDevConfig
         45   2C 00008080 RasGetDevConfigEx
         46   2D 00008190 RasGetDeviceConfigInfo
         47   2E 000082E0 RasGetDeviceName
         48   2F 00008400 RasGetDeviceNameW
         49   30 00008510 RasGetDialMachineEventContext
         50   31 000085F0 RasGetDialParams
         51   32 000086E0 RasGetEapUIData
         52   33 00008800 RasGetEapUserInfo
         53   34 00008910 RasGetFramingCapabilities
         54   35 00008A30 RasGetHConnFromEntry
         55   36 00008B20 RasGetHportFromConnection
         56   37 00008C00 RasGetInfo
         57   38 00008D60 RasGetInfoEx
         58   39 00008DB0 RasGetKey
         59   3A 00008EB0 RasGetNdiswanDriverCaps
         60   3B 00009000 RasGetNotificationEntry
         61   3C 000090E0 RasGetNumPortOpen
         62   3D 000091B0 RasGetPortDialParams
         63   3E 000092B0 RasGetPortUserData
         64   3F 000093B0 RasGetProtocolInfo
         65   40 000094E0 RasGetTimeSinceLastActivity
         66   41 00009630 RasGetTriggerAuthData
         67   42 00009720 RasGetUnicodeDeviceName
         68   43 00009800 RasGetUserCredentials
         69   44 00009920 RasInitialize
         70   45 0000F870 RasInitializeNoWait
         71   46 0000FD20 RasIsPulseDial
         72   47 0000FE00 RasIsTrustedCustomDll
         73   48 00010020 RasLinkGetStatistics
         74   49 00010120 RasNQMEnterNotify
         75   4A 000101F0 RasPlumbIkev2PskPolicy
