
Dump of file C:\Windows\System32\rdpbase.dll

File Type: DLL

  Section contains the following exports for RDPBASE.dll

    00000000 characteristics
    CA76C0B3 time date stamp
        0.00 version
           1 ordinal base
         246 number of functions
         246 number of names

    ordinal hint RVA      name

          1    0 00036540 ??0CRDPCache@@QEAA@XZ
          2    1 000AA4B0 ??0CRDPENCONResolver@@QEAA@XZ
          3    2 000551B0 ??0NSCodecDecompressor@@QEAA@_N@Z
          4    3 00084E50 ??0PipeETWEvents@@QEAA@XZ
          5    4 00045730 ??0RdpEncodeBuffer@@QEAA@PEAVITSObjectPool@@@Z
          6    5 00045CF0 ??0RdpGfxProtocolBaseDecoder@@IEAA@XZ
          7    6 00029300 ??0SSECBCHash2@@QEAA@XZ
          8    7 0008B210 ??1CRDPCache@@UEAA@XZ
          9    8 000AA5E0 ??1CRDPENCONResolver@@QEAA@XZ
         10    9 00088450 ??1Evict@@QEAA@XZ
         11    A 00045D20 ??1RdpGfxProtocolBaseDecoder@@IEAA@XZ
         12    B 000AA720 ?AddConnection@CRDPENCONResolver@@QEAAJPEAGKH@Z
         13    C 000AC800 ?AddPortMapping@CRDPENCConnectorStringSerializer@@UEAAJPEAGK@Z
         14    D 00054930 ?AlphaCompressor__CreateInstance@@YAJPEAPEAUIRdpImageCompressor@@@Z
         15    E 0008B2F0 ?ClearCache@CRDPCache@@UEAAJXZ
         16    F 00011520 ?Compress@NSCodecCompressor@@QEAA_NAEBVPixelMap@@_NPEAEIAEAI@Z
         17   10 00071CD0 ?CompressRdp8__CreateInstance@@YAJPEAPEAVIRdpPipeCompress@@I@Z
         18   11 000AD630 ?CreateInstance@CRDPENCONPort@@SAJPEAUaddrinfo@@HPEAXPEAPEAV1@@Z
         19   12 00046180 ?CreateInstance@CRdpGfxCapsSet@@SAJPEAXKPEAPEAUIRdpGfxCapsSet@@@Z
         20   13 000885F0 ?CreateInstance@Evict@@SAJKKKKKPEAPEAV1@@Z
         21   14 00088D70 ?CreateInstance@HashTable@@SAJKKPEAPEAUIHashBucket@@@Z
         22   15 00055C80 ?CreateInstance@NSCodecCompressor@@SA_N_N00EAEAV?$TCntPtr@VNSCodecCompressor@@@@@Z
         23   16 00057870 ?CreateInstance@PlanarCompressor@@SAJGGEHHHPEAPEAUIRdpImageCompressor@@@Z
         24   17 00045870 ?CreateInstance@RdpEncodeBuffer@@SAJPEAVRdpEncodeBufferPool@@KPEAPEAV1@@Z
         25   18 00055D00 ?Decompress@NSCodecDecompressor@@QEAA_NPEBEIAEAVPixelMap@@@Z
         26   19 000724C0 ?DecompressRdp8__CreateInstance@@YAJPEAPEAVIRdpPipeDecompress@@@Z
         27   1A 00085520 ?Enable@PipeETWEvents@@UEAAJKK@Z
         28   1B 0002ED10 ?EvictEntry@Evict@@QEAAPEAU_SCORE_ENTRY@@XZ
         29   1C 000893A0 ?FakeSleep@PipelineClock@@QEAAX_K@Z
         30   1D 00088780 ?GetFreeEntry@Evict@@QEAAPEAU_SCORE_ENTRY@@XZ
         31   1E 00002390 ?GetInstance@PipelineClock@@SAAEAV1@XZ
         32   1F 000893F0 ?GetMillisecondCount64@PipelineClock@@QEAA_KXZ
         33   20 00027940 ?GetMillisecondCount@PipelineClock@@QEAAIXZ
         34   21 000AE570 ?GetNext@CRDPENCONIPHelper@@QEAAPEAU_SOCKET_ADDRESS@@XZ
